Nome: PATOS
Codigo Estacao: 82791
Latitude: -7.05361111
Longitude: -37.27388888
Altitude: 251.65
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,8;10,1;0;36,5;28,8;21,8;50,8;31;4;
2015-01-02;9,6;,6;0;33;26;22,3;76;59;2,3;
2015-01-03;3,5;9,9;22,2;36,1;28,8;21,8;54;33;1,2;
2015-01-04;7,4;11,6;1,5;34,8;27,8;22,1;58;38;3,9;
2015-01-05;5,9;10;,2;35;28,4;21,8;53,3;41;2,5;
2015-01-06;6,3;11;0;35,9;29,1;22,1;49,8;37;3,5;
2015-01-07;8,9;4,4;0;33,6;28;22,3;52,8;43;4,9;
2015-01-08;7,9;11;0;35,5;28,7;22,3;47;32;4,8;
2015-01-09;10,6;11,6;0;34,8;28,7;21,8;51;41;4,1;
2015-01-10;9,7;11,4;0;37,3;29,2;22,1;50;31;5,5;
2015-01-11;12,3;11,7;0;35;28,8;22,3;50,3;41;5;
2015-01-12;8,9;9,2;0;36,5;29;22,1;50;35;4,9;
2015-01-13;9,9;7,7;0;34;28,1;22,2;46,5;33;4,5;
2015-01-14;10,1;11,8;0;36,5;29,1;21,8;44;29;4,2;
2015-01-15;12,1;11,8;0;36,3;29;21,6;45,3;32;4,3;
2015-01-16;11,1;11,8;0;36,5;29,2;21,8;42,8;29;3,3;
2015-01-17;10,6;11,8;0;37,9;29,8;22,3;46,3;26;4,1;
2015-01-18;11,7;10,9;0;37,9;29,8;23,3;46,8;32;3,9;
2015-01-19;12;10,1;0;36,7;29,4;23,1;47,8;33;4,1;
2015-01-20;10,6;11,4;0;37,9;29,7;22,3;44;26;3,3;
2015-01-21;10,5;8,2;0;36,9;29,4;23,1;50,3;32;3,2;
2015-01-22;8,9;5,6;0;35,9;28,9;22,1;45,5;35;3,6;
2015-01-23;10,1;5,5;0;36,3;29,6;22,1;45,3;32;3,9;
2015-01-24;11,4;8,8;0;36,1;29,1;22,5;50,8;33;2,8;
2015-01-25;10;8,1;0;35,5;29,1;21,8;45;33;3,5;
2015-01-26;11,3;9,4;0;36,3;29,8;22,1;38;34;2,3;
2015-01-27;10,8;11,5;0;37,7;29,5;21,8;44,5;29;4,6;
2015-01-28;11,4;11,4;0;37,3;29,6;22,1;42,8;28;3,3;
2015-01-29;12,6;11,4;0;35,9;29,5;22,3;50,3;38;2,8;
2015-01-30;10;9,3;0;37,3;30,3;22,5;47;34;3,9;
2015-01-31;10,6;10,1;0;36,7;29,5;22,3;54,8;34;4,6;
2015-02-01;11,6;10,9;0;37,5;30,3;22,5;44,5;33;3,3;
2015-02-02;11,8;7,8;0;36,9;26,7;22,1;67,3;32;2,6;
2015-02-03;5,4;7,1;80,6;33,6;28;21,6;58;43;2,4;
2015-02-04;4,4;5,5;32,2;33,6;26,1;21,8;73,3;50;2,5;
2015-02-05;3,2;5,2;27,8;32,6;26,7;21,4;73,3;50;1,8;
2015-02-06;4,5;10,6;0;34,8;28,2;22,1;52,3;35;3,8;
2015-02-07;8,6;8,7;0;34,6;28,3;21,6;54,5;50;2,6;
2015-02-08;7,9;9,3;0;34,6;28,5;21,8;47,3;38;3,7;
2015-02-09;8,5;11,6;0;35,7;29,1;22,1;51,5;37;4;
