Nome: MONTEIRO
Codigo Estacao: 82792
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.41
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,2;null;0;34,2;26,3;19;61;56;4,2;
2015-01-02;5,2;null;0;30,9;24,8;21,3;71;63;4;
2015-01-03;5,1;null;0;34,2;27,2;19,2;51;54;4,6;
2015-01-04;8,4;null;0;33,4;26,1;18,2;57;49;4,8;
2015-01-05;5;null;0;33;27;19,4;51;57;5;
2015-01-06;4,7;null;0;33,2;26,3;19,2;56;46;4,3;
2015-01-07;6,2;null;0;32,7;25,9;19;58;53;4,6;
2015-01-08;5,3;null;0;32,7;25,9;18,8;50;56;4,4;
2015-01-09;5,6;null;0;33;25,5;17;61;47;3,3;
2015-01-10;4,8;null;0;34,7;26,1;17,4;58;55;3,9;
2015-01-11;6,6;null;0;32,2;26;18,8;60;60;5;
2015-01-12;4,6;null;0;33;26,5;20,4;58;60;4,4;
2015-01-13;5;null;0;32,7;26;18,4;50;53;5,3;
2015-01-14;5;null;0;33,2;26,3;19,4;52;48;4,1;
2015-01-15;7,9;null;0;33,2;26;17,2;53;50;3,3;
2015-01-16;5,7;null;0;33,7;26,4;19,8;54;52;5;
2015-01-17;5;null;0;33,2;26,8;19,2;52;52;3,8;
2015-01-18;5,2;null;0;34,2;26,9;19,8;51;49;3,7;
2015-01-19;7,3;null;0;33,7;26,4;18,8;56;49;5,4;
2015-01-20;5,6;null;0;33;26,7;19,2;53;55;3,7;
2015-01-21;5,2;null;0;33,7;26,4;20,4;63;51;5,4;
2015-01-22;3,5;null;,8;33,7;26,2;20,2;54;55;5;
2015-01-23;5,5;null;0;32,2;26,2;19,4;54;53;5,8;
2015-01-24;4,8;null;0;33,5;26,1;20,2;63;52;4,6;
2015-01-25;4;null;0;33;26,4;19,6;55;60;5;
2015-01-26;4,7;null;0;33,2;26,5;18;46;52;4,2;
2015-01-27;4,5;null;0;34,2;26,8;18,6;49;41;4,6;
2015-01-28;7,6;null;0;34,4;26,4;17,4;51;46;2,1;
2015-01-29;6,4;null;0;32,5;26,5;19;56;49;4;
2015-01-30;4;null;0;34,4;27,5;20,9;55;55;4,8;
2015-01-31;4,5;null;0;34;27,2;19,4;54;49;4,6;
2015-02-01;5,6;null;0;34,2;27,3;19,4;48,5;35;3,7;
2015-02-02;5,9;null;0;34,4;26,7;19;49,5;29;4,2;
2015-02-03;4,6;null;0;34,4;26,6;20,2;54,8;36;3,3;
2015-02-04;3,7;null;0;32;24,5;20,4;75,8;54;1,5;
2015-02-05;3;null;4,4;32,5;26,3;21,5;58,8;41;4;
2015-02-06;4,3;null;0;33;25,8;19;52,8;37;4,3;
2015-02-07;5,6;null;0;32;26,1;19,4;51,8;39;4,7;
2015-02-08;4,2;null;0;33,2;26,3;19;48;34;5;
2015-02-09;5,2;null;0;34,2;26,6;18,6;50,5;34;4,6;
2015-02-10;6,3;null;0;34,4;26,6;17,6;50,5;34;4,1;
2015-02-11;5;null;0;34,2;26,8;18,8;52,8;31;4,4;
2015-02-12;4,6;null;0;34,7;27;20,6;54,8;35;4,1;
2015-02-13;4,2;null;0;34,7;27,3;19,6;46,5;32;5,1;
2015-02-14;4,7;null;0;34,6;25,5;19,6;63;33;3,9;
2015-02-15;5,8;null;2,4;30,7;24;20,9;68;47;3,8;
2015-02-16;4;null;0;32,4;26,4;20,2;52;34;4,5;
2015-02-17;6,3;null;0;33,4;26,4;19,4;54,8;36;5,1;
2015-02-18;5,9;null;0;33,2;24,6;18,6;71,8;40;4,8;
2015-02-19;4,3;null;42;31,9;25,5;19;58;41;3,6;
2015-02-20;5,7;null;0;32;25,9;20;59,3;42;2,3;
2015-02-21;4,9;null;0;29,4;25,3;21,3;65,3;53;3,6;
2015-02-22;3,9;null;0;30,7;24,2;19,6;73,5;48;2,2;
2015-02-23;2;null;13;32,7;25,5;19,4;67,5;56;4,4;
2015-02-24;2,9;null;0;32,7;26,5;19,6;52;41;4,9;
2015-02-25;6,9;null;0;33,4;26,9;21,3;52,8;37;5;
2015-02-26;7,3;null;0;33,9;27;18,6;49;36;4,8;
2015-02-27;7,9;null;0;35,2;27,4;19,4;50,5;32;null;
2015-02-28;8;null;0;34,4;27,6;20,4;65,3;40;null;
2015-03-01;6,8;null;0;34,2;25,9;20,9;66,5;40;null;
2015-03-02;5,7;null;0;31,7;25,8;21,5;59,5;46;null;
2015-03-03;7;null;0;32;26,1;19,8;53,8;35;null;
2015-03-04;6,4;null;0;32,7;25,7;18;52,3;33;null;
2015-03-05;6,1;null;0;33;25,5;19,6;65,8;45;null;
2015-03-06;4,8;null;0;31,4;26,3;21,9;58,8;45;4,4;
2015-03-07;5,2;null;0;33,2;26,2;18,4;51,8;33;4;
2015-03-08;6,2;null;0;31,2;25,3;20,2;70;55;2,8;
2015-03-09;2,4;null;2,2;31,7;25,4;19,8;70,3;56;2,9;
2015-03-10;3,3;null;2,4;32,7;26,1;20;60,8;39;4,4;
2015-03-11;5,1;null;0;33,7;26,5;19,6;55;31;4,5;
2015-03-12;7,4;null;0;33,2;25,9;19,2;57;36;5,2;
2015-03-13;5,7;null;0;33,4;27,2;20,9;52;42;4,1;
2015-03-14;6,8;null;0;34,2;27;18,8;45,3;28;3,6;
2015-03-15;5,8;null;0;34,5;27,1;18,6;52,8;36;3;
2015-03-16;5,2;null;0;34,7;27,2;21,7;58,5;36;3,1;
2015-03-17;4,8;null;0;34,4;26,7;20,6;54,3;36;4,4;
2015-03-18;6,3;null;0;33,9;26,7;20;51,3;35;5;
2015-03-19;7,1;null;0;33,7;26,3;19,8;52,3;35;2,9;
2015-03-20;7,2;null;0;34,2;26,4;19;60,5;50;3,5;
2015-03-21;3,8;null;0;33,7;25,3;19,4;71,3;37;3,9;
2015-03-22;3,1;null;59;29,9;24,1;19,6;80,5;77;2;
2015-03-23;2,8;null;0;32,8;25,1;20,9;69,5;42;2,4;
2015-03-24;3,5;null;2,4;32,7;25,4;20,4;75,8;44;2,3;
2015-03-25;2,9;null;15,4;33,2;26,8;20,6;61;42;3,2;
2015-03-26;4;null;0;33,7;27,1;19,8;55,8;40;2,2;
2015-03-27;4,4;null;0;34,2;27;19,6;53,5;40;4,2;
2015-03-28;4;null;0;33,4;26,5;19;52;33;2,8;
2015-03-29;5;null;0;33,2;27,3;22,1;62,8;44;3,7;
2015-03-30;3,3;null;0;32,4;26;21,7;77,5;68;2,3;
2015-03-31;2,5;null;0;33,7;27,1;18,8;48,8;35;3;
2015-04-01;8,2;null;0;35,2;27,6;20,2;57,8;40;2,1;
