Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;31,3;null;null;null;86;4,1;
2015-01-02;null;,7;,3;25,8;22,6;20,3;89,3;80;3,1;
2015-01-03;,7;9,6;9,3;30,6;23,2;18,5;77,5;55;2,9;
2015-01-04;5,2;10,4;0;29,8;23,5;19,6;74,8;53;3,1;
2015-01-05;5,2;7,8;1,2;30,2;23,9;20,5;78,3;52;3,4;
2015-01-06;3;9,2;0;31,6;24,5;20,8;74,3;50;3,7;
2015-01-07;2,2;3,4;0;29,4;23,8;20,5;73,5;53;4,5;
2015-01-08;10,1;8,5;0;30,5;24;20,1;72,3;53;4,9;
2015-01-09;7,7;7,9;0;30,1;24;19,6;70,5;54;4,3;
2015-01-10;5,5;10,4;0;30,8;24,2;19,3;72,8;52;5,3;
2015-01-11;7,5;6,3;0;29,8;23,7;20,3;77,8;57;4,9;
2015-01-12;5,5;7,9;,9;29,7;24,1;21,1;78,5;55;5,3;
2015-01-13;5,1;5,6;0;28,9;23,7;20,3;76,8;58;4,8;
2015-01-14;5,2;10,2;1,2;30;23,8;19,3;69,5;55;5,2;
2015-01-15;6,2;9,4;0;30,1;23,9;19,4;70,3;53;4,6;
2015-01-16;7;,8;0;31,7;24,3;19,6;69,8;51;4,9;
2015-01-17;7,1;10,6;0;31,8;24,7;20,5;73,3;44;5;
2015-01-18;6,4;9,3;0;31,5;24,9;21,3;73,8;52;4,7;
2015-01-19;6;7,8;0;30,8;24,4;21,1;77,5;52;4,4;
2015-01-20;3;9,6;0;31,2;24,8;20,5;75;53;4,7;
2015-01-21;6,5;4,9;0;31,6;24,5;20,9;74,3;53;4,4;
2015-01-22;4,5;7;0;31,1;24,6;20,9;73;49;4,7;
2015-01-23;3,5;6,8;0;31;24,8;20,4;70,3;48;4;
2015-01-24;2;3,3;0;28,6;24;21,3;82;69;3,4;
2015-01-25;2,3;9;,8;31,5;24,4;20,6;72,8;52;,6;
2015-01-26;1,1;10,4;0;31,8;24,6;20,1;68,3;44;4;
2015-01-27;2,4;9,9;0;31,9;24,5;19,9;68,5;45;3,8;
2015-01-28;6,9;10,6;0;31,3;24,1;19,1;69,5;44;4,4;
2015-01-29;5,4;9,5;0;30,6;24,6;20,3;74;55;4,2;
2015-01-30;3,2;10;0;31,3;24,8;20,8;67,8;43;4,1;
2015-01-31;5;8,9;,1;31,8;24,6;21,3;75,8;49;3,4;
2015-02-01;4;8,6;0;31,5;24,9;21,3;73,3;51;3,4;
2015-02-02;6,5;8,8;0;31;24,7;20,4;70,3;50;3,3;
2015-02-03;4,7;7,9;0;32,5;25,5;21,6;71,3;43;4,3;
2015-02-04;4,6;6;0;31,9;25,3;21,6;73,5;52;4,4;
2015-02-05;3,1;4,2;0;29,4;24;22;74;61;3,1;
2015-02-06;3,3;8,6;0;31,7;24,8;20,9;71;46;3,9;
2015-02-07;4,8;7,2;0;31,1;24,9;21,3;72,8;51;4,5;
2015-02-08;6;9;0;31,6;24,8;21;73;48;4,2;
2015-02-09;6,5;9,4;,6;32,5;25,3;21,2;69;48;4,4;
2015-02-10;5,8;10;0;32,3;25,4;21,4;70,8;49;4,1;
2015-02-11;5,5;9;0;31,4;25,1;20,8;68,5;44;4,5;
2015-02-12;4,9;8,1;0;31,6;25,4;21,5;70,3;47;4,8;
2015-02-13;7,2;9,8;0;31,9;25;20,6;67;44;5;
2015-02-14;6;5,1;0;31,2;24,8;20,7;72,3;51;4,4;
2015-02-15;5,2;4,3;0;31;25,1;21,3;70,5;52;3,8;
2015-02-16;4,3;7,6;0;31,4;25,3;21,5;70,5;50;4,6;
2015-02-17;5;7,7;0;31,1;24,9;21,3;74,8;55;3,8;
2015-02-18;5,7;4,9;,1;29,3;24,4;21,6;80,8;62;4,5;
2015-02-19;2,8;4,6;1,5;30,9;25,1;21,7;73,5;54;4,1;
2015-02-20;5;5,4;0;31,1;24,7;20,6;73,8;51;3,7;
2015-02-21;3;6,2;0;30,4;24,6;21,4;75,3;53;3,1;
2015-02-22;2,6;3,5;0;30,9;24,5;20,5;77,8;57;3,3;
2015-02-23;2,8;4,3;1,7;30,5;24;20,3;82,8;60;3,2;
2015-02-24;3,1;9,4;0;31,6;24,7;20,9;78;57;4,2;
2015-02-25;3,6;8,1;12,9;30,6;23,6;19,3;79;53;4,1;
2015-02-26;5;9,7;0;31,6;24,7;20,3;73,8;53;4,2;
2015-02-27;6,4;10;0;31,8;25;21,3;74;49;3,5;
2015-02-28;5,1;9,9;0;32;24,8;20,1;75,5;48;3,3;
2015-03-01;4,8;9,9;0;31,9;25,5;21,8;75,3;49;4,3;
2015-03-02;3,2;3,7;4,7;29,7;24,2;21,7;76,5;53;4,2;
2015-03-03;5,1;7,2;0;30,1;24,5;20,5;75;63;3,4;
2015-03-04;5,3;2,9;0;31,7;24,8;21;76,3;51;3,4;
2015-03-05;4,6;6,8;0;32;24,8;20,5;81,8;67;4,2;
2015-03-06;1,5;,8;63;25,6;22,3;19,3;87;78;3,2;
2015-03-07;1,5;10,2;2,5;28,9;24;19,7;75;60;3,5;
2015-03-08;2,9;1,2;0;26,7;23,3;21,1;87;74;2,9;
2015-03-09;4;5,5;,5;28,5;23,9;21,3;90,5;79;4,1;
2015-03-10;1,4;6,6;3,5;28,8;24;20,9;80,5;60;4,5;
2015-03-11;2,9;9,3;,2;29,6;24,1;21,3;83,8;69;4;
2015-03-12;3;9,6;0;30,1;24,5;20,7;78;62;4,4;
2015-03-13;5;9,7;0;30,5;24,6;20,7;74,8;51;4,3;
2015-03-14;5,7;10;0;30,7;24,5;20,5;68,5;38;3,8;
2015-03-15;5,7;10,3;0;31,7;25;20,6;75,8;56;3,3;
2015-03-16;5,1;7,9;0;31,5;25,3;21,8;73,3;51;4,5;
2015-03-17;5,7;9;0;31,6;24,9;21,6;74;51;5,3;
2015-03-18;2,5;7,2;0;null;24,9;21,3;69,8;45;5,1;
2015-03-19;7,5;7,8;0;31;24,8;20,6;68,5;51;4,3;
2015-03-20;6,2;,5;4,8;26,5;23;21;91,3;77;2,7;
2015-03-21;1,2;4,7;1,5;27,7;23,5;20,9;87;81;3,4;
2015-03-22;2;1,2;6,5;26,4;23;20,3;91,3;89;3;
2015-03-23;1,6;4,3;,4;28,8;24,2;21,3;83;69;3,5;
2015-03-24;2;5,4;5,7;30,5;24,8;21,5;83,8;62;3,1;
2015-03-25;2,7;7,5;0;30,6;24,8;21,3;77,8;55;3,5;
2015-03-26;4,5;8,2;0;30,8;24,5;20,8;75;53;3,7;
2015-03-27;6;10,9;0;30,6;24,4;20,3;75;50;3,7;
2015-03-28;6,5;9;0;31;24,3;20;76,5;52;3;
2015-03-29;5;5,4;0;30,5;24,5;20,9;87,3;76;3,1;
2015-03-30;3;3,2;1,7;28,5;23,9;21,4;85;74;3,4;
2015-03-31;3,5;10,8;1,8;30,8;24,6;20,3;72,5;56;3,5;
2015-04-01;5,5;10,6;0;32,1;25,2;20,6;67,8;49;3,2;
2015-04-02;5,5;7,6;0;32,3;25;21,3;72,5;53;3,3;
2015-04-03;4,3;8;0;32,4;24,8;20,9;74,5;53;3,4;
2015-04-04;4,2;9,7;0;32;24,8;21,2;72,3;51;2,7;
2015-04-05;6,3;10,6;0;31,5;24,9;21,1;71;51;3,1;
2015-04-06;4,2;10,3;0;32,6;25,9;21,3;69,8;52;2,8;
2015-04-07;5;8,8;0;32,6;25,5;21,3;75,3;51;2,7;
2015-04-08;3;9,6;,2;32,8;25,8;21,8;79,3;55;3,3;
2015-04-09;3,2;8,6;1,4;31,5;25,3;21,8;77,3;54;3,9;
2015-04-10;4,5;9,9;0;32,4;25,3;20,8;73;52;4;
2015-04-11;4;4,7;0;31,5;24,9;21,6;77,3;51;3;
2015-04-12;2,8;10,5;0;31,7;25,4;21,8;69,8;52;4,2;
2015-04-13;4,8;6,7;0;31,7;25,1;21,3;76;58;3,9;
2015-04-14;5,1;9,8;0;31,9;25,3;21,4;76,5;55;4,4;
2015-04-15;5,6;8,8;0;32,1;25,2;21,8;76,8;58;3,6;
2015-04-16;5,3;7;0;31,3;25;20,8;74,5;55;4;
2015-04-17;4;10,7;0;32,2;25,3;20,8;75,3;51;3,3;
2015-04-18;5;10,6;0;32,1;25,1;20,8;75,3;51;3,7;
2015-04-19;4,7;8,7;0;31,6;24,7;20,3;74,5;50;3,8;
2015-04-20;5,5;9,8;0;31,9;25,1;20,6;73;51;3,6;
2015-04-21;3;9,4;0;32,4;25,1;20,3;75;50;3,1;
2015-04-22;6,8;6,5;0;30,4;24,1;21,3;84,8;64;3;
2015-04-23;6;2,8;15,2;27,7;23,6;21,1;94,8;93;3;
2015-04-24;,7;8,6;14,8;27,6;24,2;21,8;79,5;63;3,2;
2015-04-25;3;8,6;,2;30,4;24,8;22;79,5;57;3,1;
2015-04-26;2,9;9;0;30,1;24,8;21,1;78,8;68;3,4;
2015-04-27;3,1;9,9;0;30,5;24,8;21,3;70,3;47;3;
2015-04-28;4,5;9,8;0;29,5;24,5;20,8;73;48;4,5;
2015-04-29;4,9;9,2;0;30,3;24,7;21,3;74;49;4,8;
2015-04-30;5;9,3;0;31;24,7;20,6;67,3;47;3,7;
2015-05-01;5,5;10;0;30,6;25;20,6;69,3;47;3,8;
2015-05-02;4,8;4,5;0;28,8;24,8;21,5;78,3;73;3,9;
2015-05-03;4,3;5,7;,2;29,8;24,5;21,9;80;57;4,1;
