Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,4;6,8;0;32,2;24,2;19,8;67;65;3,5;
2015-01-02;2,5;1,4;2,8;32,4;23,7;19,8;78;70;3,2;
2015-01-03;4,5;10,2;0;32,6;24,7;20;76;63;3,2;
2015-01-04;4,8;10,1;0;32,4;24,5;19,8;76;67;3,3;
2015-01-05;4;5,5;0;32,6;24,4;20;77;68;3,2;
2015-01-06;4,2;10,3;0;32,7;24,8;19,8;77;65;3,2;
2015-01-07;4,8;6;0;31,2;24,9;20;76;65;3,5;
2015-01-08;4;8,6;0;32,8;25,1;20,2;76;67;3,2;
2015-01-09;8,8;7,4;0;32,6;24,8;20,2;76;69;3,9;
2015-01-10;6,9;10,8;0;32,6;25;20,2;75;65;3,5;
2015-01-11;7;6,9;0;32,7;24,3;20;78;80;3,3;
2015-01-12;6,3;7,8;6;31,4;24,8;19,8;79;75;3,5;
2015-01-13;6;9,3;0;32;25,1;20;74;61;3,2;
2015-01-14;3,8;10,3;0;32,2;25;20;75;63;3,3;
2015-01-15;5,6;10,4;0;32,2;24,8;19,8;77;71;3,9;
2015-01-16;5,3;10,9;0;33;25,2;20;76;68;3,2;
2015-01-17;6,1;11;0;32,8;25,5;20,2;72;55;3,3;
2015-01-18;6;10,2;0;32,8;25;20;76;67;3;
2015-01-19;5,8;10,6;0;32,6;25;20;77;70;3,2;
2015-01-20;4,6;9,9;0;32,6;25,2;20,2;76;67;3,2;
2015-01-21;5,9;7,4;0;32,8;25;20,4;77;68;3,6;
2015-01-22;5,5;7,3;0;32,8;25;20;78;68;3,3;
