Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,4;3,8;0;31;27,3;24,7;84,3;60;2;
2015-01-02;1,6;,3;29;27,8;24,6;23,5;94;83;1,2;
2015-01-03;1,1;9,3;5,6;30,4;26,9;22,1;67,5;64;2,9;
2015-01-04;4,1;9,3;0;30,6;27,3;23,1;70,3;62;2,5;
2015-01-05;3,8;9;0;31;28,2;26,6;71,5;65;2,1;
2015-01-06;3,6;8,7;,1;31;28,3;26,6;71,8;67;3,3;
2015-01-07;3,9;6,5;,4;30,6;27,7;25,7;69,8;63;2,9;
2015-01-08;5,4;7,8;0;30,4;27,8;25,7;69;62;3,3;
2015-01-09;4,1;7,7;2;30,6;27,6;24,3;70;66;4,1;
2015-01-10;3,9;8,4;1,8;30,8;28,1;25,9;71,5;65;3,9;
2015-01-11;4;8,6;3,2;30,6;27,8;25,9;73,8;72;3,2;
2015-01-12;3,1;7,5;1;31;27,7;25,3;75,5;70;3,6;
2015-01-13;3,9;8,5;,8;30,6;27,7;24,7;70,8;64;2,5;
2015-01-14;3,9;10;,7;30,8;27,9;25,9;68,5;64;3,5;
2015-01-15;4,9;9,7;0;31;27,3;23,5;71,5;62;3,1;
2015-01-16;4,4;9,9;0;31,2;27,9;23,7;70,3;63;3,2;
2015-01-17;4,7;9,5;0;31,2;28,1;26,4;73,5;67;4;
2015-01-18;3,5;9,4;4,4;31;27,9;24,5;73;65;2,4;
2015-01-19;3,5;9,4;0;30,8;28,4;26,6;73;68;2,2;
2015-01-20;3,5;3,5;0;31,2;28,2;25,7;70,8;65;3,4;
2015-01-21;3,7;8;0;31;28,6;27;73,3;68;2,9;
2015-01-22;4,4;9,3;0;31,2;28,4;26,6;65,3;61;2,2;
2015-01-23;4,4;8,5;0;31,4;28,6;26,4;71,5;63;3,3;
2015-01-24;3,5;7;,3;31,8;28,5;26,8;75,8;69;1,8;
2015-01-25;3,7;9,7;,2;31,2;28,4;26,8;70,8;65;2,3;
2015-01-26;3,7;9,7;0;31,4;27,9;24,1;67,8;64;3,4;
2015-01-27;4,1;10;0;31,2;28,1;26,2;66,5;60;2,9;
2015-01-28;4,8;9,7;0;31;28;25,1;67,5;60;2,8;
2015-01-29;4,5;5;4,6;31;27,1;23,7;80,5;74;2;
2015-01-30;3,3;10;0;31;28,4;26,6;72,3;63;2,4;
2015-01-31;2,7;9,1;,7;31,6;28,4;26,2;72;64;2,4;
2015-02-01;4,5;9,8;0;31,8;28,8;27;71,5;63;3,6;
2015-02-02;4;8,7;0;31,7;28,3;25,9;74,3;66;3,6;
2015-02-03;3,7;8,4;0;31,2;28,3;25,1;74;66;2,3;
2015-02-04;6,8;8,4;0;30,2;28,4;27,2;73,5;70;2,3;
2015-02-05;3;,3;0;29,2;27,8;27,4;73,8;70;1,7;
2015-02-06;3,7;3,9;0;31,6;28,6;26,8;73,8;67;2,4;
2015-02-07;3,7;8,3;0;31,4;28,7;26,8;72,3;66;3;
2015-02-08;3,6;9,6;0;31,8;28,4;26,4;72;65;3,9;
2015-02-09;4,4;8,4;,4;31,8;28,7;26,2;72,3;67;3;
2015-02-10;3,8;9,6;2;31,8;28,4;25,1;74;68;3,8;
2015-02-11;3,8;9,1;0;31,9;28,8;27,2;72,5;66;2,8;
2015-02-12;4;9,6;0;31,8;29;27,4;72;67;3;
2015-02-13;4,2;9,4;0;32,2;29;27;72,5;65;3,3;
2015-02-14;4;7,7;0;31,8;28,7;27;73,3;65;2,2;
2015-02-15;3,8;7,4;0;31,2;28,9;27,2;71,8;68;2,1;
2015-02-16;3,6;5,7;0;32;28,8;26,4;73,5;66;3,1;
2015-02-17;3,6;9,4;2;31,8;28,6;26,4;76;68;2,5;
2015-02-18;3,2;5,3;,6;31,2;28,6;26,4;75,3;71;2,6;
2015-02-19;3,6;5;1,6;31,6;28;26,2;73;65;3;
2015-02-20;2,3;6,6;6;31;27,1;23,4;81;65;1,1;
2015-02-21;2,5;3,4;2,6;31;27,7;24,5;79,5;70;1,9;
2015-02-22;3;4,2;7;30,8;27,7;24,1;76;71;2;
2015-02-23;3;5,5;2,1;31,2;28,1;25,5;74,8;67;2;
2015-02-24;3,5;9,1;2,4;31,8;28,8;26,4;73;70;3;
2015-02-25;2,8;9,4;13,8;31,2;27,9;24,1;72,3;69;3;
2015-02-26;4,2;9,6;,2;32,4;28,8;26,4;72,3;63;2,9;
2015-02-27;4,2;9,6;0;31,8;28,5;25,5;70,3;64;2,7;
