Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;8,2;0;32,2;27,6;23,6;85;76;,3;
2015-01-02;null;3,2;1,2;30,8;25,7;23,8;90;74;,3;
2015-01-03;null;1,2;77;28;23,4;22,2;93,8;86;,7;
2015-01-04;null;3,4;15,6;31;25,2;22;93;93;,3;
2015-01-05;null;,9;1,8;25,6;23,7;22,4;95,3;91;0;
2015-01-06;null;7,3;34;32,2;24,6;21,4;88,8;74;,7;
2015-01-07;null;2,9;33;30;25,1;21,8;92,5;82;,3;
2015-01-08;null;2,5;17,4;30;25,5;23;89,8;74;,7;
2015-01-09;null;4,6;13,8;31;25,3;22,4;89,8;80;,3;
2015-01-10;null;4,5;1,2;31,2;26,6;22,4;85,3;78;1;
2015-01-11;null;6;3,2;32;26,1;22,2;86,5;77;,3;
2015-01-12;null;1,2;21,4;28;24,5;22,2;93,3;86;,3;
2015-01-13;null;3,8;0;31,4;26,3;22,2;85,8;74;,3;
2015-01-14;null;4,9;22,4;31,2;25,7;22,8;86;71;,3;
2015-01-15;null;1,9;0;30,6;25,5;23,4;93;85;,3;
2015-01-16;null;3,5;0;31,2;26,1;22,6;90,3;80;1;
2015-01-17;null;0;1,2;26,8;24,4;23;96,3;92;0;
2015-01-18;null;,7;22,6;29,6;24,8;23;92,8;85;0;
2015-01-19;null;1,9;1,6;30,6;24,9;22,4;91,3;78;,3;
2015-01-20;null;2,7;32,6;31;25,6;22,8;89,5;76;,7;
2015-01-21;null;1;1,6;28;24,8;23,6;94,3;93;,7;
2015-01-22;null;1,1;34,4;28,6;25,3;22;89,3;80;,3;
2015-01-23;null;5,3;3,4;31,8;25,5;22,4;86,3;66;,3;
2015-01-24;null;3,1;0;31,6;25,2;23,2;91,5;78;,7;
2015-01-25;null;7,6;71,6;32,4;null;null;84;71;,5;
2015-01-26;null;3;0;30,6;25,6;22,8;90,8;79;,3;
2015-01-27;null;,8;9,8;27,6;24,8;23;96,5;93;,3;
2015-01-28;null;1,1;8,2;29,6;24,9;22,6;95,8;94;0;
2015-01-29;null;7,2;20,2;33,6;26,5;23;87,3;70;,7;
2015-01-30;null;0;12,2;27,2;24,6;23,6;98,5;91;,3;
2015-01-31;null;2,2;145,6;27,2;24,6;23;94,3;94;,3;
2015-02-01;null;0;18;27,2;24,3;21,6;92;91;,3;
2015-02-02;null;null;5,8;null;null;21,8;null;80;,5;
2015-02-03;null;null;0;null;null;22;null;68;,5;
2015-02-04;null;null;0;null;null;22,8;null;64;,5;
2015-02-05;null;null;7,2;null;null;23,6;null;61;1,5;
2015-02-06;null;null;0;null;null;24;null;63;1;
2015-02-07;null;5,4;0;34;null;null;77;67;1;
2015-02-08;null;5;0;32,4;26,2;24,2;87,5;72;,7;
2015-02-09;null;1;2,2;29,8;25,4;23,2;87,8;78;,3;
2015-02-10;null;3,7;9,6;31,8;25,8;23,4;86;72;,3;
2015-02-11;null;1,8;1,8;31,4;26,7;23,6;87;77;,3;
2015-02-12;null;6,2;0;33,6;27,6;24;81,8;66;,7;
2015-02-13;null;,8;80,2;28,8;26;23,2;90,5;83;,3;
2015-02-14;null;3,1;7,4;30;26,2;23;87,3;87;,3;
2015-02-15;null;4,3;12;31,4;25,6;23;90;77;,3;
2015-02-16;null;6;22,2;31,6;26,2;23,2;86,8;68;0;
2015-02-17;null;8,1;5;33,8;28;23,6;81;66;,3;
2015-02-18;null;3,8;0;32;26,4;24,4;88,8;77;,7;
2015-02-19;null;3,6;12,2;32,4;27,2;23,6;86;71;,3;
