Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,7;9,8;26;33,5;28,1;22,4;74;60;1;
2015-01-02;2,7;9,1;0;34,9;27,9;23;73;54;1,7;
2015-01-03;2,8;8,9;0;35,1;29;24;72,5;58;2,3;
2015-01-04;3,7;1,3;0;30;25,5;22,6;90;75;1,7;
2015-01-05;1;8,7;51,6;32;25,9;21,9;80,3;66;3;
2015-01-06;2,2;8,2;0;34,2;27,6;23,1;75,8;58;2,7;
2015-01-07;2,5;6,2;0;32,9;26;21,8;83,3;74;3;
2015-01-08;1,3;5,6;18,8;32,3;25,8;22,1;88,8;85;2;
2015-01-09;1,2;6,2;5,6;33,3;27,2;23,3;82,3;73;2,3;
2015-01-10;2;5,2;,3;33,4;26,3;22,7;85,8;79;2,7;
2015-01-11;1,1;6,4;8;32,8;27,4;23,1;82,3;78;2,7;
2015-01-12;1,5;2,3;,4;29,8;24,1;21;91,5;83;1,7;
2015-01-13;,8;1,8;25,6;29,6;23,9;21,6;86,5;71;1,7;
2015-01-14;1,2;6;3;32;26,4;22;83,8;64;2,3;
2015-01-15;1,6;6,1;9,6;33,2;25,6;22,6;84,5;64;2,3;
2015-01-16;1,6;,6;11,4;29,4;24,9;22,6;88;75;1;
2015-01-17;,8;4,5;4,2;32,2;26,3;23;83;66;2,3;
2015-01-18;1,4;3,1;22;32;24,7;21,9;87,8;72;3;
2015-01-19;1,4;2,3;12,3;30,1;24,5;22,2;91,8;81;2,7;
2015-01-20;,7;4,7;8,1;30,2;25,6;22,3;89,3;86;2;
2015-01-21;1,1;4,7;16,3;31,6;26,1;21,3;81,3;61;2,7;
2015-01-22;2;4,5;0;31,9;27;23,1;76,3;60;2,7;
2015-01-23;2,2;6,9;0;34,2;27,8;23,1;74;56;2,7;
2015-01-24;2,6;2,6;0;30,1;24,3;20,9;92,3;82;2,3;
2015-01-25;,3;,7;37,1;28,7;23,6;21;90,8;86;2,7;
2015-01-26;,4;4,5;4,3;31,4;26,3;22,1;78;58;1;
2015-01-27;2;5,8;0;33;27,4;23,1;80;70;1,7;
2015-01-28;2,1;9,1;0;34;28,1;23,6;74;58;2,3;
2015-01-29;2,7;3,8;0;32;27,3;23;79,8;70;1,7;
2015-01-30;2,3;9,8;0;35,1;29,5;23,3;70,8;56;1,7;
2015-01-31;3;6,9;0;33;28,7;24;75,5;63;2,3;
2015-02-01;2,7;5;4,8;31,4;25,1;22;83,5;77;2,3;
2015-02-02;1,9;7,6;2,4;33,2;26,6;22,1;77,8;60;3,3;
2015-02-03;2,4;7,5;0;32,5;27,1;22,7;80,5;64;3;
2015-02-04;2,4;1;46,5;28,6;24,5;21;92,8;84;2,3;
2015-02-05;,7;2,9;9,4;31,3;26,2;22,3;85,8;72;3;
2015-02-06;1,7;4,6;,1;31,7;26,6;22,2;82,5;76;3;
2015-02-07;1,5;6,1;35,7;31,4;25,7;21,6;82,8;69;2,7;
2015-02-08;1,8;4,2;0;32,3;25,8;21,6;83,8;65;2,3;
2015-02-09;1,6;2;2,2;32,5;27,4;23;76,5;60;1,3;
2015-02-10;2,4;2;11,8;30,6;25,9;22;84,3;72;1;
2015-02-11;1,5;6,3;0;33,8;26,5;22,6;78,3;62;2,3;
2015-02-12;2;6,8;,6;34,3;27,7;23,6;81,8;60;1,7;
2015-02-13;2;6,1;2,6;33,2;25,6;21,9;82,3;61;1;
2015-02-14;2;4,9;4,2;32,5;26,5;22,1;75,8;62;3;
2015-02-15;2,2;10,2;,5;34;28,2;23,6;71,3;59;1,7;
2015-02-16;3;6,9;0;34,9;27,6;22,7;79;65;2;
2015-02-17;2,5;5,1;6,8;31,8;25,5;21,6;85,8;70;3;
2015-02-18;1,5;,3;6,2;28,3;25,2;22,1;91,8;89;2,3;
2015-02-19;,5;3,8;7,7;30,9;26;22,3;82,8;69;2,3;
2015-02-20;1,5;,7;11,9;27,6;24,2;20,9;91,5;86;2,3;
2015-02-21;,9;,6;1,2;30,1;25,1;22,1;85,5;73;2,3;
2015-02-22;1,2;,4;1,4;27,8;23,6;20;87,3;78;3;
2015-02-23;1,1;5,7;5;31,6;25,8;21,9;82,5;71;3;
2015-02-24;1,6;3,7;6,2;30,2;25,7;22,6;85,5;79;1,7;
2015-02-25;1,3;10,1;1,2;34;27,7;23,3;78,3;59;2,3;
2015-02-26;2,4;5,6;2,3;32,8;27,8;23,6;86,8;81;1;
2015-02-27;1,6;1,5;3,6;30,4;25,7;22,6;92,5;90;1;
2015-02-28;1;8,9;19,2;33,8;27,8;23,1;76,5;61;1;
2015-03-01;2,3;null;0;30,6;25,6;22,1;81,3;75;1;
2015-03-02;1,5;null;0;33,8;27;22,6;83,3;79;2,7;
