Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,9;9,4;7;33,9;27,6;21,5;75;55;1,3;
2015-01-02;3,7;6,7;0;34,5;27,4;24;77,5;59;3;
2015-01-03;2,9;9,7;0;35,9;28,3;22,4;75;49;1,3;
2015-01-04;3,8;0;0;27,9;24,1;21,9;93,8;87;0;
2015-01-05;,6;6,2;7,5;32,3;26,1;21,5;75,8;60;,7;
2015-01-06;3,9;5,7;6,4;32,3;26,4;22,3;78,8;62;,3;
2015-01-07;2,4;5,8;,3;32;26,5;22,3;82,3;67;0;
2015-01-08;2,1;6,5;3;33,7;26,3;22,6;81,3;55;,7;
2015-01-09;2,4;5,6;,2;31,9;26,9;22,3;80,8;71;0;
2015-01-10;2,5;4,3;0;32,5;26,3;23,2;87;80;1;
2015-01-11;1,8;5,4;4,6;32,7;27,5;23;79,8;65;,3;
2015-01-12;2,7;2,9;0;31,2;25,5;22,2;90;79;,7;
2015-01-13;1,1;1,8;3,2;30,7;24,5;21,7;83,3;61;2,7;
2015-01-14;1,8;7,4;10,5;33,4;26,2;21,6;72,3;54;,7;
2015-01-15;3,2;6,5;0;33,7;25,7;22,6;82,5;59;2,3;
2015-01-16;2,5;,5;37;29;25,1;22,6;86,3;76;,7;
2015-01-17;2,5;2,2;0;32,1;25,6;22,5;88,3;78;1,7;
2015-01-18;1,9;1,7;2,6;32,5;24,9;22,1;89,3;77;3,3;
2015-01-19;1,7;1,7;9,2;30;24,4;22;95,3;90;1;
2015-01-20;1;,7;34,6;31,7;24,6;21,9;84,5;60;3;
2015-01-21;2,2;5,8;,8;32,3;25,2;21,6;81;59;1,7;
2015-01-22;2,7;6,7;0;33;26,2;21,8;79,8;55;0;
2015-01-23;3,4;8,4;0;33,6;26,7;21,8;80,3;72;,7;
2015-01-24;3;0;76,1;25,5;23,1;21,9;94;87;,7;
2015-01-25;,6;,6;12;29,4;23,3;20,6;88,3;72;,3;
2015-01-26;1,1;8;20,8;32,4;24,8;20,6;84,5;59;,3;
2015-01-27;2,6;7,7;3;32,9;26,9;22,6;83;59;2;
2015-01-28;2,2;8,6;,4;34,3;27;22,4;78;52;0;
2015-01-29;2,9;9,9;12;35,4;26,7;21,7;76,5;49;1;
2015-01-30;4,7;10,5;5,3;34,9;28,4;22,3;65,3;46;0;
2015-01-31;3,8;4,5;0;31,6;27,6;24,3;81,5;67;1;
2015-02-01;2,9;4,5;15,4;30,5;24,7;20,7;83,3;70;1;
2015-02-02;2,6;5,5;0;30,9;26;22;84,5;79;1;
2015-02-03;2,4;5,2;6,3;31,8;26,5;22,4;82,3;66;1,3;
2015-02-04;3;2,8;9;29;24,7;21,8;86,5;74;2,7;
2015-02-05;1,8;8,3;,4;32,6;26,9;22,9;78,3;55;2;
2015-02-06;3,7;1,8;0;31,8;26,3;24;85,8;69;,7;
2015-02-07;2,3;3,1;1,3;32,4;25,7;23,1;83,5;60;2;
2015-02-08;3,1;2,7;,4;32,1;25,2;22,1;83,5;61;1,7;
2015-02-09;2,1;6;2,5;33,5;27,1;22,2;79,5;59;2;
2015-02-10;3,6;6,1;0;33,1;27,7;23,5;77,3;59;1,3;
2015-02-11;3,7;7,8;0;35,1;27,8;23,9;74,3;46;2,3;
2015-02-12;3;6,6;,4;34,2;27,6;24,2;80,8;54;,3;
2015-02-13;2,5;4,2;13;33,2;26,3;23,3;88,8;83;,7;
2015-02-14;2;2,2;16,3;31;25,1;22,4;84,5;67;0;
2015-02-15;2,2;9,8;0;35;27,2;21,5;74,5;50;,3;
2015-02-16;3,6;9,3;0;33,4;27,2;23,4;77;59;,3;
2015-02-17;3,5;0;1,7;25,8;23,7;22,9;94,8;84;,3;
2015-02-18;,5;,9;26,4;28,3;24,4;22,5;95;87;0;
2015-02-19;,7;3,3;26,5;31,1;24,8;22,3;90,3;87;1,3;
2015-02-20;2,2;0;13;26,6;23,9;22,5;93;87;0;
2015-02-21;,7;2,3;20,6;30,1;24,6;22,3;91,3;89;1;
2015-02-22;1,4;4,4;5,6;30,1;25,3;21,8;81;65;1,3;
2015-02-23;2,2;8,3;28,6;32,5;26,1;20,7;76;54;1,3;
2015-02-24;3,5;7,3;0;32,2;26,5;22,6;75;57;3;
2015-02-25;4,2;6,7;0;33,1;27;23;84;68;1;
2015-02-26;2,3;5;8,5;32,7;27,5;24,2;83,3;71;,3;
2015-02-27;2,3;0;0;27,1;24,7;23,4;90,3;85;1;
2015-02-28;1,2;9,5;3;34,2;27,4;22,3;70,5;50;0;
2015-03-01;3,3;5,4;2;32,5;26;22,9;82,3;62;2;
2015-03-02;3,3;6,9;,8;32,5;25,7;22,2;85,8;69;,7;
2015-03-03;2;6,6;10,7;32,8;25,7;22,9;82,8;62;0;
2015-03-04;2,5;8,6;,4;33;26,6;22,6;74,8;57;,3;
2015-03-05;3,3;5,5;0;33,8;27,9;23,4;77,5;57;1,3;
2015-03-06;3,7;6;0;33,2;26,4;22,6;79,3;66;2;
2015-03-07;2,9;1,3;0;28,1;24,6;21,5;91,5;79;,7;
2015-03-08;,7;9,4;19,8;33,8;27,2;21,4;80;59;,3;
2015-03-09;2,8;7,4;8,1;32,8;27,2;22,4;81,8;62;0;
2015-03-10;2,6;9,8;0;34,2;27;23,6;78,5;53;,7;
