Nome: VALE DO GURGUEIA (CRISTIANO CASTRO)
Codigo Estacao: 82870
Latitude: -8.44166666
Longitude: -43.86555555
Altitude: 261.26
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,8;8,7;7,1;32,8;25,2;20,4;79,3;54;1;
2015-01-02;2,8;10,4;6;34,4;26,3;20,2;69,8;41;1;
2015-01-03;4,6;11,7;0;34,8;27,2;21;67;44;1,7;
2015-01-04;5,6;5,7;0;31,8;25;22;80,8;57;2,3;
2015-01-05;3,8;9,9;12;32,4;25,6;21,4;77,3;49;1;
2015-01-06;3,8;11;0;35,6;28,3;21;58,8;38;1;
2015-01-07;6,2;10,1;0;34,4;28,5;23;57;39;1,7;
2015-01-08;7,4;10,2;0;35;28;20,2;54,3;37;1,7;
2015-01-09;7,4;null;0;36,8;29,9;21,4;43,3;29;3,7;
2015-01-10;10,6;11,1;0;36,6;30;22,2;45,8;39;3;
2015-01-11;10,5;10;0;37,6;30,5;22,2;41,3;29;2,3;
2015-01-12;12,3;9,7;0;36,4;30,6;23,2;41,5;32;4,3;
2015-01-13;13,2;7,3;0;37,2;29,9;23,4;41,5;26;3;
2015-01-14;14,2;1,4;0;35,2;30,1;22,4;43,8;35;1,7;
2015-01-15;9,6;6;0;36,8;29,6;22,2;45;32;2,3;
2015-01-16;10,8;6,1;0;36,4;29,6;22,2;44,8;26;4,3;
2015-01-17;9,6;4,3;0;36,6;30,3;23,2;41;29;1,7;
2015-01-18;10,2;7,7;0;37;30;22,4;44,8;28;1;
2015-01-19;10,6;8;0;35,4;30,3;22,4;45,8;39;1,7;
2015-01-20;6,7;6,5;0;36,2;26,8;22,6;68;31;3,7;
2015-01-21;6,7;,6;12,8;31,2;25,1;22,6;84;77;1;
2015-01-22;2,8;1,4;0;31,6;25;21,8;77,8;53;1;
