Nome: SAO JOAO DO PIAUI
Codigo Estacao: 82879
Latitude: -8.365
Longitude: -42.25027777
Altitude: 237.02
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,7;8,9;0;33,8;28,2;22,6;61;68;1;
2015-01-02;4,6;10,8;0;34,4;28,6;23,2;64;58;2,1;
2015-01-03;5;10,4;0;35,4;29;21,8;63;58;3,1;
2015-01-04;5,5;5,8;0;33,8;27,4;22,8;74;65;1,7;
2015-01-05;4,1;9,1;0;35,2;28,5;22,4;59;67;1,8;
2015-01-06;6;10,3;0;35,8;28,2;22,2;64;55;1,8;
2015-01-07;7,4;10;0;34,4;28,7;22;53;50;2,4;
2015-01-08;9,1;10,5;0;35;29,2;24,6;58;54;2,3;
2015-01-09;9,3;11,7;0;36,6;30,6;24,4;40;47;3,9;
2015-01-10;12,3;11,9;0;37,2;30,5;25,4;45;37;3,8;
2015-01-11;12,3;9,9;0;38;31,7;26,6;43;44;2,3;
2015-01-12;10,5;6;0;36,2;29,8;25,6;48;40;2,3;
2015-01-13;9,9;11,1;0;36,8;29,8;24,6;43;45;2,3;
2015-01-14;11,5;7,4;0;36;30,1;24,6;43;39;2,6;
2015-01-15;10,1;8,9;0;36,2;30;24,6;47;43;2,5;
2015-01-16;9,6;11,1;0;36,6;29,9;23,2;43;41;3;
2015-01-17;10,3;10,1;0;37,2;30,2;22,4;43;42;2,4;
2015-01-18;10,5;9,6;0;37,6;31;25,6;44;41;2,7;
2015-01-19;9,7;7,9;0;37,4;30,5;24;52;43;2,3;
2015-01-20;9;9,5;0;36,8;30,4;23,4;43;46;3,7;
2015-01-21;10,5;3,3;0;34,4;29,3;25;52;41;3,9;
2015-01-22;7,9;3,3;0;33;27,3;23;62;53;1,9;
2015-01-23;5,2;2,7;0;34,4;25,4;22,6;87;65;1;
2015-01-24;4,3;9,5;5,6;35;28,6;22,2;54;59;2,3;
2015-01-25;6,9;2;4,4;30;25,9;23,4;81;52;1,7;
2015-01-26;2,2;1,6;,5;32,8;26,8;22,8;75;79;1,8;
2015-01-27;4,8;10,9;0;36,6;29,1;21,6;48;49;3,1;
2015-01-28;8,3;11,5;0;37,2;29,6;22,4;43;47;2,7;
2015-01-29;13,6;11,5;0;37;30,3;24,8;38;37;1,8;
2015-01-30;11,4;9,7;0;37,6;29,3;22;64;34;3;
2015-01-31;8;9,7;,2;38;31,1;24,6;54;55;2,1;
2015-02-01;11,1;3,9;0;35;30;25,8;46,5;39;3,7;
