Nome: PAULISTANA
Codigo Estacao: 82882
Latitude: -8.13222221
Longitude: -41.14305555
Altitude: 376
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;null;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;36,4;null;null;null;null;4,1;
2015-02-01;15,1;9,3;0;33,5;29,1;25;57;41;3;
2015-02-02;11,3;9,3;0;34,2;28,6;24;55;57;2,6;
2015-02-03;11,5;,2;0;31;27,1;25,2;69;52;1,3;
2015-02-04;4,8;0;6,7;27;22,8;20,2;97;71;2,1;
2015-02-05;,7;6,7;12,2;32,8;26,6;19,9;78;92;,9;
2015-02-06;4,8;9,5;0;33,8;28,4;22,6;66;61;1,5;
2015-02-07;6,5;9,2;0;34,8;28,8;22,6;56;58;2,3;
2015-02-08;6,6;8;0;34,6;29,2;23,8;53;54;3,1;
2015-02-09;12,5;10,1;0;35;29,1;23,6;55;48;4,4;
2015-02-10;13,2;10,9;0;35,6;29,7;23,8;53;51;3,5;
2015-02-11;12,8;10,7;0;35,4;29,1;24;56;49;3,3;
2015-02-12;12,2;10,4;0;35,2;30;24,2;52;51;3,8;
2015-02-13;12,3;10,5;0;36,3;30,3;24,4;55;46;3,3;
2015-02-14;13;0;0;35,6;28,8;25,2;63;49;3;
2015-02-15;14,1;2,5;0;32,7;27,7;23,6;66;58;2,1;
2015-02-16;6,9;9,8;0;35,8;28,3;21,6;null;59;2,6;
2015-02-17;9,5;10,3;0;37,1;30,9;23,4;47;54;3,5;
2015-02-18;20,2;6,9;0;35,2;29;24,6;66;40;2,6;
2015-02-19;7,3;5,7;0;34,8;25,3;21;87;65;2,2;
2015-02-20;5,8;7,3;6,7;33,6;25,5;20,6;77;76;2,9;
2015-02-21;6;3,9;0;32;25,1;20,8;82;72;3,4;
2015-02-22;5;1,2;10,2;28,6;23,5;19,6;88;86;3,6;
2015-02-23;3;2,5;,2;31;24,8;20,2;87;77;2,1;
2015-02-24;3,5;6,2;1,6;33;26,4;22;86;81;2,8;
2015-02-25;4,1;8,2;19,6;33,4;27,2;21,6;73;76;2,5;
2015-02-26;7;11,2;0;34;28,6;23,4;66;64;3,1;
2015-02-27;8;9;0;35;29,3;23,8;64;66;2,3;
2015-02-28;4,8;8,9;14,4;34;26,6;20,4;85;62;1,6;
2015-03-01;4;7,9;52,4;31,9;25,4;20,6;88;79;1,9;
2015-03-02;2,3;,6;1;29;25,4;21,8;9;87;1,7;
2015-03-03;2,2;4,7;76,4;30,8;25,2;20,6;88;91;,9;
2015-03-04;3,5;11,3;0;32,6;26,7;21,2;73;70;2,3;
2015-03-05;7,2;10,5;0;32;27;22,4;71;62;3,2;
2015-03-06;7;9,7;,6;32;25,8;22;83;74;2,8;
2015-03-07;3,9;10,1;9,6;31,9;26,7;21,8;72;66;2,6;
2015-03-08;6,7;11,2;0;33,1;26,9;21;75;68;2,7;
2015-03-09;6,5;8,7;,2;33;27,8;22,8;72;74;2,6;
2015-03-10;5,8;6;9;32,8;26,7;22,4;84;69;1,7;
2015-03-11;4;10,8;,6;33,2;27,5;22,8;67;77;2,9;
2015-03-12;8;7,8;0;32,8;27,3;22;72;60;2,5;
2015-03-13;5,4;11;0;34,1;27,6;22;68;69;3;
2015-03-14;10;10,8;0;34,6;28;23;71;63;3,7;
2015-03-15;8,6;10,1;0;34,9;28,6;23,6;63;63;3,4;
2015-03-16;9,5;10,2;0;34,4;28,3;22,4;67;63;1,5;
2015-03-17;7,9;6,1;17,2;32,8;26,4;20,8;88;69;,9;
2015-03-18;4,7;3,1;0;32;26,8;22,2;79;73;3,1;
2015-03-19;5;6;0;32,2;27,8;22,8;61;60;3,3;
2015-03-20;7,8;2,1;0;32,6;26,9;23;77;58;2,6;
