Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,9;11,5;1,4;34,6;29;23,8;40,8;25;2,7;
2015-01-02;16,7;7,4;0;34,2;29,1;25,2;51;38;1,6;
2015-01-03;11,4;11,6;0;35;29,7;23,8;40,5;32;3;
2015-01-04;16,3;9,1;0;34;28,7;22,4;40;32;2,6;
2015-01-05;13,8;3,1;0;33,2;28,7;23,8;46;37;2,3;
2015-01-06;14,2;10;0;35;30,2;25,6;41,3;35;4,1;
2015-01-07;17,7;9,8;0;34,6;29,6;23,8;41,5;35;5,6;
2015-01-08;17,3;8,1;0;33,8;29;23,8;42,5;37;4;
2015-01-09;16,3;11,8;0;34,4;28,9;22,4;38,3;32;4;
2015-01-10;18,9;11,6;0;35,4;29,5;23;42,8;34;4,5;
2015-01-11;18,6;11,8;0;35,2;27,4;23,8;61;32;5,4;
2015-01-12;15,3;11,6;,2;34,2;29,3;24;45,3;36;5,1;
2015-01-13;19;11,7;0;34,4;28,9;23,2;40;33;4,9;
2015-01-14;18,5;11,5;0;35,6;29,5;22,8;38,3;23;4,9;
2015-01-15;20,1;7,1;0;34;28,8;23;40;34;2,9;
2015-01-16;15,9;10,7;0;34,6;29,5;23,6;39,5;34;3,3;
2015-01-17;17;9,2;0;35,6;30,3;24,2;40,8;35;3,6;
