Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;25,1;null;74,3;82;3,6;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;6,2;6;0;32,4;25,1;19,9;74,3;55;3,7;
2015-01-05;null;11,8;0;32,4;25,2;18,3;76;66;3,7;
2015-01-06;5,7;10,2;0;31,6;25,3;19,5;70,3;62;3,9;
2015-01-07;7,8;8,4;0;31,8;25;20,3;76,5;64;3,9;
2015-01-08;7,1;10,3;0;32;24,6;19,9;70;47;3;
2015-01-09;7,1;10;0;31,8;24,3;18,9;77,3;61;3,2;
2015-01-10;7,1;11,5;0;32,8;24,9;19,3;72,3;53;4,9;
2015-01-11;8,5;10,3;0;32,2;25,3;20,3;73,8;56;4,7;
2015-01-12;7,2;9,1;0;32,4;25,1;21,3;73,3;53;3,9;
2015-01-13;6,2;10,4;0;32;25;20,3;73;54;4,9;
2015-01-14;8;11;0;32,6;24,8;19,7;67,8;51;4,8;
2015-01-15;8,8;9,3;0;32,8;25,2;19,3;71,8;62;3,5;
2015-01-16;8,2;10,1;0;33,2;25,6;19,5;67;45;3,8;
2015-01-17;9,5;11,3;0;34,6;26;19,9;65,5;41;3,3;
2015-01-18;9,6;11,5;0;33,8;26;20,3;65,5;53;4,1;
2015-01-19;9,2;10;0;33;25,6;20,5;72;59;3,6;
2015-01-20;7,5;11,4;0;33,4;25,6;19,1;67;51;5,1;
2015-01-21;7,9;8,5;0;33,4;25,6;20,1;73,5;52;3,6;
