Nome: PESQUEIRA
Codigo Estacao: 82892
Latitude: -8.370701
Longitude: -36.707812
Altitude: 643.38
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-11-18
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;90;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;
2015-02-01;5;null;0;29,4;21,9;17,9;null;72;2,7;
2015-02-02;5,3;null;0;29,7;22,1;18,1;74,3;44;2,3;
2015-02-03;4,9;null;0;28,8;21,6;18;74;46;3,3;
2015-02-04;4,4;null;0;28,5;22;18,9;80;54;3;
2015-02-05;2;null;32,4;29,2;21,8;18,3;73,8;43;2,7;
2015-02-06;2,2;null;0;29,1;21,9;18,4;73,8;45;2,7;
2015-02-07;2,4;null;0;29,5;22,1;18,6;74,8;45;2,7;
2015-02-08;2,3;null;0;29,3;21,8;18,2;73,3;43;2,7;
2015-02-09;2,5;null;0;29,5;21,9;18,3;73,5;44;2,7;
2015-02-10;2,6;null;0;29,8;22,1;18,4;73,5;42;3;
2015-02-11;2,4;null;0;29,2;21,8;18,2;73,3;44;2,7;
2015-02-12;2,2;null;0;28,7;21,7;18,6;74,5;46;2,7;
2015-02-13;4,1;null;0;30,5;23,2;19,6;75;46;3,3;
2015-02-14;4,3;null;0;31,6;23,7;19,8;74,3;44;4;
2015-02-15;2,3;null;11,2;29;22,2;18,4;78,8;53;2,7;
2015-02-16;2;null;33,8;27,8;21,2;18;78,3;51;2,7;
2015-02-17;2,3;null;0;28,3;21,5;18;76,8;50;3;
2015-02-18;3,1;null;0;29,3;23,1;19,8;80,5;56;2,7;
2015-02-19;2,8;null;0;29;22;18,9;76,8;48;2,7;
2015-02-20;3,1;null;0;29,2;22,9;19,7;80,5;55;2,7;
2015-02-21;3,9;null;0;30;22,6;18,4;75,5;49;2,7;
2015-02-22;3,5;null;0;29,2;22,4;18,8;76,8;49;3;
2015-02-23;3,3;null;0;29,1;22,4;18,8;78,3;52;2,7;
2015-02-24;2,8;null;1,4;28,4;21,4;18;75,3;47;3,3;
2015-02-25;2,2;null;0;28;21,5;18,1;78,5;53;2,7;
2015-02-26;2,8;null;0;28,6;21,5;18;75,8;47;3,7;
2015-02-27;3,1;null;0;29;21,6;18;73,5;43;2,7;
2015-02-28;4,4;null;0;31;23,1;19,2;70;39;3;
2015-03-01;3,3;null;0;30;22,1;18;72,3;42;2,7;
2015-03-02;3,7;null;0;30,3;22,4;18,2;72;41;2,7;
2015-03-03;3;null;0;28,8;21,4;17,9;74,5;44;3;
2015-03-04;3,2;null;0;29;21,5;18;73,8;44;2,3;
2015-03-05;1,2;null;1,3;29;21,7;18,1;74,8;45;3;
2015-03-06;3,4;null;0;29,8;22;17,9;72,5;41;3;
2015-03-07;4,1;null;0;30;22,2;18,1;71,5;41;3,3;
2015-03-08;4,2;null;0;30,2;22,4;18,3;72,3;42;2,3;
2015-03-09;4,4;null;0;30,7;22,7;18,5;72;41;2,7;
2015-03-10;3,1;null;7,9;29;21,8;18,2;75,5;47;3,7;
2015-03-11;3,4;null;0;28,2;21,3;18;77,8;51;2,7;
2015-03-12;4,1;null;0;28,1;21,1;17,9;75,8;47;2,7;
2015-03-13;4,8;null;0;29,3;21,9;18,2;null;58;3;
2015-03-14;4,2;null;0;29;21,6;18;74,8;46;3;
2015-03-15;4,4;null;0;29;21,7;18,1;75;46;2,7;
2015-03-16;4,8;null;0;29,4;21,9;18,2;74,5;45;2,7;
2015-03-17;4,3;null;0;29;21,6;17,9;74,5;45;3,3;
2015-03-18;4,7;null;0;29,4;21,8;18;73,5;44;2,7;
2015-03-19;5;null;0;29,6;21,8;18,2;72,3;40;3;
2015-03-20;5,3;null;0;29,7;21,8;18;72;39;3,3;
2015-03-21;5,5;null;0;29,6;21,9;18,2;71,8;41;3,3;
2015-03-22;6,1;null;0;31,6;23,4;19,2;70,5;38;2,7;
2015-03-23;5,3;null;0;29,7;22,6;19,1;76;48;3;
2015-03-24;5,6;null;0;29,8;22,2;18,5;72,5;42;2,7;
2015-03-25;5,4;null;0;29,7;22;18,3;72,3;41;2,7;
2015-03-26;5,6;null;0;30;22,2;18,5;71,5;41;3,3;
2015-03-27;4,8;null;0;29,2;21,8;18,2;73;43;2,7;
2015-03-28;5,1;null;0;29,8;22,1;18,4;72,8;42;3,3;
2015-03-29;6,1;null;0;30,3;22,6;18,8;72,8;42;3,3;
2015-03-30;5,2;null;0;30;22,2;18,5;73,8;44;2,7;
2015-03-31;6,2;null;0;30,3;22,6;18,7;73,5;43;2,7;
2015-04-01;5,1;null;0;29;21,8;18,1;76,3;49;2,3;
2015-04-02;5,2;null;0;29;21,4;17,4;73,8;44;2,7;
2015-04-03;5,6;null;0;29,2;21,7;18,1;74,5;46;2,7;
2015-04-04;5,8;null;0;29,4;21,9;18,3;74,5;47;2,7;
2015-04-05;4,8;null;0;29;21,3;17,3;73,5;44;3,3;
2015-04-06;4,5;null;0;28,6;21,5;18,1;76,8;49;2,7;
2015-04-07;5,4;null;0;29;21,8;18,2;75;47;3,3;
2015-04-08;5,5;null;6;29,3;22,2;18,8;75,5;49;2,7;
2015-04-09;3,1;null;0;29,1;22,2;19,1;76;49;2,7;
2015-04-10;3,3;null;10,2;29,7;22,4;19,3;76,3;47;3;
2015-04-11;3,5;null;0;29,3;22,5;19,5;77,3;51;2,7;
2015-04-12;3,7;null;0;29,6;22,7;19,6;77;51;3,3;
2015-04-13;3,8;null;0;29,7;22,8;19,8;77,8;51;2,3;
2015-04-14;5,1;null;18,4;29,3;22,4;19,7;76;49;2,7;
2015-04-15;3,6;null;0;31;23,4;19,3;73,8;46;3;
2015-04-16;3,6;null;0;29,3;22,2;18,7;77;50;2,7;
2015-04-17;3,8;null;0;30;22,5;18,8;null;48;2,7;
2015-04-18;4,5;null;0;31;23;19,1;72;43;2,7;
2015-04-19;4,7;null;0;30,5;22,7;18,7;72,3;43;2,7;
2015-04-20;4,5;null;0;30,6;22,7;18,9;73;43;2,7;
2015-04-21;4,3;null;0;30,3;22,4;18,4;72,3;43;2,7;
2015-04-22;4,1;null;0;30;22,4;18,6;72,5;44;2,7;
2015-04-23;4;null;0;30,2;22,2;18,3;72,3;44;2,7;
2015-04-24;4,2;null;0;30,4;22,4;18,6;72;42;2,7;
2015-04-25;5,5;null;0;30,7;22,9;18,9;73;44;2,7;
2015-04-26;5,3;null;0;31;22,8;19,2;72;41;2,7;
2015-04-27;5,5;null;0;30,7;22,6;18,6;72;42;2,3;
2015-04-28;5,2;null;0;30,3;22,3;18,4;71,5;41;2,7;
2015-04-29;5,4;null;0;30,2;22,2;18,3;70,8;40;2,7;
2015-04-30;5,6;null;0;30,5;22,4;18,2;72;42;2,7;
2015-05-01;4,5;null;0;32,2;24,6;20,8;73,3;44;3,7;
2015-05-02;4,3;null;0;32;24,3;20,5;72,5;43;2,7;
2015-05-03;4,1;null;0;31,7;24,1;20,3;72,8;44;2,7;
2015-05-04;3,8;null;0;31,3;23,8;20,1;73,8;44;2,7;
2015-05-05;4;null;0;32;24,1;20;71,8;42;2,7;
2015-05-06;3,9;null;0;31,8;24;20,1;73,3;43;2,3;
2015-05-07;3,7;null;0;31,3;23,8;20;73,3;44;2,7;
2015-05-08;3,5;null;0;31;23,5;19,8;72,8;44;2,7;
2015-05-09;3,8;null;0;31,8;24,1;20,1;72;43;2,7;
2015-05-10;5,5;null;0;31,5;23,8;19,9;73,3;43;3;
2015-05-11;3,5;null;0;29,3;21,7;18,1;72,5;41;2,7;
2015-05-12;3,7;null;0;29,6;22;18,4;72,5;42;2,7;
2015-05-13;3,5;null;0;29;21,8;18,3;72,8;43;2,7;
2015-05-14;3,3;null;0;28,9;21,6;18;73,3;43;3;
2015-05-15;3;null;0;28,8;22;18,8;76,5;49;3;
2015-05-16;2,8;null;0;28,8;21,8;18,5;76;49;3,3;
2015-05-17;3,2;null;0;29,7;22,1;18,1;74,5;44;2,7;
2015-05-18;3;null;0;29,4;21,6;17,9;73,3;42;3,3;
2015-05-19;3,6;null;0;29,6;21,8;18,1;72,8;42;2,3;
2015-05-20;3,4;null;3;29,3;21,6;17,9;73;42;2,7;
2015-05-21;3,2;null;0;29;22,1;18,6;77,5;49;2,7;
2015-05-22;3,5;null;3;29,2;22,1;18,9;76,3;48;2,7;
2015-05-23;3,2;null;0;28,4;21,5;18,1;75,5;48;3;
2015-05-24;3,5;null;0;28,6;21,7;18,2;75,8;49;2,7;
2015-05-25;4,9;null;,1;32;24;19,8;71,5;42;3,3;
2015-05-26;4,4;null;0;30,7;23,6;20,1;75,8;48;3;
2015-05-27;5,3;null;0;32,1;25;21,4;72,3;44;2,3;
2015-05-28;4,3;null;0;30,9;23,8;20,2;76,8;50;2,7;
2015-05-29;4,1;null;0;30,7;23,6;20;76;49;3,3;
2015-05-30;3,8;null;0;29,7;22;18,1;73,5;43;2,7;
2015-05-31;4,2;null;0;30,4;23,3;19,8;76,5;49;2,7;
2015-06-01;3,2;null;0;30,2;23,2;20;76;48;2;
2015-06-02;4,2;null;0;30,8;23,9;20,7;78,3;50;2,7;
2015-06-03;2,8;null;1,5;30;23,3;20,1;78,8;52;2,7;
2015-06-04;4,1;null;0;30,4;23,3;20,1;77;48;2,7;
2015-06-05;2,7;null;1,2;29,6;22,4;18,9;77;48;2;
2015-06-06;3,4;null;0;30;22,7;19,1;76,3;48;2,7;
2015-06-07;4,2;null;2,6;31,2;24;20,1;76,8;49;3;
2015-06-08;4;null;10,3;30,6;23,5;19,9;77,8;51;2,7;
2015-06-09;1,4;null;1,9;29,6;23,1;20,2;80,8;55;2,7;
2015-06-10;1,6;null;0;29,7;22,8;19,1;79,5;52;2,7;
2015-06-11;3,2;null;0;30,9;23;19,1;72;41;3;
2015-06-12;1,3;null;4,7;29;22,7;20;80,3;54;2,7;
2015-06-13;1,3;null;1,9;32;24,4;20,4;72,8;43;2,7;
2015-06-14;2,3;null;0;31,8;23,9;20;71;39;2,7;
2015-06-15;2,1;null;0;30,3;22,8;18,8;73,3;43;2,7;
2015-06-16;2,6;null;0;30,7;23;19,2;73,3;42;3,3;
2015-06-17;2,9;null;0;29,3;22,1;18,6;75,5;46;3;
2015-06-18;1,9;null;,7;29;21,8;18,2;76;47;1,7;
2015-06-19;2,1;null;0;29,2;22;18,4;76,5;46;3;
2015-06-20;2,8;null;0;29,5;22,3;18,8;76,5;47;2,7;
2015-06-21;2,6;null;0;29,2;22;18,6;75,8;47;2,7;
2015-06-22;2,4;null;0;29;21,8;18,2;76,3;48;3;
2015-06-23;2,6;null;6,5;29,1;21,9;18,3;76;47;2,3;
2015-06-24;3,1;null;0;30,6;23,2;19,6;75,3;46;2,7;
2015-06-25;1,3;null;1,7;29;22,3;19,2;78,5;51;2,7;
2015-06-26;1,5;null;3,3;29,1;21,7;18;74,8;45;2,7;
2015-06-27;1,9;null;0;28,8;22,5;18,1;77,8;49;2,7;
2015-06-28;1,4;null;0;31;23,9;20,1;75,3;48;2;
2015-06-29;1,7;null;,5;30,4;23,3;20,1;76,8;48;2,7;
2015-06-30;1,2;null;0;29,5;22,5;19,1;77;50;2,3;
2015-07-01;1,9;null;,5;28;21,6;18,6;80;53;2;
2015-07-02;2,2;null;0;28,4;22;18,9;80;54;2,7;
2015-07-03;2,4;null;0;28,7;22,2;19,1;79,5;53;2,7;
2015-07-04;2,6;null;0;29;22,4;19,3;79,8;53;2,7;
2015-07-05;2,8;null;0;29;22,5;19,4;79,8;52;2,7;
2015-07-06;3;null;0;29,3;22,8;19,6;80;53;2,7;
2015-07-07;3,8;null;3,3;30,8;23,7;20,1;75;47;2,3;
2015-07-08;2,7;null;20,2;28;21,3;18;78,3;51;1,7;
