Nome: GARANHUNS
Codigo Estacao: 82893
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2022-11-11
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;null;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;3;0;28,8;null;null;null;50;1,8;
2015-01-07;3,9;3;0;25,2;null;null;null;68;4,2;
2015-01-08;3;4,5;1,4;28,2;null;null;null;50;3,3;
2015-01-09;3,4;null;0;26,2;null;null;null;61;1,4;
2015-01-10;3,2;5;0;27,4;null;null;null;59;1,8;
2015-01-11;1,4;2,5;0;26,4;null;null;null;63;4,5;
2015-01-12;2,3;4,6;0;28,4;null;null;null;51;3,5;
2015-01-13;3;5,9;0;27;null;null;null;51;3,5;
2015-01-14;3,1;7;0;28;null;null;null;51;2,2;
2015-01-15;4;5,3;0;28,4;null;null;null;44;1,2;
2015-01-16;4;6,9;0;28,8;null;null;null;46;1,8;
2015-01-17;4;8;0;29,2;null;null;null;40;1,8;
2015-01-18;4,2;6,5;0;29,4;null;null;null;43;4,2;
2015-01-19;4,2;6,7;0;29,6;null;null;null;48;3,1;
2015-01-20;3,6;5,8;0;30,4;null;null;null;41;2,5;
2015-01-21;3,4;2,6;0;28,8;null;null;null;58;3,3;
2015-01-22;3,8;1,5;0;27;null;null;null;69;4,3;
2015-01-23;2,6;6,8;0;28,2;null;null;null;59;5,8;
2015-01-24;3,2;1,6;0;25,6;null;null;null;79;5,5;
2015-01-25;3,4;8,1;4,2;29;null;null;null;57;6,3;
2015-01-26;3,2;6,9;0;30,6;null;null;null;50;3,7;
2015-01-27;3,4;6,6;0;29,6;null;null;null;52;4,2;
2015-01-28;3,2;5;0;29,6;null;null;null;55;4,1;
2015-01-29;3,4;6,2;0;28,2;null;null;null;63;3,7;
2015-01-30;3,2;4,2;0;30,6;null;null;null;52;4,7;
2015-01-31;3;4;0;29;null;null;null;58;4;
2015-02-01;3,4;6,3;0;29,2;null;null;null;56;1,9;
2015-02-02;3,4;5,8;0;30,8;null;null;null;52;2,6;
2015-02-03;4;4,8;0;28,8;null;null;null;47;1,4;
2015-02-04;2,3;1;15,6;27;null;null;null;69;4,8;
2015-02-05;2,4;5,5;1,4;28,6;null;null;null;54;3,7;
2015-02-06;3;7,6;0;28,8;null;null;null;59;3,7;
2015-02-07;3,1;5,2;0;29,2;null;null;null;58;4,3;
2015-02-08;3;1,2;0;26,8;null;null;null;69;3,5;
2015-02-09;3,5;5,1;0;29,8;null;null;null;44;3,5;
2015-02-10;3;2;0;29;null;null;null;57;3,8;
2015-02-11;3;4,3;0;30,2;null;null;null;44;2,9;
2015-02-12;3;4,5;0;29,2;null;null;null;57;4,3;
2015-02-13;4;4,5;2,5;29,6;null;null;null;47;2,9;
2015-02-14;4,2;2,3;0;29,4;null;null;null;49;4;
2015-02-15;4;0;0;26,8;null;null;null;63;6,5;
2015-02-16;2,3;6,4;43,7;28;null;null;null;62;2,5;
2015-02-17;2,9;3;0;26,8;null;null;null;65;2,5;
2015-02-18;3,1;2,6;0;27,2;null;null;null;64;1,2;
2015-02-19;2,5;null;0;27,8;null;null;null;59;2,3;
2015-02-20;2,6;1,3;0;27,6;null;null;null;55;1,7;
2015-02-21;3;0;0;25,8;null;null;null;69;,3;
2015-02-22;1,5;0;5,2;23,8;null;null;null;87;,5;
2015-02-23;1;2,7;2,9;27,8;null;null;null;65;1,8;
2015-02-24;2,1;1,3;,6;27,2;null;null;null;65;4,3;
2015-02-25;2,9;7,1;0;29;null;null;null;52;2,1;
2015-02-26;3,2;7,3;0;29,6;null;null;null;58;4,3;
2015-02-27;3,8;7,6;0;31,6;null;null;null;42;1;
2015-02-28;4;4,8;0;30,8;null;null;null;48;1,9;
2015-03-01;3,5;4,2;0;28,2;null;null;null;67;5,4;
2015-03-02;2,3;4,2;4,6;29;null;null;null;58;1,8;
2015-03-03;3,7;6,3;2,6;28,2;null;null;null;53;1,2;
2015-03-04;3,2;3,9;0;28,2;null;null;null;60;2,7;
2015-03-05;3;2,8;0;29,4;null;null;null;58;1,4;
2015-03-06;1,4;3,9;2,6;27,8;null;null;null;66;1,8;
2015-03-07;2;4,8;0;29,2;null;null;null;65;3,7;
2015-03-08;2,6;,1;0;26,6;null;null;null;75;2,5;
2015-03-09;1,6;,5;2,2;25,8;null;null;null;78;,6;
2015-03-10;,8;2,3;2,8;28,8;null;null;null;59;3,7;
2015-03-11;3;7,2;0;29,4;null;null;null;47;2,3;
2015-03-12;4,6;4,1;0;28,6;null;null;null;59;2,6;
2015-03-13;2,7;5,2;0;29,4;null;null;null;74;3,7;
2015-03-14;3,2;4,6;0;28,8;null;null;null;53;1,9;
2015-03-15;2,7;3,7;0;29,2;null;null;null;58;1,4;
2015-03-16;2,8;1,1;0;28,8;null;null;null;59;4,6;
2015-03-17;2,5;1;0;29,8;null;null;null;49;4,4;
2015-03-18;2,9;2,3;0;29,2;null;null;null;55;4,5;
2015-03-19;3,7;1,3;0;27,8;null;null;null;53;,6;
