Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,7;1;2,6;28,4;25,4;23;88,8;77;1,2;
2015-01-02;1,1;6,9;17,7;30,2;26,5;23;75,3;68;1,7;
2015-01-03;3,2;10,2;0;30,8;25,8;20,8;72,3;67;2,2;
2015-01-04;4,7;10,3;0;31,4;26,4;20,4;67,5;59;2,1;
2015-01-05;4,6;7,6;0;32;27,4;22,2;69,5;61;2,3;
2015-01-06;4,3;9,7;0;30,6;27,2;23,9;69,8;61;2,7;
2015-01-07;null;9,2;null;30,8;null;25,3;null;75;0;
2015-01-08;null;10,2;0;30,9;27,1;24,2;70,3;62;2,1;
2015-01-09;6,2;9,7;,4;30,6;26,8;22;67,8;58;3,1;
2015-01-10;5;4,7;2;29,8;26,6;21,8;75,5;71;2,3;
2015-01-11;2,5;6,3;1,3;31,2;26,7;23,4;78,3;67;3,1;
2015-01-12;4,7;8,8;6,6;30,2;26,6;22;77,3;75;2,7;
2015-01-13;4,3;9,8;,8;30,7;27,3;24,4;69,3;62;2,4;
2015-01-14;4,8;9,9;0;30,5;27;23;68,3;65;1,9;
2015-01-15;5;10,4;0;31;26,7;22;67,5;55;2,7;
2015-01-16;4,8;10;0;31;26,9;21;68,5;61;1,9;
2015-01-17;4,8;9,7;0;31;27,4;22,8;71,3;64;2,7;
2015-01-18;5;10,5;0;31,4;27,8;25,2;67;56;1,6;
2015-01-19;4,6;9,8;1;31,4;27,6;24,4;71,3;61;1,4;
2015-01-20;3,2;9,6;2;31,2;26,9;22,4;72,5;59;2,8;
2015-01-21;3,7;9;0;31,3;27,7;24,4;71,8;66;2,5;
2015-01-22;4,2;9,2;0;31,2;27,3;23,2;67,8;60;1,5;
2015-01-23;3,9;9,5;0;32,2;27,6;22;70,8;58;3,2;
2015-01-24;3,4;4,4;21,6;31;25,7;19,6;80;67;1,7;
2015-01-25;2,8;10,2;,8;31,2;27,3;22,8;69,8;62;2,2;
2015-01-26;3,7;10,4;0;31,4;26,9;21,2;66,5;57;2,3;
2015-01-27;4,5;10,8;0;31;27,3;24;66;61;2,2;
2015-01-28;3,6;7,2;0;30,6;26,8;20,8;66,8;55;2,9;
2015-01-29;null;null;null;null;null;null;null;73;null;
2015-01-30;null;null;7;31,2;27,2;22,6;73,5;61;1,9;
2015-01-31;3,2;9,1;1,6;30;26,8;24;71,3;67;2,2;
2015-02-01;3;8,9;,2;31,4;27,3;24,4;72,3;65;2,1;
2015-02-02;3,5;9,6;0;31,2;27,2;21,4;68,8;63;2,7;
2015-02-03;2,9;8,9;0;32;27,8;23,2;65,8;60;1,8;
2015-02-04;3,1;8,4;0;31,4;27,9;24,2;70,5;65;1,9;
2015-02-05;2,5;4,5;0;32;27;22;70,8;57;1,8;
2015-02-06;3;7,7;0;32,6;27,7;22,2;68,5;61;2,7;
2015-02-07;3;9,5;0;32,1;28;23,8;68;63;3,3;
2015-02-08;4,8;9,8;0;31,9;27,2;23,6;70,5;58;1,7;
2015-02-09;3,8;10;,6;31,4;27,9;23,8;68;58;2,4;
2015-02-10;3,9;9,4;5;32;27,6;23,8;71;60;2,8;
2015-02-11;4,1;9,3;0;32,6;28,2;23,9;72;60;2,1;
2015-02-12;3,6;8,4;0;32;28,2;23,6;66,3;61;3;
2015-02-13;4;9,9;0;31,4;27,7;23;66;58;2,3;
2015-02-14;5;8,9;0;32,4;27,6;22,2;66,3;55;1,6;
2015-02-15;4;8,5;4,4;32;27,6;22,8;72;64;1,6;
2015-02-16;3,7;9,1;0;31,9;28,4;24,6;69;65;1,9;
2015-02-17;4,1;8;0;32,2;27,5;24,4;80,3;65;2,6;
2015-02-18;2;,1;22,2;29,5;26,5;24,3;85;72;1,1;
2015-02-19;2,5;7;1,6;31;27,2;24,2;75;61;1,8;
2015-02-20;3,5;7,4;0;31,4;27,2;22,4;72,8;60;1,3;
2015-02-21;3;3,8;0;31;26,7;23,4;78,5;70;1;
2015-02-22;3,4;6;8,4;30,6;26,8;23,2;75,5;61;1,9;
2015-02-23;1,7;6,6;2;31,2;26,7;23;77,5;65;1,8;
2015-02-24;2,1;10;,6;31,8;26,9;22,2;77,8;61;1,2;
2015-02-25;3,4;10,1;9;31;27,7;25;69;61;2,1;
