Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2023-08-14
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;5,1;1,4;32,6;26,5;23,7;85,8;69;1,7;
2015-01-02;null;3;,1;30,8;25,7;23,4;89,8;75;1;
2015-01-03;null;,3;4,3;26,6;24,6;23,1;94,8;93;1,7;
2015-01-04;null;4,7;18,6;32,6;26,2;22,3;83,8;68;1;
2015-01-05;null;3,1;0;30;25,4;22,5;89,3;82;1,7;
2015-01-06;null;1;10,6;29,9;24,4;22,1;96;91;1;
2015-01-07;null;6,5;2,6;32,2;25,8;21,1;83,8;69;1,4;
2015-01-08;null;4,1;0;33,3;27;22,2;88,8;84;1,7;
2015-01-09;null;1,6;0;28,4;25,2;23,2;95,5;82;,7;
2015-01-10;null;3,6;41,9;30,8;25,6;20,4;85,5;68;,3;
2015-01-11;null;5,1;0;30,8;25,2;22,3;88,5;74;,3;
2015-01-12;null;,9;6,6;28,8;24,9;23,3;96,8;91;,3;
2015-01-13;null;5;19,2;29,9;25,8;22,5;89,3;76;,3;
2015-01-14;null;,7;5,1;26,8;23,5;21,1;92,3;86;1,7;
2015-01-15;null;8,6;12,1;33,2;25,2;20,2;84,8;65;2,1;
2015-01-16;null;3,2;7,3;31,2;26;22,1;85,8;70;1,4;
2015-01-17;null;2,3;,3;29,6;24,4;22,5;92,8;79;1;
2015-01-18;null;3,1;20;30,5;25,3;22,5;92,5;86;,3;
2015-01-19;null;4;5,1;32;24,9;23,1;91;66;1,4;
2015-01-20;null;4;36,9;30,5;25,4;22,1;87,5;81;1,7;
2015-01-21;null;2,8;0;30,2;25,1;22,4;93,3;86;1,4;
2015-01-22;null;3,6;5,6;29,8;25,7;23,1;89,3;79;1,4;
2015-01-23;null;7,8;10,2;32,8;26,4;21,3;85,5;64;,3;
2015-01-24;null;,3;2,9;28,3;25,1;22,8;91,5;86;1,4;
2015-01-25;null;,3;,1;26,6;24,7;23,5;93;92;,3;
2015-01-26;null;3,1;13,2;30,8;25,1;22,9;88,5;75;1,7;
2015-01-27;null;,9;2,3;29,7;25,5;23,3;90;81;1,4;
2015-01-28;null;2,5;1,1;29,4;25,2;22,4;93;89;,3;
2015-01-29;null;5;12;32,4;26,5;23,3;87;68;,3;
2015-01-30;null;4;0;32,2;25,6;24,1;87;68;1,7;
2015-01-31;null;,8;,9;27,2;24,1;22;94,5;92;,3;
2015-02-01;null;4,6;5,2;30,5;25,5;21,7;89;82;1,4;
2015-02-02;null;null;0;null;null;22,1;null;63;1;
2015-02-03;null;7;16,2;32,4;26,7;22,3;87,3;76;,7;
2015-02-04;null;9,5;0;34,1;27,7;22,5;80,5;62;1,4;
2015-02-05;null;7;0;34;27,4;23,8;80;66;1,4;
2015-02-06;null;6,4;0;31,8;27,1;23,9;83;70;1,7;
2015-02-07;null;,6;1,4;31,2;26,3;23,7;86,5;72;1;
2015-02-08;null;3,7;,2;32,8;26,3;23,5;87,8;67;,3;
2015-02-09;null;1,2;2,2;29,8;25;23,5;97,5;94;,7;
2015-02-10;null;3,2;29,8;32;25,7;23,1;93,3;76;1;
2015-02-11;null;,7;43;27,8;24,3;23,1;99;97;,7;
2015-02-12;null;4,5;9,8;31,8;26,6;23,1;89,8;78;,3;
2015-02-13;null;2,4;0;30,5;25;23,3;92,3;87;2,7;
2015-02-14;null;3,6;4,3;31,8;25,3;22,9;92,8;81;,3;
2015-02-15;null;7,6;19,7;33,4;27,1;23,2;83;67;1,4;
2015-02-16;null;7,5;0;34,4;27,1;23,1;82,5;60;1,4;
2015-02-17;null;2,3;33,7;31,1;26;23,3;92,3;80;1;
2015-02-18;null;0;36,6;28,2;25,1;21,7;97;95;0;
2015-02-19;null;,4;6,8;27,2;25;23,1;94,3;89;1,7;
2015-02-20;null;,2;0;29,8;24,8;22,3;94,3;83;0;
2015-02-21;null;0;32,6;24,6;22,7;21,1;95,5;90;,7;
2015-02-22;null;2,6;4,3;29,8;24,3;21,1;91,5;80;,7;
2015-02-23;null;0;,9;24,8;23;22,3;98,3;94;1;
2015-02-24;null;3,2;35,5;29,8;24,9;21,6;91,5;83;,7;
2015-02-25;null;null;0;null;null;22,3;null;92;1;
2015-02-26;null;5,6;5,6;31,8;26,4;22,9;88,8;80;1;
2015-02-27;null;4,9;0;32,6;26,5;23,1;85,5;77;1,7;
2015-02-28;null;,3;,1;27;24,1;22,9;98;84;,3;
2015-03-01;null;5,6;44,8;29,7;24,7;22;88,8;79;1,7;
2015-03-02;null;7,2;2,3;32,5;25,8;22,3;90,5;75;0;
2015-03-03;null;1,6;4;30,6;25,1;22,4;90,8;77;1;
2015-03-04;null;,2;1;28,2;23,9;22,6;95,5;92;1,4;
2015-03-05;null;0;34,8;26,6;24;22,4;94;98;1,7;
2015-03-06;null;,7;7,4;29;24,1;22,5;95;89;1;
2015-03-07;null;7;3,7;30,8;25,3;22,1;92;86;,7;
2015-03-08;null;6,4;,2;32,6;25,8;21,9;86,3;63;,5;
2015-03-09;null;8,2;6,4;33,9;26,5;23,3;88,5;72;,7;
2015-03-10;null;7,4;4,1;32,8;26,4;23,4;91;87;1;
2015-03-11;null;8,8;3,3;34,7;28;23,3;83,5;62;,7;
2015-03-12;null;,7;0;29;26,2;24,1;93;87;1;
2015-03-13;null;7,5;4,5;32;26,7;23,1;86,5;69;1,4;
2015-03-14;null;1,5;1,6;32,4;26,3;23,1;91,8;72;1,4;
2015-03-15;null;3,4;32,8;31,6;25,4;23,9;92,8;79;,7;
2015-03-16;null;2,3;24,4;30,8;25,6;22,5;90;97;,5;
2015-03-17;null;5,1;1,9;32;26,1;23,5;90,3;72;,3;
2015-03-18;null;2,5;,1;31,8;25,3;23,7;93,3;74;,3;
2015-03-19;null;1,3;61,2;28;24,6;22,3;97,3;94;,3;
2015-03-20;null;0;5,5;26,9;24,7;23,1;96;98;2,1;
2015-03-21;null;4,2;2,8;31,6;26,2;22,7;88,5;78;1,4;
2015-03-22;null;1,5;,2;30,1;25,5;23,1;93,8;89;1;
2015-03-23;null;4;8,3;30,6;24,7;22,4;90,8;82;1,4;
2015-03-24;null;3,4;null;30,8;null;null;89;79;1,5;
2015-03-25;null;1,1;3,2;29,7;25,1;23,4;91,3;82;1,4;
2015-03-26;null;7,9;4,2;32,2;26,6;22,5;83,8;74;2,4;
2015-03-27;null;5,9;,8;33,7;27,2;23,3;86,3;66;1,4;
2015-03-28;null;0;18,6;28;24;22,9;94,8;90;1,4;
2015-03-29;null;3,2;0;28,4;24,6;22,3;90;78;1,7;
2015-03-30;null;2,7;0;31,7;25;22,4;92,8;81;,9;
2015-03-31;null;5,5;0;31,5;26;22,4;86;95;0;
2015-04-01;null;6;6,9;32,4;26,3;22,3;88,8;75;0;
2015-04-02;null;4,6;0;32,7;27,2;23,7;85,3;77;,7;
2015-04-03;null;4;0;31,6;26,2;22,6;87,8;78;1,7;
2015-04-04;null;9,6;0;33,5;26,6;22,5;87;69;,3;
2015-04-05;null;7,2;2,7;33,6;27,1;23,3;82,5;65;,3;
2015-04-06;null;,1;0;27,6;24,6;24,2;95,8;87;1,4;
2015-04-07;null;1,8;8,3;29,2;24,7;21,5;90,8;75;1;
2015-04-08;null;9,2;0;33,3;26,6;22,1;85;70;,7;
2015-04-09;null;2,9;,7;31,2;26,3;22,4;90,3;83;1;
2015-04-10;null;5,7;,2;32,2;26,2;23,6;88,5;70;,7;
2015-04-11;null;1,4;4,4;30,2;25,4;23,4;90,3;81;,7;
2015-04-12;null;5,7;14,2;32,6;26,1;22,7;88,8;72;1;
2015-04-13;null;5,7;5,6;32,2;25,8;23,2;91;76;1;
2015-04-14;null;6,9;1,1;33,1;27;22,5;85;70;1;
2015-04-15;null;4;0;31,1;25,5;22,5;90,8;79;1,4;
2015-04-16;null;6,4;4,8;33,1;26,2;23,3;86;64;1,4;
2015-04-17;null;2,3;,4;30,7;24,7;23,5;94,5;90;,3;
2015-04-18;null;8,9;17,3;32,6;25,8;20,9;86,8;67;,7;
2015-04-19;null;6,7;54;32,6;26,2;21,6;87;72;,7;
2015-04-20;null;4,7;0;31,6;25,9;23,5;92,3;89;,9;
2015-04-21;null;7,6;12,1;32;26,5;23,3;87,8;71;,7;
2015-04-22;null;2;7,2;27,8;25,4;24,2;96,5;91;,7;
2015-04-23;null;7,8;7;32,8;26,7;23,2;89,5;80;1,4;
2015-04-24;null;8,5;11,8;32,6;28,9;23,3;78,3;89;0;
2015-04-25;null;6,8;1,6;32,2;25,9;23;91,5;62;1;
2015-04-26;null;8,5;7,8;32,6;28,8;23;75;77;1;
2015-04-27;null;7,7;8,6;33,1;26,5;23,4;89,5;62;2,4;
2015-04-28;null;4,1;27,8;31;25,7;22,3;89,3;78;,3;
2015-04-29;null;1,5;,6;28,6;25,1;22,5;94,3;89;1,4;
2015-04-30;null;,5;7,1;29,6;25,6;24;94,3;88;,3;
2015-05-01;null;5,8;16,1;29,9;25,8;23,8;91,3;84;1,4;
2015-05-02;null;8,9;,1;31,4;26,3;23,3;87;73;2,1;
2015-05-03;null;7,7;,1;32,2;26,6;23;85,3;67;1,7;
2015-05-04;null;3,8;0;30,6;26,6;24,3;87,8;79;2,7;
2015-05-05;null;1,9;14,6;28,3;24,9;23,1;95,5;88;1,4;
2015-05-06;null;5,9;3,2;31,6;26;22,3;88;75;,3;
2015-05-07;null;3,6;0;31,6;25,8;22,4;91,5;89;2,4;
2015-05-08;null;5;4,5;29,8;25,5;22,5;90,8;84;1,4;
2015-05-09;null;3,6;5,3;31;25,7;22,5;92,5;86;,7;
2015-05-10;null;3,4;11;30,8;25,7;23,2;91;80;1;
2015-05-11;null;,9;0;29,8;23,8;23,1;95,8;87;1,7;
2015-05-12;null;0;46,1;25,2;22,7;20,4;95,3;90;1,4;
2015-05-13;null;6,4;0;29,6;24,8;20,2;91;74;1;
2015-05-14;null;5;4,3;30,9;25,2;22,1;89,8;71;,7;
2015-05-15;null;1,4;3,2;29,8;25,3;23,2;89,8;76;1;
2015-05-16;null;0;24,5;25;22,1;21,3;97,5;92;2,1;
2015-05-17;null;5,7;5,9;30,4;24,9;21,4;91,3;77;1,7;
2015-05-18;null;1,3;0;27,8;24,4;22,1;90,3;79;1;
2015-05-19;null;8,6;0;33,2;25,8;21,5;88;74;,7;
2015-05-20;null;6,5;0;32,4;25,6;22,1;88;67;,3;
2015-05-21;null;4,8;4,4;30,8;25;22,4;94,5;90;1;
2015-05-22;null;7,6;12,6;33,1;26,3;22,6;84,5;64;1;
2015-05-23;null;4,4;0;31;25,4;22,8;94;88;,7;
2015-05-24;null;10;9,2;32,4;26,4;21,9;84;67;1,4;
2015-05-25;null;3,1;0;30,8;25,9;23,1;87,5;72;,7;
2015-05-26;null;9;,1;34,1;27;23,1;83,3;64;1;
2015-05-27;null;5,3;0;32,1;26,4;23,2;87,5;68;,3;
