Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,5;8,3;9;33,8;26,3;20,3;74,3;49;1;
2015-01-02;3,3;10;0;35,3;27,9;21,8;67;41;1,3;
2015-01-03;4,1;11,3;0;36,6;28,4;21,9;63,3;37;,7;
2015-01-04;5;0;10;30,6;24,4;21,6;85,8;72;,8;
2015-01-05;1;6,6;30;32,1;25,3;21;87,3;82;,8;
2015-01-06;1,6;7,9;2,3;32;26,3;21,8;81;72;,5;
2015-01-07;2,4;9,5;21;34;27,5;22,2;72;46;1,6;
2015-01-08;3,6;8;0;33,9;27,7;23,9;75,5;50;1,1;
2015-01-09;4,5;11,1;0;35,1;28,6;22,5;64,5;41;1,3;
2015-01-10;4;9,8;0;35,6;29;23,8;66;45;1,5;
2015-01-11;4,9;11,1;0;35;29,1;23;65,3;50;1,6;
2015-01-12;5;7,8;0;34,5;28,4;23;62,3;44;2,2;
2015-01-13;5;8,4;0;35,6;28,2;22,8;65,3;38;1,5;
2015-01-14;5,3;3,3;0;35;28;24;65,5;38;1;
2015-01-15;4,9;1;0;32,3;27,2;23;72;53;,8;
2015-01-16;2,8;1,4;0;30,9;25,8;22,8;88;74;,5;
2015-01-17;1;5,6;2,8;33,6;27;22,1;77;51;,5;
2015-01-18;2,8;4,4;0;34,5;26,8;23;78,5;64;1,4;
2015-01-19;2,7;3,4;5;29,9;25,6;21,5;82,8;73;1,1;
2015-01-20;1,9;6,6;,6;32,8;26;22,8;77;61;1,4;
2015-01-21;2,8;,6;0;29,4;23,8;21,5;85,5;67;1,1;
2015-01-22;1;3,6;12;32,7;25;21;76;55;,8;
2015-01-23;2,1;9,8;1;33;26,5;21,5;71,5;61;1,1;
2015-01-24;3,5;7,7;1;33,5;26,8;21,4;71,5;54;1,3;
2015-01-25;3,6;0;0;28;23,6;21,8;92,5;77;,8;
2015-01-26;,4;2,9;56;30,3;23,9;20,2;87,3;68;1,6;
