Nome: BOM JESUS DO PIAUI
Codigo Estacao: 82975
Latitude: -9.07999999
Longitude: -44.32777777
Altitude: 288
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2023-07-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;34;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;
2015-02-01;0;6,7;0;34;29,7;19,7;46;67;,7;
2015-02-02;4,8;5;0;34,4;30,1;19,9;42;33;,6;
2015-02-03;5,1;1,1;0;31,5;28,1;19,5;67;31;,5;
2015-02-04;4,1;11,5;29,2;32,2;28,4;18,9;66;65;,5;
2015-02-05;4,7;8,3;31,8;33,5;29,4;19,2;50;58;,5;
2015-02-06;5,2;2,1;0;33,9;29,5;18,9;48;41;,5;
2015-02-07;5,4;3,1;0;32,3;28,6;19,2;55;35;,5;
2015-02-08;4,4;3,7;16;32,6;28,6;18,7;53;49;,6;
2015-02-09;4,6;9,3;18;33,7;29,4;18,9;49;40;,5;
2015-02-10;4,8;9,8;0;34,2;29,9;19,5;46;35;,6;
2015-02-11;5;11,5;0;34,3;30,1;19,7;43;33;,5;
2015-02-12;5,3;10,1;0;34,2;30,2;19,9;43;31;,5;
2015-02-13;5,1;6,3;0;33,1;29,7;20,3;45;32;,5;
2015-02-14;4,2;2;0;32,2;28,9;19,8;51;36;,6;
2015-02-15;3,4;3,5;0;32,6;29,1;19,5;50;43;,5;
2015-02-16;3,6;8,8;0;33,9;30;19,8;42;39;,5;
2015-02-17;3,9;4,5;19,9;33,4;29,4;19,2;48;29;,5;
2015-02-18;3,6;7;0;33,2;29,4;19,4;47;37;,6;
2015-02-19;3,3;1,1;6,9;32,4;28,8;19,3;51;37;,5;
2015-02-20;3;3,4;31,2;31,2;27,8;18,6;58;41;,5;
2015-02-21;2,5;9,5;4;32;28,5;19,7;51;47;,5;
2015-02-22;2,7;,3;39,2;31,1;27,6;18,3;57;39;,5;
2015-02-23;2,4;,3;0;31,9;28,3;18,6;52;45;,5;
2015-02-24;2,6;2,3;36,8;35,4;28,6;17,9;57;41;,5;
2015-02-25;2,3;10,7;0;31,9;28,2;18,3;52;46;,5;
2015-02-26;2,7;8,3;0;33;29;18,7;48;40;,5;
2015-02-27;3,4;4,6;0;33,5;29,4;18,9;46;38;,5;
2015-02-28;3,6;6,3;0;33,7;29,6;19,2;44;35;,5;
2015-03-01;2,6;2,6;0;31,6;28,2;18,8;61;34;,5;
2015-03-02;3;6,3;4;33,2;29;18,5;74;57;,6;
2015-03-03;3,5;5,5;3,5;33;29,1;18,8;47;34;,6;
2015-03-04;3,2;8,6;0;33,6;29,6;19,2;43;35;,6;
2015-03-05;3,5;9,8;0;34;30;19,5;40;32;,5;
2015-03-06;3,8;7,1;0;32,5;29;19,1;49;27;,7;
2015-03-07;3,5;4,5;10;32,9;29;18,7;46;41;,6;
2015-03-08;3,7;10,6;0;33,4;29,5;19;43;33;,5;
2015-03-09;3,8;9,6;0;33,6;29,7;19,3;42;32;,6;
2015-03-10;3,9;4,4;0;33;29,3;19;47;29;,7;
2015-03-11;3,4;7,1;0;33,6;29,5;18,6;42;35;,6;
2015-03-12;3,6;,3;0;32,8;29,1;18,9;46;29;,5;
2015-03-13;3,1;9,2;9;33,1;29,1;18,7;43;36;,6;
2015-03-14;3,5;9,7;0;33,8;29,7;18,9;40;32;,5;
2015-03-15;4;6,6;0;34;29,7;18,6;40;28;,5;
2015-03-16;5,1;4,8;0;34,2;30;19;38;26;,5;
2015-03-17;6,4;1,3;0;32,2;28,6;18,5;54;26;,5;
2015-03-18;3,2;1,3;5;32,9;28,8;17,9;58;47;,5;
2015-03-19;6,7;2,7;23,2;31,5;28,1;18,2;61;46;,5;
2015-03-20;2,4;1,9;2,9;32,4;28,5;17,8;50;56;,6;
2015-03-21;2,8;0;2,9;32;28,1;17,4;55;40;,6;
2015-03-22;2,4;3,5;10;31,2;27,8;17,7;62;45;,5;
2015-03-23;2,1;3,2;53;32,5;28,5;17,6;51;57;,5;
2015-03-24;2,6;1,9;2;31,3;28;18,4;55;40;,5;
2015-03-25;1,7;3,8;18,3;32,3;28,8;18,9;49;47;,5;
2015-03-26;2,2;2,7;0;32,5;29,1;19,2;47;39;,5;
2015-03-27;2,6;6,7;0;33;29,4;19,5;45;39;,5;
2015-03-28;3;9,9;0;32,6;29;18,9;48;34;,5;
2015-03-29;2,7;9,1;14,8;33;29,1;18,7;null;37;,5;
2015-03-30;3,1;9;0;33,6;29,7;19,1;43;34;,5;
2015-03-31;3,5;7;0;34;30;19,3;40;31;,6;
2015-04-01;3,8;4,9;0;34,2;29,9;18,9;40;27;,6;
2015-04-02;4,1;6,7;0;33,1;29,1;18,5;50;27;,6;
2015-04-03;3,4;4,4;4;33,5;29,4;18,7;47;39;,6;
2015-04-04;3,6;10,5;0;34,2;30;19,2;42;35;,7;
2015-04-05;3,9;4,6;0;31,4;28,2;19;63;30;,5;
2015-04-06;1;2,9;22,2;32,2;28,5;18,5;55;60;,5;
2015-04-07;1,7;7,7;0;33;29,1;18,8;49;45;,6;
2015-04-08;2,5;5,6;0;32,4;28,9;19;54;37;,5;
2015-04-09;1,6;5,2;0;33,1;29,2;18,7;52;47;,6;
2015-04-10;2,2;8,5;0;33,4;29,5;18,9;48;43;,6;
2015-04-11;2,5;6,4;0;33,2;29,5;19,3;49;39;,5;
2015-04-12;2,3;9,8;0;34,1;29,9;19;47;40;,5;
2015-04-13;2,6;8,6;0;34,5;30,4;19,3;43;34;,7;
2015-04-14;2,9;7;0;34,1;30;18,9;47;31;,5;
2015-04-15;2,7;8,9;2;34,4;30;18,6;45;36;,7;
2015-04-16;3,1;10;0;34,6;30,3;19;42;33;,6;
2015-04-17;3,5;9,8;9,2;34,2;29,8;18,5;45;30;,6;
2015-04-18;3,3;9,7;0;34,9;30,4;18,8;41;34;,8;
2015-04-19;3,6;10;0;34,7;30,1;18,4;44;28;,8;
2015-04-20;3,5;5,1;0;33,1;29;18,1;57;32;,5;
2015-04-21;3;,3;8,9;33,6;29,3;17,8;55;51;,6;
2015-04-22;3,3;7,9;2,9;34,2;29,7;18;48;44;,7;
2015-04-23;3,6;6,8;0;33,4;29,3;18,4;51;37;,6;
2015-04-24;3,2;3,4;15,8;33,8;29,4;18,2;48;41;,6;
2015-04-25;2,7;2,7;45;33;28,7;17,6;58;36;,6;
2015-04-26;2;8,8;0;33,7;29,4;17,9;58;47;,6;
2015-04-27;2,4;3,6;5;33,9;29,4;17,7;51;39;,5;
2015-04-28;2,7;7,2;0;34,2;29,9;18,9;47;39;,6;
2015-04-29;2,9;7,5;12,8;33,4;29,3;18,5;49;37;,5;
2015-04-30;2,7;1,6;0;33,2;29,3;18,8;51;40;,8;
2015-05-01;2,5;0;6;32;28,6;18,7;null;43;,8;
2015-05-02;2,1;,6;0;32,6;28,8;18,4;51;49;,7;
2015-05-03;2,4;5;0;32,2;28,6;18,5;52;43;,5;
2015-05-04;2,6;9,7;5,9;32,8;29,1;18,7;48;46;,5;
2015-05-05;3,1;9;0;32,5;28,7;18;52;41;,9;
2015-05-06;2,9;9,5;12,1;33,4;29,3;18,3;48;45;,7;
2015-05-07;3,2;9,2;0;33,7;29,6;18,6;45;40;,8;
2015-05-08;3,7;8,3;0;33,2;29,4;19,3;47;35;,9;
2015-05-09;3,5;1,5;48;32,1;28,6;18,7;63;40;,8;
2015-05-10;2,8;9,6;0;32,9;29,1;18,9;56;57;,8;
2015-05-11;3,3;10;0;33,3;29,5;19,2;51;48;,5;
2015-05-12;3,8;5,4;0;32,5;28,9;18,7;54;43;,5;
2015-05-13;3,3;9,5;0;33;29,3;19;50;47;,6;
2015-05-14;3,6;10;0;33,2;29,2;18,6;50;43;,7;
2015-05-15;3,9;8,7;0;32,4;28,6;18,1;null;41;,9;
2015-05-16;3,5;10;0;32,1;28,4;18;59;46;,8;
2015-05-17;3,2;7,9;0;32,6;28,8;18,6;56;53;,9;
2015-05-18;3,4;8;0;32,9;29,1;18,9;49;49;,5;
2015-05-19;3,8;7,4;0;33,4;29,3;18,6;40;40;,7;
2015-05-20;4,1;7,6;0;33,6;29,7;19;44;36;,7;
2015-05-21;4,4;9,4;0;33,9;29,8;18,7;43;34;,7;
2015-05-22;4,7;8,2;0;33,2;29,5;19,1;47;32;,8;
2015-05-23;3,9;7,4;0;32,6;29;18,7;50;39;,9;
2015-05-24;3,5;7,6;0;33,2;29,4;18,9;46;42;,7;
2015-05-25;3,8;8,6;0;33,9;30;19,4;43;36;,9;
2015-05-26;4,3;10;0;34,3;30,1;19;43;33;,8;
2015-05-27;4,7;9,7;0;34,6;30,4;19,4;41;31;,8;
2015-05-28;5;6,7;0;34,3;30;19;42;29;,7;
2015-05-29;4,7;9,7;0;34;29,7;18,5;44;30;,7;
2015-05-30;4,5;10,4;0;33,7;29,6;18,7;46;32;,6;
2015-05-31;4,4;9,7;0;34;29,9;19;40;36;,7;
2015-06-01;4,7;9,8;0;34,3;30,2;19,3;40;33;,9;
2015-06-02;5;9,7;0;33,9;29,8;19;43;29;,8;
2015-06-03;4,8;9,3;0;34,1;30,1;19,4;42;32;,8;
2015-06-04;5,2;8,9;0;34,5;30,2;19,1;40;31;,9;
2015-06-05;5,6;5,2;0;34;30;19,3;41;28;,7;
2015-06-06;5,3;10;0;33,6;29,6;18,9;44;30;,8;
2015-06-07;5,2;5,8;0;34,1;29,7;18,5;null;33;,7;
2015-06-08;5,6;1,7;0;33,4;29,5;18,9;47;37;,9;
2015-06-09;5;5,4;0;33,7;29,5;18,4;45;39;,7;
2015-06-10;4,7;6,6;0;34;29,8;18,6;43;35;,8;
2015-06-11;5,3;9,5;0;34,2;29,8;18,5;43;33;,8;
2015-06-12;5,5;9,4;0;34,4;30;18,7;42;31;,9;
2015-06-13;5,7;8,8;0;34,9;30,2;18,4;40;31;,9;
2015-06-14;6,1;9,6;0;35,2;30,5;18,7;38;28;,9;
2015-06-15;6,4;8,1;0;35;30,5;19;39;26;,8;
2015-06-16;6,2;9,7;0;34,5;29,9;18,4;42;28;,9;
2015-06-17;5,6;10,1;0;33,9;29,7;18,6;44;30;,9;
2015-06-18;5,2;10,1;0;34,3;29,7;18,1;47;34;,8;
2015-06-19;5,5;null;0;34;29,7;18,3;45;30;,6;
2015-06-20;null;null;null;null;null;null;null;36;null;
2015-06-21;null;null;null;null;null;null;null;null;null;
2015-06-22;0;null;0;34,2;29,8;18,2;55;68;,9;
2015-06-23;0;10,5;0;34,1;29,5;17,9;64;49;,9;
2015-06-24;7,3;10,5;0;34,3;29,8;18,3;61;44;,7;
2015-06-25;6,9;7,6;0;33,8;29,8;21;54;34;,5;
2015-06-26;7,2;8,2;0;33,2;29,8;21,8;52;49;1;
2015-06-27;6,6;10;0;32,1;29;21,1;50;45;1,2;
2015-06-28;6,1;9,9;0;34;29,9;21;53;49;,9;
2015-06-29;6,5;7,4;0;33,6;29,9;21,2;51;47;,9;
2015-06-30;6,8;10,5;0;33,7;30,3;22;48;45;,5;
2015-07-01;6,9;4,8;0;33,2;30,1;22,3;null;41;,5;
2015-07-02;7,7;9,7;0;34,9;30,7;21;55;50;,6;
2015-07-03;7,9;7,8;0;35,2;31,1;22;50;46;,5;
2015-07-04;8,1;9,5;0;35,4;31,3;22,3;49;42;,6;
2015-07-05;8,3;8,4;0;36;31,8;21,9;49;41;,5;
2015-07-06;8,4;4,5;0;null;30,2;21,4;51;40;,8;
2015-07-07;7,8;8,7;0;34,3;30,4;21;47;42;,5;
2015-07-08;8;8,3;0;34,3;30,3;20,7;45;37;,9;
2015-07-09;8,2;8,2;0;35,2;31;21,2;36;35;,7;
2015-07-10;7,6;10,9;0;33,4;29,7;20,8;null;32;,7;
2015-07-11;7,3;9,2;0;33,9;30,1;21;44;38;,7;
2015-07-12;6,9;10,5;0;34,2;30,3;21,3;43;34;,8;
2015-07-13;6;10;0;34,3;30,1;20,3;68;32;,7;
2015-07-14;6,3;10;0;34,6;30,4;20,8;46;51;,9;
2015-07-15;6,6;10,7;0;34,2;30,4;21,4;43;35;1;
2015-07-16;6,4;9,4;0;33,9;30,1;21;45;36;1;
2015-07-17;5,8;10,6;0;34,3;30,1;20,7;45;37;,9;
2015-07-18;6;10,6;0;33,6;29,9;21,1;47;35;,9;
2015-07-19;5,5;10,7;0;33,2;29,5;20,6;50;37;1;
2015-07-20;5,1;10,5;0;34,7;30,1;20;55;40;,6;
2015-07-21;5,4;10,8;0;34;29,8;20,1;47;36;,8;
2015-07-22;6,6;10,6;0;34,5;30,3;20,6;43;38;,9;
2015-07-23;7,2;10,7;0;34,1;30,2;21;44;34;,7;
2015-07-24;6,9;10,5;0;33,7;29,8;20,7;46;36;,8;
2015-07-25;6,6;10,6;0;33,8;29,8;20,4;45;37;,9;
2015-07-26;6,8;9,9;0;34,6;30,6;21,3;39;35;,6;
2015-07-27;7,3;9,4;0;33,9;30,6;21,5;38;28;,8;
2015-07-28;7,9;10,9;0;35,2;31,1;21,7;34;27;,8;
2015-07-29;8;10,8;0;34,9;30,8;21,4;36;24;,9;
