Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;6,8;1,4;31,8;25,5;19,8;73;73;1,4;
2015-01-02;5,5;11,5;0;33,6;26,9;23,2;64;66;1,4;
2015-01-03;6;11,4;0;34,8;28;24,2;63;63;1,4;
2015-01-04;6;4,9;0;31,6;24,8;19,6;81;63;1,4;
2015-01-05;5,5;10,8;0;32,8;27,1;23,4;64;69;,7;
2015-01-06;5,5;10,5;0;34,2;27,3;19,2;59;61;1,4;
2015-01-07;6;11,6;0;33,6;27,7;24,2;64;58;1,4;
2015-01-08;6;11,2;0;33,4;26,4;19,2;67;60;1,4;
2015-01-09;6;10,9;0;34,2;27;19,2;60;63;1,4;
2015-01-10;6;11,2;0;34,8;26,8;19,2;68;58;1,4;
2015-01-11;5,5;11,4;0;35,2;27,2;null;61;65;1,4;
2015-01-12;5,5;10,9;0;34,2;27,3;19,2;59;59;1,4;
2015-01-13;6;10,4;0;34,8;28,2;24,6;57;59;1,4;
2015-01-14;6,5;9,2;0;33,2;26,7;20,4;64;52;1,4;
2015-01-15;6;10,7;0;34,2;27,7;24,2;61;64;1,4;
2015-01-16;6;10,9;0;34,2;27,2;19,2;62;65;1,4;
2015-01-17;5,5;10,4;0;34,8;27,7;19,2;58;60;1,4;
2015-01-18;6;10,9;0;35,6;27,4;null;59;55;1,4;
