Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.62583332
Longitude: -42.07722221
Altitude: 397.39
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;9,5;0;32,3;26,7;22,3;63,3;null;null;
2015-01-02;null;11,2;0;31,8;26,6;20,7;63,5;null;null;
2015-01-03;null;11,6;0;32,2;28,1;22,3;53,5;null;null;
2015-01-04;null;11,3;0;31,8;27;23,5;56,5;null;null;
2015-01-05;null;11,3;0;32,4;27,6;22,1;52,3;null;null;
2015-01-06;null;9,8;0;32,6;27,2;21,9;61,8;null;null;
2015-01-07;null;11,2;0;32,8;27,7;24,3;58,5;null;null;
2015-01-08;null;11,3;0;32,8;27,6;23,5;61,8;null;null;
2015-01-09;null;11,2;0;33,2;27,6;23,7;59,5;null;null;
2015-01-10;null;11,1;0;33,8;28,1;22,9;58,8;null;null;
2015-01-11;null;11,7;0;34,8;28,7;24,7;56,3;38;null;
2015-01-12;null;8,5;0;33,4;28;24,1;55,5;null;null;
2015-01-13;null;11,1;0;34;27,5;24,1;56,8;null;null;
2015-01-14;null;6,9;0;33,2;27,2;23,5;62,3;null;null;
2015-01-15;null;10,3;0;33,4;27,8;23,7;55,8;null;null;
2015-01-16;null;10,1;0;34;28,3;24,1;51,5;null;null;
2015-01-17;null;11,4;0;35,4;28,6;23,9;52,5;null;null;
2015-01-18;null;11,2;0;34,6;29,3;25,6;51,8;null;null;
2015-01-19;null;10,4;0;34,4;29,1;24,7;51,5;null;null;
2015-01-20;null;11,5;0;34;28,6;24,5;49,8;null;null;
2015-01-21;null;2,6;0;31,8;27,6;24,5;63,8;null;null;
2015-01-22;null;2,5;0;33;25,2;21,7;73,5;null;null;
2015-01-23;null;4;1;32,6;27;20,9;59,3;null;null;
2015-01-24;null;11;0;32,9;27,9;22,7;57;null;null;
2015-01-25;null;5,1;0;32,6;26,1;22,5;72,3;null;null;
2015-01-26;null;8;,3;33,4;27,6;21,7;61,5;null;null;
2015-01-27;null;11,5;0;35,6;28,4;21,7;49,3;null;null;
2015-01-28;null;11,4;0;35,8;29,5;24,1;47;null;null;
2015-01-29;null;11,6;0;35;28,6;23,3;42,8;null;null;
2015-01-30;null;11,1;0;36,2;29,2;24,1;60,8;null;null;
2015-01-31;null;7,5;0;35,2;29,7;26;59,8;null;null;
2015-02-01;null;5,5;0;33,8;28,8;24,9;52,3;43;null;
2015-02-02;null;7,1;0;34,2;28,7;24,3;54,3;40;null;
