Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;11,3;10;0;32,4;27,9;23,5;66;58;3,1;
2015-01-02;11,2;7,4;0;33,6;28,4;23,5;64;66;2,5;
2015-01-03;11,9;11,9;0;33,6;28,3;23,1;60;59;1,3;
2015-01-04;13,7;11,6;0;32,4;27,6;22,5;62;58;2,5;
2015-01-05;11,8;10,8;0;33,8;28,8;22,7;62;60;2,1;
2015-01-06;13,7;11,1;0;33,6;28,9;24;58;59;3,4;
2015-01-07;14,9;9;0;34,2;28,6;23,5;65;56;2,1;
2015-01-08;13,5;10,1;0;34,4;27,6;24,1;68;61;3,8;
2015-01-09;11,5;11,9;0;33,8;28,3;22,5;58;63;2,9;
2015-01-10;14,8;11,4;0;33,8;28,2;22,3;55;55;2,8;
2015-01-11;14,7;10,5;0;35,1;29,5;22,5;54;55;3;
2015-01-12;15,3;10;0;34,9;30;25;54;47;2,5;
2015-01-13;16,8;10;0;34,4;29;23,3;53;49;2,5;
2015-01-14;16,5;11,1;0;34,6;29;23,1;53;48;2,5;
2015-01-15;16,5;10;0;34,2;28,6;23;57;48;2,5;
2015-01-16;14,3;10,5;0;33,7;28,6;22,9;56;52;2,5;
2015-01-17;14,8;12;0;35,4;29,6;23;52;53;2,5;
2015-01-18;16;11,2;0;35,4;29,9;23,3;50;46;3,8;
2015-01-19;17,3;11,6;0;34,5;29,1;23,3;55;43;3,4;
2015-01-20;17,1;11,1;0;34,4;29,4;23,1;52;49;3,3;
2015-01-21;14,3;7,8;0;33;28,7;23,7;58;47;2,5;
2015-01-22;11,8;6,6;0;34,7;26;22,3;82;53;2,5;
2015-01-23;9,4;6,2;11,2;33;28,3;22;54;66;3,8;
2015-01-24;14,2;11,2;0;34,4;28;22,9;58;48;4,6;
2015-01-25;12,3;4,9;,4;34,3;27,4;23,5;79;53;2,5;
2015-01-26;9;8,1;,4;34;28,7;22,9;60;67;3;
2015-01-27;13,9;11,7;0;34,6;28,9;23,3;60;56;2,1;
2015-01-28;13,6;11,3;0;35,6;29,3;23,7;55;56;2,5;
2015-01-29;16,9;10;0;35,4;29;22,9;58;48;2,5;
2015-01-30;14,7;6,5;0;34,6;29,5;24,9;69;54;1,7;
2015-01-31;11,5;10,1;0;34,9;30,1;24,7;60;66;2,5;
2015-02-01;14,5;5,8;0;33,4;29,1;24,5;60,3;54;2,5;
2015-02-02;13;11,5;0;34,4;29,6;23,5;55;44;2,2;
2015-02-03;15;7,5;0;34;29,8;24,6;56,8;47;2,9;
2015-02-04;10,9;0;4,2;31;25,3;22,9;90;60;1,4;
2015-02-05;2;2,8;,4;32;27,1;23,3;76,5;54;1;
2015-02-06;6,1;7,6;,5;34,4;29,7;24,3;55,5;54;2,4;
2015-02-07;12;5,9;0;36;30,8;25,8;50,5;42;2,6;
2015-02-08;14,6;9,8;0;35,2;30,1;25,8;48;42;4,1;
2015-02-09;15,2;11,6;0;35,2;29,7;23,9;55,5;39;2,5;
2015-02-10;17,1;9,9;0;35,4;29,6;23,5;51,5;41;3,3;
2015-02-11;17,2;9,1;0;35,6;29,9;23,7;54,5;43;2,8;
2015-02-12;17;10,6;0;35,9;30,7;25,2;52;42;2,8;
2015-02-13;16,2;9,6;0;35,2;29,9;24,5;54;45;2,9;
2015-02-14;17,4;6,1;0;33,6;29,4;24,6;55,5;43;2,4;
2015-02-15;15,2;5,6;0;34,2;28,2;25,7;63,8;51;3,9;
2015-02-16;14,6;11,1;3,4;36,1;29,6;23,9;52,8;36;3,1;
2015-02-17;12,9;11,1;0;36,1;30,3;24;49,3;39;3,3;
2015-02-18;17,4;10;0;35,6;28,1;24,9;66,3;48;2,8;
2015-02-19;12,6;9,2;0;35;27,1;23,7;65,8;45;3,3;
2015-02-20;10,4;3,8;2,3;32,4;26;22,3;67;50;2,4;
2015-02-21;9;8,8;11,6;32,7;26,5;21,5;63;51;4;
2015-02-22;10,9;1,5;0;30,4;24,5;22,3;82,5;64;2;
2015-02-23;4,8;4;6;30,3;25,1;21,8;81,3;66;2,2;
2015-02-24;5;2,1;5,6;29,4;25,8;22,4;80,8;72;1,8;
2015-02-25;5,3;7,6;,6;32,6;28;23,1;67;59;3,1;
2015-02-26;10,1;9,9;0;34;28,7;24,9;64,3;51;2,7;
2015-02-27;11,2;10,9;0;36,1;29,8;23,9;60,5;47;1,7;
2015-02-28;11,9;9;0;36;29;23,9;65,8;46;1,7;
2015-03-01;10,2;9,5;0;34,9;26,4;22,5;75;47;1,4;
2015-03-02;8,8;4;12,2;32,2;27,8;22,5;67;60;1,7;
2015-03-03;11,3;9,4;0;33,2;28,7;23,9;55,3;46;2,8;
2015-03-04;14,3;10,7;0;34,2;28,8;23;54,3;41;2,5;
2015-03-05;14,4;10,9;0;34,9;28,9;24;57;45;3,2;
