Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;7,6;0;35;28,2;23;73,5;64;4,2;
2015-01-02;null;9,2;0;35,8;28,9;24,6;60,8;53;4,2;
2015-01-03;null;11,2;0;35,4;28,4;22,2;50,8;58;3,3;
2015-01-04;null;9,7;0;34,6;28;21,6;57,3;47;3,4;
2015-01-05;null;9,8;0;35,6;28,6;22,6;58;44;2,6;
2015-01-06;null;9,8;0;35;28,4;22,4;57;43;4;
2015-01-07;null;8,4;0;35,2;28,1;24,2;60,8;42;3,9;
2015-01-08;null;8,5;0;35;28,1;23,2;54;39;3,7;
2015-01-09;null;10,3;0;35,2;27,6;21,6;57,8;39;3,3;
2015-01-10;null;10,8;0;35,6;27,9;22,4;63;40;5;
2015-01-11;null;10,5;0;35,4;28,2;23,4;61,5;40;3,9;
2015-01-12;null;9,4;,7;35,7;28,3;23,6;58;40;4;
2015-01-13;null;9,9;0;35,4;28,2;22,6;56,8;43;4;
2015-01-14;null;10,7;0;35,4;27,6;23;61;39;5;
2015-01-15;null;10,9;0;35,4;27,9;22,4;57;40;4,8;
2015-01-16;null;10,2;0;35,1;28,1;22,4;55,5;46;3,4;
2015-01-17;null;8,7;0;36;28,4;23,6;57,5;39;3,5;
2015-01-18;null;10,2;0;36,1;28,6;23,4;55,8;36;4,2;
2015-01-19;null;10,3;0;35,4;28,5;22,3;55,3;38;4,2;
2015-01-20;null;9,2;0;35,4;28,4;22,8;58,3;42;5;
2015-01-21;null;8,7;0;35,2;28,3;23,4;62;42;3,6;
2015-01-22;null;5,5;0;35,1;28,7;23,8;57,3;48;2,8;
2015-01-23;null;7,1;0;35;28,2;23,6;55,5;37;3,5;
2015-01-24;null;8,2;0;35,8;26,5;22,4;75,5;42;3,5;
2015-01-25;null;8;3,6;34,8;28;22,2;61,3;42;3,7;
2015-01-26;null;8,3;0;34,6;28,1;22,3;57,3;42;3,8;
2015-01-27;null;10,5;0;35,4;27,9;22,2;58,8;40;3,8;
2015-01-28;null;10,4;0;35,6;27,8;22;65,5;45;null;
2015-01-29;null;10,8;0;35,2;28,1;23;66,8;43;null;
2015-01-30;null;10,3;0;35;28,8;23,8;69;56;null;
2015-01-31;null;10,3;0;35,2;28,8;23;62,5;53;null;
2015-02-01;null;9,6;0;35,4;28,6;23,4;59;45;3,3;
2015-02-02;null;10,6;0;34,8;28,7;22,2;58,5;46;null;
2015-02-03;null;8,7;0;35,6;28,7;22,8;57,5;41;3,3;
2015-02-04;null;,4;0;31,9;26,5;24,2;77;56;null;
2015-02-05;null;6,2;2;34,9;27,1;23,5;72,5;47;null;
