Nome: AGUA BRANCA
Codigo Estacao: 82989
Latitude: -9.26472222
Longitude: -37.93805555
Altitude: 603.42
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2023-02-21
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;7,3;6,4;0;31,4;24,2;19;80;64;6;
2015-01-02;6,2;8,7;0;32,1;25;19,9;70;73;5;
2015-01-03;6,7;10,7;0;31,8;24,8;18,2;56;61;8;
2015-01-04;7,4;10,4;0;31,4;24,7;17,5;59;49;7;
2015-01-05;6,7;9,7;0;32;25,4;18,9;63;60;5;
2015-01-06;7,6;9,5;0;31,2;25;18,8;65;64;6;
2015-01-07;7;6,9;0;31,7;24,7;19,2;68;65;8;
2015-01-08;6,7;7,7;0;31,2;24,4;18,8;64;65;7;
2015-01-09;8,1;9,7;0;31,2;24;17,4;72;61;8;
2015-01-10;7;9,2;0;31,4;24,5;18,2;72;69;6;
2015-01-11;6,9;10,1;0;31,2;24,5;18,8;73;61;7;
2015-01-12;7,2;8,1;4,3;31,6;24,5;19,7;72;75;8;
2015-01-13;7,9;9,7;0;31,2;24,4;18,4;62;64;10,5;
2015-01-14;8,6;9,5;0;31,6;24,3;18;66;61;9,5;
2015-01-15;8,3;9,6;0;31,7;24,3;18;66;66;8,5;
2015-01-16;7,1;8,6;0;31,3;24,6;18,4;61;64;7;
2015-01-17;7,1;6,8;0;32,7;24,9;18,7;65;56;9,5;
2015-01-18;7,7;9,5;0;33;25,3;18,8;63;63;7;
2015-01-19;9;11,1;0;31,9;24,9;18,6;66;61;7;
2015-01-20;7,5;8,7;0;32,1;25;18,6;66;67;6;
2015-01-21;7,5;6,9;0;32;24,8;19,2;73;66;7;
2015-01-22;7,1;5,5;0;31,2;25;19,6;64;59;6;
2015-01-23;8,6;4,2;0;30,7;24,1;18,6;67;66;6;
2015-01-24;7,9;6,4;0;32,4;23,9;19,8;85;66;4;
2015-01-25;5,3;9,1;1,4;30,4;25,1;19,5;66;73;4;
2015-01-26;8,3;10,1;0;32;25;18,5;65;60;6;
2015-01-27;8,1;11,4;0;32,2;24,7;17,6;64;59;6;
2015-01-28;8,7;10;0;32,1;24,6;18;69;64;7;
2015-01-29;7,6;10,6;0;31,5;24,8;19,4;79;72;6;
