Nome: PAO DE ACUCAR
Codigo Estacao: 82990
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.86
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-04-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;9,6;6,7;0;37,8;30;23;67;53;1,5;
2015-01-02;9,3;9,9;0;34,2;29,1;22,9;65;60;2;
2015-01-03;10,9;11,9;0;35,8;28,7;23,2;74;60;2;
2015-01-04;8;10,7;0;35,4;29,2;23;60;64;1;
2015-01-05;9,8;11;0;35,9;29,3;22,6;63;53;1;
2015-01-06;12;9;0;35,2;28,6;23,2;71;60;3;
2015-01-07;11,1;8,8;0;36,1;28,5;23,4;75;57;1;
2015-01-08;11,6;10,2;0;36,8;28,9;22,8;74;53;2;
2015-01-09;12;11,2;0;36,5;29,4;23,3;67;56;0;
2015-01-10;10,3;11,5;0;36,7;30;23,3;61;56;1;
2015-01-11;13;11,1;0;37,4;30,8;23;54;56;1;
2015-01-12;9,7;10,8;0;36,6;29,2;22,4;64;54;1,5;
2015-01-13;13,2;11;0;36,2;29,2;22,6;66;54;2;
2015-01-14;10,1;11,6;0;35,2;29,1;24;57;61;6;
2015-01-15;12,7;9,9;0;37,1;29,3;22,2;64;57;2,5;
2015-01-16;9,5;10,6;0;36,8;29,6;23,2;66;58;2,5;
2015-01-17;12;11;0;37;29;22,8;67;56;1;
2015-01-18;7,9;11,5;0;37,2;29,2;22,6;64;61;1;
2015-01-19;9,2;11,5;0;36,8;29,5;22,7;61;59;1,5;
2015-01-20;7,3;10,1;0;35,8;29,4;23;62;61;1,5;
2015-01-21;5,8;9,4;0;36,1;29,5;22,3;58;57;1;
2015-01-22;11,2;6;0;36,1;29,4;23,2;57;52;1;
2015-01-23;11,7;3,2;0;36,6;29;22,8;68;55;1;
2015-01-24;12,7;8,7;0;32,2;26,8;22,8;null;60;1,5;
2015-01-25;8;10,8;42,8;34,8;27,2;20;null;63;2,5;
2015-01-26;10,7;8;0;35,2;28,6;20,6;null;68;2;
2015-01-27;9,2;9,5;0;35,5;29,3;21,2;56;62;3;
2015-01-28;12,2;9,8;0;36,2;28,4;22,5;71;56;2;
2015-01-29;11,1;10,9;0;36,6;29,3;23,2;64;65;2,5;
2015-01-30;9,1;9,4;0;35,8;28,9;22,8;72;64;0;
2015-01-31;9,6;9,6;0;36,6;29,2;23,4;69;70;1,5;
2015-02-01;11;10,7;0;36,2;29,8;23,2;56;44;1,7;
2015-02-02;8,2;11;0;37,4;29,7;23,2;54,8;34;2,3;
2015-02-03;11,6;9,9;0;36,4;29,7;23,6;58,5;38;1,7;
2015-02-04;10,3;4,3;0;36,8;28,5;22,8;64;34;2,3;
2015-02-05;6,1;7,7;1,6;36,4;28,6;22,2;66,3;44;2,3;
2015-02-06;7,8;10,7;0;37,4;29;22,6;62,5;38;2,7;
2015-02-07;8,8;9,4;0;37;28,6;22;59,5;34;3,3;
2015-02-08;10,9;10;0;37,2;29,2;22;55,3;35;1,7;
2015-02-09;10;9,4;0;36,8;28,7;22,4;59;33;3,3;
2015-02-10;12,7;11,1;0;36,6;29,7;22,8;58,5;35;1,7;
2015-02-11;11;11,1;0;36,2;28,9;23,2;64;37;2,3;
2015-02-12;11,7;10;0;37,1;30,1;22,6;55;40;1,7;
2015-02-13;12;10;0;36,6;29,5;23,2;57,8;39;,7;
2015-02-14;12,7;7,3;0;37,3;29,3;22,8;61;38;1,3;
2015-02-15;9,6;4,4;0;36,8;27,6;22,4;72,8;39;1,3;
2015-02-16;8,3;9,6;,8;37,3;28,6;22,2;64,3;38;2,3;
2015-02-17;7,6;10,3;1,8;35,8;28,1;21,6;65;42;1,7;
2015-02-18;7,6;4;0;35,6;28,9;23;62,8;45;1;
2015-02-19;10,2;6,8;0;36,2;28,9;22,8;60,3;38;1,7;
2015-02-20;10,1;7,6;0;35,5;29,1;23,2;63,3;45;4,3;
2015-02-21;8,3;,5;0;35;28,6;22,8;63;43;1;
2015-02-22;8;2,8;,8;34,2;27,8;22,2;75,3;61;3;
2015-02-23;2,6;6,3;27,2;34,2;28;22,8;71;57;1,7;
2015-02-24;5,2;3,4;,2;35,7;27,9;22,6;72,5;49;2,3;
2015-02-25;5,7;10,6;0;36,6;28,9;22,8;64,3;43;2,7;
2015-02-26;9,2;10,7;0;37,4;28,9;23;67,5;44;2;
2015-02-27;12,2;10,4;0;36,6;28,2;22,6;70,3;44;1,3;
2015-02-28;7,3;11,5;0;36,8;28,8;22,7;66,3;41;1,7;
2015-03-01;9,7;10,4;0;37,2;30,4;23,2;55;39;1,7;
2015-03-02;9,7;9;0;37,8;30,4;23,2;59,8;39;1,3;
2015-03-03;7,5;8,2;0;37,2;29,8;22,7;62,5;43;2;
2015-03-04;14,2;9,3;0;37;30;23,2;58;38;1,3;
2015-03-05;11;6,7;0;36,8;29,2;22,8;61,8;40;1,7;
2015-03-06;8,5;9,1;0;36,1;29,4;23,4;59,5;42;2,3;
2015-03-07;7,2;10,8;,8;36,8;29,7;22,8;59,8;38;2,7;
2015-03-08;8,7;7;0;37,8;30,3;23;54,3;41;2,7;
2015-03-09;8,6;7,7;0;35,8;29,8;22,2;51,5;40;1,7;
2015-03-10;7,2;9,6;0;37,2;29,3;22,6;63,3;43;1,7;
2015-03-11;10,7;10,3;0;37,4;29,5;22,4;59,5;40;3,3;
2015-03-12;11,2;10,3;0;37,8;29,3;22,2;60,3;42;3,7;
2015-03-13;12,2;10,7;0;36,8;28,5;22,4;68;43;2,3;
2015-03-14;8,7;10,6;0;37,2;30;23,2;57,5;43;1,7;
2015-03-15;8,5;9,5;0;37,4;30,1;22,4;58,3;43;1,7;
2015-03-16;5,4;9,7;0;38,4;30,2;22,2;60;38;2;
2015-03-17;11;6,4;0;39,6;31,8;23,8;50,5;30;2,7;
2015-03-18;12,5;10,1;0;37,2;29,5;22,8;60;39;1,3;
2015-03-19;10;5,3;0;36,6;29,3;23;59,8;39;2,3;
2015-03-20;11,4;8,2;0;38,3;30,6;23,2;53,3;38;3,3;
2015-03-21;8,1;8,6;0;37,8;30,2;22,8;54;38;1,7;
2015-03-22;10,2;8,2;0;38;30,8;23,1;50,8;33;1,3;
2015-03-23;13;9,8;0;37,2;29,8;22,4;56,5;38;1,7;
2015-03-24;10,7;9,2;0;36,8;30,3;22,8;54,5;38;1,3;
2015-03-25;9,6;9,9;0;37,8;30,5;23,2;57,8;37;3,3;
2015-03-26;12,3;8,7;0;38;30,2;23,3;61;38;2;
2015-03-27;10,8;6,9;0;37,4;30,6;22,8;55;44;1,7;
2015-03-28;10,2;11;0;36,8;29,9;22,2;56,8;38;2,3;
2015-03-29;11,1;11;0;37,2;30,1;22;55,5;40;1,7;
2015-03-30;9,1;10,4;0;37,7;30,7;23,8;55,8;37;3,3;
2015-03-31;10,2;10,8;0;37,2;29,8;22,8;55;35;3;
2015-04-01;12,5;11;0;38,2;29,8;21,8;55,8;38;1,3;
2015-04-02;9,7;10,5;0;37,8;30,6;22,6;49,8;35;1;
2015-04-03;9,9;9,9;0;37,2;29,9;22,2;50,8;37;3;
2015-04-04;11;9,7;0;38,2;31;23;null;36;1,7;
2015-04-05;11,3;10,5;0;38;30,4;22,8;57,5;34;2;
2015-04-06;9,7;11,5;0;37,2;30,5;22,6;54,3;34;1,3;
2015-04-07;10,7;7,1;0;37;30,8;22,8;51;35;1,7;
2015-04-08;9,6;8,8;15,7;38,2;30,1;22,2;61,5;39;1;
2015-04-09;8,8;10,1;0;38,4;30,7;23,6;60;35;3;
2015-04-10;10,3;9,9;0;37,8;30,4;23,2;54,3;39;2,3;
2015-04-11;10,5;7,4;0;37,2;29,9;22,6;59;40;1,7;
2015-04-12;6,5;5,4;6;35,4;28,2;21,8;74;65;1;
2015-04-13;7,2;8,8;0;35,8;28,9;22,8;68;52;3,3;
2015-04-14;10,5;8,9;0;36,6;29,4;23;71;53;1;
2015-04-15;9;10,7;0;37,2;29,3;22,8;68,8;46;2,3;
2015-04-16;9,7;8,1;0;37;29,6;23;63,5;45;1,3;
2015-04-17;9,3;10,3;0;37,2;29,7;22,7;63,8;40;2;
2015-04-18;8,5;10,8;0;36,7;30,3;23;58,8;42;,7;
2015-04-19;10,7;4,9;0;36;29,5;23,3;64,8;44;2,3;
2015-04-20;5;4,8;0;36,8;29,9;22,6;58,3;38;1,3;
2015-04-21;7,5;10,4;0;37,2;29,9;23;57,8;36;1,3;
2015-04-22;10,1;10,7;0;36,8;30,7;23,8;58,3;40;4;
2015-04-23;9,4;9,4;0;37,2;31,1;24,2;57;41;2;
2015-04-24;11,2;9,5;0;37,2;30,2;22,8;57;40;1,7;
2015-04-25;9,1;10,5;0;37,4;30,7;23;57;37;2;
2015-04-26;9,9;10,4;0;37;30,2;23,3;58,8;35;2;
2015-04-27;6,6;10,3;0;37,4;30,2;22,8;59;39;1,3;
2015-04-28;6;10,5;0;37,2;30,3;23,2;57;32;1,7;
2015-04-29;10,1;9,5;0;37,2;29,4;22,8;62,8;35;2;
2015-04-30;10,1;10;0;37,8;30,7;23;57,3;39;2,3;
2015-05-01;10,3;9,3;0;37,4;30,2;23,8;59,3;41;1,7;
2015-05-02;9,2;2,4;0;36,6;29,6;23,3;60,5;41;2;
2015-05-03;9,1;4;1,3;34,2;27,8;22,7;76,8;56;1,7;
2015-05-04;6;7,4;,2;36,8;29,2;23;61,5;40;1,3;
2015-05-05;8,8;9,6;0;37,2;29,2;22,6;62,8;34;,7;
2015-05-06;7,3;9,9;0;36,8;28,8;23,4;67,8;44;3,7;
2015-05-07;8,4;9,6;0;37;29,2;23,8;62,8;36;2,7;
2015-05-08;9;10;0;37,6;29,4;23,2;63,8;42;1,7;
2015-05-09;8,7;8,4;0;37,2;30,1;23,1;58,5;38;1,7;
2015-05-10;5,2;7,8;1,6;36,6;29,3;22,6;64,3;40;1,7;
2015-05-11;8;9,1;0;34,2;28,7;22,4;66,8;51;3;
2015-05-12;9,5;9,9;0;36;28,6;22,2;59,5;37;2,7;
2015-05-13;10,7;8;0;36,2;29,3;22,8;63,3;44;2,3;
2015-05-14;9;6,9;,2;36,8;28,9;22,8;67;40;1;
2015-05-15;5,9;9,4;0;35,2;28,1;22,2;66,8;45;2,7;
2015-05-16;7,8;8,8;0;37,3;29,4;23,6;66,3;43;2;
2015-05-17;9,2;6,6;0;34,8;28;23,2;72,5;51;1,7;
2015-05-18;6,3;4,2;0;36,2;29;22,6;67,3;55;1,7;
2015-05-19;5;7,2;,4;34,8;28,2;23;68,8;42;,7;
2015-05-20;6,5;7,9;3,6;35,7;29;23,2;66,5;50;2,7;
2015-05-21;7,4;7,1;0;34,7;28,1;23;70,3;53;3,7;
2015-05-22;5,8;4,2;,5;34,8;27,4;21,8;77,3;63;1,7;
2015-05-23;4,5;4,8;4,4;34,6;26,2;20,2;79;48;,7;
2015-05-24;3,8;5,7;19,8;32,3;25,9;21,4;88,3;79;,7;
2015-05-25;5,2;8,4;1,5;30;25,7;21,3;86,5;76;3;
2015-05-26;6;6,1;0;32,9;27,3;22,8;77,5;60;3,3;
2015-05-27;5,3;8,4;,6;33,7;28,8;22,6;66,8;57;1,3;
2015-05-28;6,6;3,6;0;35,2;28,9;21,4;57,5;40;1,7;
2015-05-29;7;8,3;0;33,2;27,4;22;65,5;48;3,7;
2015-05-30;6,5;4,6;0;33,7;27,7;22,8;76;68;4;
2015-05-31;5,8;6,9;0;33,3;27,2;22;74;61;4,3;
2015-06-01;6,9;6,3;1,2;36;28,6;22,6;63,8;51;,7;
2015-06-02;3,2;9,1;,6;37,2;28,3;22,2;70,5;45;,7;
2015-06-03;3,1;5,7;3,3;35,2;27,5;21,8;78;67;1;
2015-06-04;5;3,9;9,4;30,1;26,4;22,6;78,3;66;,7;
2015-06-05;3,2;6,3;,8;32,1;26,5;22,4;75,5;58;2,3;
2015-06-06;4,3;3,5;1,8;30;24,7;20,1;87;78;,7;
2015-06-07;2,5;8,5;6,2;30,2;26,1;22,2;79,3;72;1,3;
2015-06-08;4;6,3;,6;31,3;26,1;21,6;77;61;2,3;
2015-06-09;3,6;8,7;0;32,3;26,2;21,6;78,8;62;2;
2015-06-10;5,5;9,2;0;33,9;26,8;21,4;75,5;53;2,3;
2015-06-11;3,7;8,4;1,4;32,9;26,1;21,8;78,8;52;1,7;
2015-06-12;6;3;,2;30,3;25,9;20,2;74;67;,7;
2015-06-13;5,9;8,9;0;32,9;26,6;21,4;72,8;53;2,7;
2015-06-14;6;7,8;5;33,4;26,2;20;76,3;57;1;
2015-06-15;6,5;4;0;31,2;25,9;21,2;81,8;73;2,7;
2015-06-16;4,7;9,2;0;31,8;27,2;22,2;67;49;1,7;
2015-06-17;7,1;3,3;0;29,4;25,1;20,8;79,8;66;2,7;
2015-06-18;3,3;2,3;,8;29,8;24,5;20;81;69;1;
2015-06-19;3,4;6,3;1;33,4;25,8;19,5;71,8;56;1;
2015-06-20;2,8;2,1;4;27,3;23,2;19,2;88,5;72;1;
2015-06-21;4,2;8,4;11,2;30,4;25,3;19,5;78,8;64;1;
2015-06-22;5,6;1,5;,5;28,9;24,3;19,4;81,5;65;1;
2015-06-23;4,1;4,7;1,3;27,5;24,1;20,2;88;83;3,7;
2015-06-24;1,6;2,5;5,6;27,5;24,1;20;88,3;83;1,7;
2015-06-25;3,2;1,2;17,8;27;23,5;19,2;88;82;,7;
2015-06-26;1,6;8,5;11,7;29,8;24,9;20,8;75;56;1,7;
2015-06-27;2,6;6;,5;28,4;24,2;20,6;84,5;77;2,7;
2015-06-28;2;5,6;2,2;27,9;23,9;19,7;89,3;78;3,3;
2015-06-29;1,4;1,6;27;26,5;23,4;18,6;90,5;84;0;
2015-06-30;1,2;,3;3,2;27,3;23,7;19,8;84,8;75;,7;
