Nome: PALMEIRA DOS INDIOS
Codigo Estacao: 82992
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 277.98
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,4;3,8;0;32,5;26,4;22,4;72,5;62;4,6;
2015-01-02;3,7;8,7;2;33;26,4;22,6;73,5;57;3,7;
2015-01-03;3,4;11,2;0;33,4;26;20,2;65;50;3,2;
2015-01-04;5,9;10,4;0;34,3;25,6;20;72;45;3,3;
2015-01-05;7;6,8;0;34,2;27,1;22,1;68;57;3,4;
2015-01-06;5,7;10;0;33,4;26,3;22;68,3;47;4;
2015-01-07;4,2;8,2;0;33,2;26,1;20,4;69,8;51;4,8;
2015-01-08;5,5;10,5;0;32,7;26,1;22,2;69,8;51;4,9;
2015-01-09;5,8;7,2;0;32,2;25,6;20,6;73;59;4,1;
2015-01-10;3,7;11,3;0;33,9;26,9;20,8;69,8;56;4;
2015-01-11;3;9,1;0;33,4;26,3;21,8;73,5;61;4,8;
2015-01-12;2,4;11,3;,2;33,3;26,3;21,4;68,3;51;4;
2015-01-13;5,4;10,9;0;33,8;26,5;20,6;65,3;56;4,7;
2015-01-14;6;11,6;0;33,4;26,2;21,5;70;49;4,5;
2015-01-15;5,3;11,3;0;33,7;26,3;20,3;73,3;51;3,8;
2015-01-16;3,4;11,2;0;34,1;26,7;21,1;62,3;42;4,3;
2015-01-17;2,6;11,7;0;34,6;27;21,4;72,8;53;4,3;
2015-01-18;6,6;11,2;0;34,3;26,6;21,7;67,8;41;4,8;
2015-01-19;7,1;10,3;0;33,5;26,7;21,7;65,3;43;3,6;
2015-01-20;5,7;9,6;0;34,4;26,7;21,6;69;57;4;
2015-01-21;5,6;6,6;0;34,1;26,6;21,6;63,3;48;4,9;
2015-01-22;5,7;6,4;0;33,3;26,6;22;67;49;4,5;
2015-01-23;6;4,7;0;33,3;26,4;21,6;65;45;4,3;
2015-01-24;5,1;7,3;0;33,4;26,1;22,8;80;62;5,2;
2015-01-25;2,9;11,2;2,8;34,1;26,4;21,9;71;46;4,6;
2015-01-26;6,1;11,4;0;34,7;27,1;21,8;65;39;3,4;
2015-01-27;6,4;11,8;0;34,7;26,6;21,7;72,8;62;2,9;
2015-01-28;6,3;11,6;0;34,2;26,3;20;66,8;45;3,1;
2015-01-29;5,3;6,6;0;32,1;26,6;21,9;71,8;57;2,6;
2015-01-30;4,2;7;0;34,7;26,9;22,4;67,5;46;5,3;
2015-01-31;4,2;8,9;0;34,1;26,6;20,4;75,8;61;4;
2015-02-01;3;9,7;0;32,8;26,7;21,7;68,5;58;4,2;
2015-02-02;2,5;9,5;0;34,3;26,7;21,4;65,8;47;4,6;
2015-02-03;2,1;8,6;0;34,4;27,1;21,1;65,5;44;3,3;
2015-02-04;2,1;4,4;0;33,9;26,8;22,5;81;58;3,5;
