Nome: MACEIO
Codigo Estacao: 82994
Latitude: -9.55138888
Longitude: -35.77083332
Altitude: 84.12
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-04-07
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3;2,4;0;30,9;26,4;23;80,5;70;null;
2015-01-02;3,2;8,5;2,4;30,4;26,7;23,1;78,8;77;null;
2015-01-03;2,4;9,5;0;30,6;26,5;23;80;75;null;
2015-01-04;3,1;10,3;0;31,4;26,7;23,3;80,8;71;null;
2015-01-05;4,1;7,7;0;32,4;27,2;21,7;75;68;null;
2015-01-06;3,7;9,7;0;32;27,3;23;75;68;null;
2015-01-07;4,3;9,1;0;33,1;27,7;23,2;73,8;67;null;
2015-01-08;3;6,6;0;31,8;26,9;22,5;77,8;74;null;
2015-01-09;3,2;7,9;3,8;30,4;26;22,8;83;79;null;
2015-01-10;3,8;5,5;0;31,8;27;22,5;74,8;70;null;
2015-01-11;4,1;7,6;0;33,6;27,4;22,1;72,8;68;null;
2015-01-12;3,9;7,8;0;33,9;27,7;22,3;71,5;61;null;
2015-01-13;3,2;8,9;0;31,6;27,3;23,4;76;67;null;
2015-01-14;3,2;10,1;0;30,8;27;22,7;75,8;66;null;
2015-01-15;3;9,9;0;31;27;22,6;73;66;null;
2015-01-16;2,6;9,6;0;31,6;27,1;22,8;77,8;71;null;
2015-01-17;3;9,2;0;33;27,6;22,7;75;67;null;
2015-01-18;3,9;9,9;0;33,2;27,5;22,7;76,5;68;null;
2015-01-19;3,5;9,5;0;32;27,6;22,9;75,3;66;null;
2015-01-20;3,4;8,7;0;31,4;27;22,8;76,8;72;null;
2015-01-21;2,4;5,4;0;31,2;27;23,3;81,8;75;null;
2015-01-22;3,1;7,7;0;31,4;27,2;23,4;80;74;null;
2015-01-23;4,1;6,3;0;31;27,3;23;78;71;null;
2015-01-24;3,6;,4;6,6;27,8;25,3;21,7;78,5;75;null;
2015-01-25;3;10,1;9,8;29,3;26,1;22,1;76,3;74;null;
2015-01-26;4;9,5;0;31,6;27,1;23;78;74;null;
2015-01-27;3,2;10;0;31,8;27,3;23,1;77,3;70;null;
2015-01-28;3,2;7,7;0;31,4;27,4;23,2;75,8;64;null;
2015-01-29;3,6;5,6;1,8;28,9;25,7;21,9;83;74;null;
2015-01-30;4,2;2,7;4,6;30,6;26,6;23,5;80,3;65;null;
2015-01-31;3,8;11;0;31,3;26,6;22,6;80;73;null;
2015-02-01;3,3;10,2;0;29,4;26,2;22,8;80,5;76;null;
2015-02-02;4;11,1;0;31,9;27,3;23,8;72,8;58;null;
2015-02-03;3,7;9,4;0;31,8;26,8;23,4;75;52;null;
2015-02-04;4,2;6,8;0;31,6;27;23,7;81;72;null;
2015-02-05;2,8;5,6;0;29,6;25,9;23;83;76;null;
2015-02-06;3,6;9,6;0;29,8;26,3;23;80,5;72;null;
2015-02-07;3,4;7,1;0;31,4;26,8;23,2;81,5;69;null;
2015-02-08;2,9;9,4;0;32,4;27,2;22,7;76,8;64;null;
2015-02-09;3,5;8,9;0;32,9;27,3;22,4;81,3;65;null;
2015-02-10;3,2;4,7;0;32,4;26,7;22,9;81,5;70;null;
2015-02-11;2,8;7,5;0;32,5;26,5;23,8;77;52;null;
2015-02-12;4;10,6;0;32;27;23,7;79,8;70;null;
2015-02-13;5,2;8,4;0;32,4;null;26;80;71;null;
2015-02-14;2,8;9,8;0;32,5;27,2;23,6;75;58;null;
2015-02-15;null;null;null;null;null;null;null;86;null;
2015-02-16;3,6;11;0;32,2;27,3;23,8;77,8;65;5,1;
2015-02-17;3;11;0;32,5;26,8;23,6;82,5;65;null;
2015-02-18;0;0;48,4;26;23,4;21,7;93,3;95;0;
2015-02-19;2,2;,4;21,2;29,4;25,2;22,5;88;85;null;
2015-02-20;2,2;,7;4,2;29,4;25,5;20,7;88;86;null;
2015-02-21;1,8;0;,2;28,8;24,6;22,7;87;82;null;
2015-02-22;2;6,8;2,8;31;25,9;23;86;86;null;
2015-02-23;3,2;5;16,2;30,1;25,2;22,9;94;87;null;
2015-02-24;4;6,1;14,2;30,8;25,8;22,8;94;93;null;
2015-02-25;3,8;11,2;1,3;31,6;27,1;23,6;86;66;null;
2015-02-26;3,2;11,4;0;32,4;27,1;23;83;77;null;
2015-02-27;3,2;11,2;0;32,6;27,1;23,1;80;76;null;
2015-02-28;3;8,2;0;31,7;26,7;23,1;78;70;null;
2015-03-01;3,2;8,6;0;32;26,9;22,9;80;72;null;
2015-03-02;3;9,4;0;31;26,5;23,9;79;69;null;
2015-03-03;2,6;9,2;1,2;31,8;27,1;23,6;82,8;75;null;
2015-03-04;2,6;9,2;0;31;26,6;22,9;81,5;77;null;
2015-03-05;3;4,6;1,4;31,4;26,7;23,1;79,5;66;null;
2015-03-06;2,6;4,8;,3;31,2;26,5;24,2;86,5;74;0;
2015-03-07;3,2;10,6;0;31,8;27,1;23,3;80,3;73;null;
2015-03-08;2,6;5;6,2;31,4;26,2;23,1;81,5;66;null;
2015-03-09;1,5;4,5;25,1;30;25,9;23,1;84;65;null;
2015-03-10;3,6;9,1;2,8;31,2;26,3;23,9;82,8;69;null;
2015-03-11;2,6;10,8;0;31,9;27,3;24,2;76;72;null;
2015-03-12;3;6;0;31,9;27;23,1;80,3;76;null;
2015-03-13;2,6;3,1;0;31;26,8;24,1;82,8;72;null;
2015-03-14;2,4;3,1;2;31,6;26,7;23,8;84;72;null;
2015-03-15;3,2;10,4;0;31,6;26,9;23,1;79,8;73;null;
2015-03-16;3,2;9,1;0;31,6;27,3;23,5;78,8;69;null;
2015-03-17;3,4;9,6;0;31,8;27,5;24,3;75,5;61;null;
2015-03-18;4,2;10,5;0;32;27,6;24,1;74,5;62;null;
2015-03-19;3,1;8,3;0;30,8;27;23,5;78,3;71;null;
2015-03-20;3,9;5,6;2,4;30,4;27,2;23,6;80,8;74;null;
2015-03-21;2,8;7,2;1;32;27,3;24,2;80,5;66;null;
2015-03-22;3;5,9;8,8;30,8;26,8;23,8;85;77;null;
2015-03-23;3,2;7,3;0;31,3;27,4;23,3;82,3;76;null;
2015-03-24;3,1;8,4;0;31,4;27,5;23,7;77;71;null;
2015-03-25;2,7;7,8;0;31,9;27,2;24,2;79,8;68;null;
2015-03-26;3,8;8,5;,2;31,4;27,3;24,2;74,8;64;null;
2015-03-27;3,1;9,3;0;32,4;27,7;23,5;76,3;68;null;
2015-03-28;3,1;10,7;0;31;26,8;23,8;81,8;76;null;
2015-03-29;4;10,2;0;32;27,4;24,1;78;62;null;
2015-03-30;3;10,1;7,2;30,8;26,9;22,7;78;70;null;
2015-03-31;3,2;10,2;0;30,8;27,2;22,6;77,8;72;null;
2015-04-01;3,2;10,1;0;30,8;27,2;23,5;80,5;73;null;
2015-04-02;4;9;0;31;27,1;23,8;82,8;70;null;
2015-04-03;3,6;9,9;0;30,9;26,6;23,7;79,5;65;null;
2015-04-04;3,6;10;,2;31,4;27;24,2;81,8;75;null;
2015-04-05;3,6;9,3;0;32,2;27,5;23,5;74,5;64;null;
2015-04-06;2,9;10,4;0;33;28,1;23,3;78,8;69;null;
2015-04-07;3,7;10;0;35,4;29,1;24,2;74,3;63;null;
2015-04-08;3,3;9;0;35,6;29,2;24,6;75,5;66;null;
2015-04-09;3,1;10,2;0;32,6;28,3;24,2;74,5;68;null;
2015-04-10;3,2;10,3;0;33,8;28,2;23,9;74,8;65;null;
2015-04-11;4;9,3;0;33;28;23,6;73,5;63;null;
2015-04-12;3,5;6,3;0;32,8;27,7;23;77;74;null;
2015-04-13;2,7;8,1;13,6;32,4;27,3;22,5;81,3;74;null;
