Nome: PORTO DE PEDRAS
Codigo Estacao: 82996
Latitude: -9.162012
Longitude: -35.299881
Altitude: 42.21
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;null;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;7,5;0;null;null;24;80;null;5;
2015-01-22;9,4;6,5;0;30,7;27,1;23,6;75;70;3,5;
2015-01-23;9,6;5,5;,3;31,3;27,2;24,2;82;69;4;
2015-01-24;9,3;1,8;1,4;30,5;26,7;24,5;84;88;2;
2015-01-25;8,7;9,9;0;31,5;27,5;24,6;77;72;4,5;
2015-01-26;10,3;11,5;0;30,9;26,9;22,8;75;68;5,5;
2015-01-27;11,6;11,1;0;31;27,3;24,4;70;66;4;
2015-01-28;9,1;6,6;0;30,5;26,2;21,3;78;69;1;
2015-01-29;null;null;null;null;null;null;null;82;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;0;null;32;null;null;84;null;1;
2015-02-01;8,2;11,4;0;30,9;27,4;24,8;74;70;6;
2015-02-02;9,5;10,9;0;31,2;27,1;22,6;76;70;2;
2015-02-03;8,4;9,5;0;30,9;26,8;23,3;80;79;4;
2015-02-04;8,6;8,5;0;31,3;27,9;25;76;69;6,5;
2015-02-05;8,8;7,8;0;30,7;27,3;25,2;81;76;8,5;
2015-02-06;7,4;8,8;0;31;26,8;22,6;82;84;3,5;
2015-02-07;7,9;10,3;0;30,9;27,7;24,8;76;69;5,5;
2015-02-08;null;8,5;null;null;null;null;null;80;null;
2015-02-09;null;null;null;null;null;null;null;null;null;
2015-02-10;null;8,5;0;32,1;null;null;82;null;5;
2015-02-11;9,5;10,9;0;31,1;28,2;26;79;72;7;
2015-02-12;9,2;10,1;0;31,5;28,2;26,1;77;74;7;
2015-02-13;10,5;10,2;0;31,5;28,1;26,2;75;66;5,5;
2015-02-14;8,5;7,2;0;31,6;27,4;22,4;79;72;2;
2015-02-15;8,1;7,1;2,6;30,1;27,4;23,4;77;70;4;
2015-02-16;5,5;10,9;0;31,5;28,1;25,2;81;72;6;
2015-02-17;9,1;9,5;0;31,6;27,6;26,3;86;83;3,5;
2015-02-18;6,6;0;27,5;28,5;25,5;21,2;94;88;5,5;
2015-02-19;5,7;2,2;7;30;26,1;21,1;80;76;3;
2015-02-20;4,8;3,6;1,1;27;25,5;22,6;91;84;1,5;
2015-02-21;4,6;0;9;28,1;25,8;23,7;91;90;1;
2015-02-22;2,5;3,6;2,2;29,5;26,1;23,2;90;89;1,5;
2015-02-23;6,5;4,9;,5;29,7;26,7;25;83;78;3;
2015-02-24;2,8;9,3;21,8;30,1;26,3;22,2;85;86;5;
2015-02-25;7,9;11,3;0;30,8;27,2;25;84;75;4,5;
2015-02-26;8,4;11,5;0;30,5;27,5;24,7;78;71;2;
2015-02-27;6,6;10,8;0;30,6;27,1;22,4;78;73;2,5;
2015-02-28;6;10,5;0;30,5;27,1;22,5;79;75;2;
2015-03-01;6,1;9,7;0;30,3;27,4;23,3;82;79;1,5;
2015-03-02;8,1;7,3;0;30,9;26,8;21,8;88;74;5;
2015-03-03;5,4;11,4;9,7;30,7;27,1;22,6;77;73;4;
2015-03-04;8,7;4,8;0;30,4;26,5;23,5;88;73;2;
2015-03-05;6,5;6,6;4,6;30,5;26,9;23,3;89;84;2;
2015-03-06;3,6;5,8;24;29,9;26,4;22,6;81;92;4;
2015-03-07;10,4;10,7;0;30,3;27,3;23,2;77;69;3,5;
2015-03-08;6,7;1,6;11,8;27,9;26;23,5;97;81;1;
2015-03-09;1,3;1,5;84,7;27,7;26;23,2;90;97;4,5;
2015-03-10;4,7;10,3;,3;30,2;27,4;23,7;82;79;5,5;
2015-03-11;6,5;10,6;0;30,3;27,6;25,2;77;74;4;
2015-03-12;6,3;8;7,4;29,9;26,7;22,8;81;79;3;
2015-03-13;8,4;11,3;0;30,1;27,5;24,8;75;72;3,5;
2015-03-14;5,8;10,3;2,5;29,6;26,5;22,6;75;76;8;
2015-03-15;9,4;10,6;0;30,5;26,9;21,8;83;74;4;
2015-03-16;9,2;9,9;0;30,2;27,9;25,8;80;75;6;
2015-03-17;9,3;10,2;0;30,5;27,8;25,8;74;73;6,5;
2015-03-18;9,3;10,1;0;30,6;27,9;26;80;74;3,5;
