Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 366
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;11,8;36,4;null;21,6;null;null;null;
2015-01-02;null;null;0;36,6;null;24,7;null;null;null;
2015-01-03;null;null;0;30,4;null;23,5;null;null;null;
2015-01-04;null;null;0;29,9;null;22,4;null;null;null;
2015-01-05;null;null;17,9;29,2;null;20,8;null;null;null;
2015-01-06;null;null;3,6;29,3;null;20;null;null;null;
2015-01-07;null;null;0;32,5;null;21,2;null;null;null;
2015-01-08;null;null;0;33;null;21,4;null;null;null;
2015-01-09;null;null;0;34,6;null;22,2;null;null;null;
2015-01-10;null;null;0;36,6;null;23,7;null;null;null;
2015-01-11;null;null;0;34,7;null;21,6;null;null;null;
2015-01-12;null;null;0;36,8;null;22,5;null;null;null;
2015-01-13;null;null;0;33,1;null;23,2;null;null;null;
2015-01-14;null;null;0;33;null;23,1;null;null;null;
2015-01-15;null;null;0;34,5;null;23,2;null;null;null;
2015-01-16;null;null;0;31,2;null;22;null;null;null;
2015-01-17;null;null;0;34,8;null;21,1;null;null;null;
2015-01-18;null;null;0;33,2;null;21,6;null;null;null;
2015-01-19;null;null;0;34;null;21,5;null;null;null;
2015-01-20;null;null;0;34,7;null;20,9;null;null;null;
2015-01-21;null;null;0;33,8;null;22,4;null;null;null;
2015-01-22;null;null;0;33,7;null;22,1;null;null;null;
2015-01-23;null;null;17,8;29,7;null;20,7;null;null;null;
2015-01-24;null;null;0;29,2;null;20,6;null;null;null;
2015-01-25;null;null;0;33;null;20,3;null;null;null;
2015-01-26;null;null;0;32,2;null;22,2;null;null;null;
2015-01-27;null;null;0;32,8;null;21,9;null;null;null;
2015-01-28;null;null;0;33,7;null;21,2;null;null;null;
2015-01-29;null;null;0;35,5;null;22,4;null;null;null;
2015-01-30;null;null;0;33,4;null;23,5;null;null;null;
2015-01-31;null;null;68,3;27,2;null;20,4;null;null;null;
2015-02-01;null;null;18,6;29,8;null;21,5;null;null;null;
2015-02-02;null;null;66,8;29,6;null;21;null;null;null;
2015-02-03;null;null;7,2;30,4;null;18,7;null;null;null;
2015-02-04;null;null;0;29,6;null;19,4;null;null;null;
2015-02-05;null;null;1,4;27,8;null;20,5;null;null;null;
2015-02-06;null;null;0;26,2;null;20,2;null;null;null;
2015-02-07;null;null;25,6;28,2;null;19,6;null;null;null;
2015-02-08;null;null;6,8;28,1;null;19,7;null;null;null;
2015-02-09;null;null;7,2;30;null;19,3;null;null;null;
2015-02-10;null;null;0;33,4;null;22,6;null;null;null;
2015-02-11;null;null;0;33,2;null;22,9;null;null;null;
2015-02-12;null;null;0;35,2;null;24,3;null;null;null;
2015-02-13;null;null;0;33,4;null;24;null;null;null;
2015-02-14;null;null;0;31,4;null;23;null;null;null;
2015-02-15;null;null;0;32,5;null;22,1;null;null;null;
2015-02-16;null;null;22,3;26,8;null;20,3;null;null;null;
2015-02-17;null;null;0;30,7;null;20,6;null;null;null;
2015-02-18;null;null;0;30,4;null;21,2;null;null;null;
2015-02-19;null;null;0;32,3;null;23,2;null;null;null;
2015-02-20;null;null;0;33,1;null;23,8;null;null;null;
2015-02-21;null;null;0;31,4;null;21,2;null;null;null;
2015-02-22;null;null;0;29,8;null;21,1;null;null;null;
2015-02-23;null;null;0;31,7;null;21,2;null;null;null;
2015-02-24;null;null;0;31,2;null;21,9;null;null;null;
2015-02-25;null;null;0;31,5;null;21,3;null;null;null;
2015-02-26;null;null;0;30,7;null;22,1;null;null;null;
2015-02-27;null;null;0;32,2;null;21,2;null;null;null;
2015-02-28;null;null;0;26,1;null;21,7;null;null;null;
2015-03-01;null;null;1,7;26,8;null;19,7;null;null;null;
2015-03-02;null;null;0;27,3;null;18,6;null;null;null;
2015-03-03;null;null;0;29,1;null;19,1;null;null;null;
2015-03-04;null;null;0;30,1;null;20;null;null;null;
2015-03-05;null;null;0;31,8;null;20,1;null;null;null;
2015-03-06;null;null;0;32,1;null;21,4;null;null;null;
2015-03-07;null;null;0;29,1;null;21,7;null;null;null;
2015-03-08;null;null;3,6;29,4;null;20,2;null;null;null;
2015-03-09;null;null;3,8;29,5;null;20,7;null;null;null;
2015-03-10;null;null;4;27,8;null;21,7;null;null;null;
2015-03-11;null;null;0;30,1;null;22,4;null;null;null;
2015-03-12;null;null;3,8;28,4;null;23,2;null;null;null;
2015-03-13;null;null;0;30,8;null;22,1;null;null;null;
2015-03-14;null;null;2,2;28,9;null;19,8;null;null;null;
2015-03-15;null;null;0;30,4;null;21,9;null;null;null;
2015-03-16;null;null;0;30,1;null;21,3;null;null;null;
2015-03-17;null;null;0;24,2;null;20,8;null;null;null;
2015-03-18;null;null;5,2;27,5;null;20,1;null;null;null;
2015-03-19;null;null;42,8;27,7;null;20,4;null;null;null;
2015-03-20;null;null;5,2;28,6;null;20,1;null;null;null;
2015-03-21;null;null;6,8;26,8;null;19,7;null;null;null;
2015-03-22;null;null;2,2;27,2;null;20,8;null;null;null;
2015-03-23;null;null;65;23,7;null;19;null;null;null;
2015-03-24;null;null;10,4;24,9;null;19,3;null;null;null;
2015-03-25;null;null;0;26,4;null;18,6;null;null;null;
2015-03-26;null;null;0;29,2;null;17;null;null;null;
2015-03-27;null;null;0;27;null;20,1;null;null;null;
2015-03-28;null;null;0;27,1;null;20,2;null;null;null;
2015-03-29;null;null;2,8;28,8;null;20,3;null;null;null;
2015-03-30;null;null;57,6;28;null;21;null;null;null;
2015-03-31;null;null;0;29,6;null;21,7;null;null;null;
2015-04-01;null;null;0;25,7;null;21,3;null;null;null;
2015-04-02;null;null;1,2;26,8;null;20;null;null;null;
2015-04-03;null;null;0;25,5;null;18,2;null;null;null;
2015-04-04;null;null;0;28,4;null;17,1;null;null;null;
2015-04-05;null;null;0;30,7;null;19,4;null;null;null;
2015-04-06;null;null;12,8;30,6;null;20,9;null;null;null;
2015-04-07;null;null;23,2;21,8;null;18,5;null;null;null;
2015-04-08;null;null;23;19,7;null;15,6;null;null;null;
2015-04-09;null;null;0;25,2;null;16,6;null;null;null;
2015-04-10;null;null;0;25,7;null;17,3;null;null;null;
2015-04-11;null;null;0;26,8;null;16,6;null;null;null;
2015-04-12;null;null;0;27,6;null;16,8;null;null;null;
2015-04-13;null;null;0;26,1;null;16,1;null;null;null;
2015-04-14;null;null;0;27,2;null;17,4;null;null;null;
2015-04-15;null;null;0;29,7;null;18,9;null;null;null;
2015-04-16;null;null;0;28;null;20,8;null;null;null;
2015-04-17;null;null;5,2;27,8;null;20;null;null;null;
2015-04-18;null;null;0;29,2;null;18,9;null;null;null;
2015-04-19;null;null;0;26,9;null;21,7;null;null;null;
2015-04-20;null;null;0;30,2;null;20,5;null;null;null;
2015-04-21;null;null;0;31,6;null;22,6;null;null;null;
2015-04-22;null;null;3;22,1;null;21,3;null;null;null;
2015-04-23;null;null;15,2;24,5;null;19,1;null;null;null;
2015-04-24;null;null;0;27,5;null;19,5;null;null;null;
2015-04-25;null;null;0;23,5;null;21,2;null;null;null;
2015-04-26;null;null;10,6;23,1;null;17,4;null;null;null;
2015-04-27;null;null;4,2;23,6;null;17,6;null;null;null;
2015-04-28;null;null;1,8;26,1;null;16,7;null;null;null;
2015-04-29;null;null;0;24,8;null;17,8;null;null;null;
2015-04-30;null;null;24,2;21,3;null;17,1;null;null;null;
2015-05-01;null;null;17;22,8;null;14,9;null;null;null;
2015-05-02;null;null;0;25,8;null;16,4;null;null;null;
2015-05-03;null;null;0;27,6;null;18,4;null;null;null;
2015-05-04;null;null;0;29,3;null;21,3;null;null;null;
2015-05-05;null;null;25,4;21,6;null;18,8;null;null;null;
2015-05-06;null;null;0;21;null;16,3;null;null;null;
2015-05-07;null;null;0;22,6;null;16,6;null;null;null;
2015-05-08;null;null;25;20,8;null;16,1;null;null;null;
2015-05-09;null;null;0;24,2;null;14,4;null;null;null;
2015-05-10;null;null;0;25,9;null;15,4;null;null;null;
2015-05-11;null;null;0;26,8;null;18,1;null;null;null;
2015-05-12;null;null;6,6;23,7;null;16,9;null;null;null;
2015-05-13;null;null;6,8;21,6;null;18,1;null;null;null;
2015-05-14;null;null;4,4;21,6;null;16,7;null;null;null;
2015-05-15;null;null;0;22,6;null;14,8;null;null;null;
2015-05-16;null;null;0;21,9;null;16;null;null;null;
2015-05-17;null;null;0;24,6;null;17,4;null;null;null;
2015-05-18;null;null;0;23,6;null;17,1;null;null;null;
2015-05-19;null;null;0;24,5;null;17,8;null;null;null;
2015-05-20;null;null;0;25,2;null;15,8;null;null;null;
2015-05-21;null;null;0;24,6;null;18,1;null;null;null;
2015-05-22;null;null;0;24,9;null;16,9;null;null;null;
2015-05-23;null;null;0;24,5;null;15,5;null;null;null;
2015-05-24;null;null;0;27,8;null;16,3;null;null;null;
2015-05-25;null;null;0;28,8;null;18,1;null;null;null;
2015-05-26;null;null;0;26,2;null;17,5;null;null;null;
2015-05-27;null;null;0;27,5;null;16,4;null;null;null;
2015-05-28;null;null;0;30,4;null;20,1;null;null;null;
2015-05-29;null;null;6,4;24,6;null;18,2;null;null;null;
2015-05-30;null;null;0;23,6;null;14,8;null;null;null;
2015-05-31;null;null;1,2;20,4;null;17,1;null;null;null;
2015-06-01;null;null;2,2;20,4;null;17,8;null;null;null;
2015-06-02;null;null;5,4;19,6;null;17;null;null;null;
2015-06-03;null;null;1,1;20,9;null;16,8;null;null;null;
2015-06-04;null;null;0;24;null;15,1;null;null;null;
2015-06-05;null;null;0;25,8;null;15,2;null;null;null;
2015-06-06;null;null;0;27;null;17;null;null;null;
2015-06-07;null;null;0;29,7;null;18,1;null;null;null;
2015-06-08;null;null;0;27,8;null;17,8;null;null;null;
2015-06-09;null;null;0;27,4;null;17,4;null;null;null;
2015-06-10;null;null;0;29,4;null;16,9;null;null;null;
2015-06-11;null;null;0;29,3;null;17,9;null;null;null;
2015-06-12;null;null;0;22,6;null;18,5;null;null;null;
2015-06-13;null;null;10,4;27;null;18,2;null;null;null;
2015-06-14;null;null;0;29,7;null;19,6;null;null;null;
2015-06-15;null;null;0;21,8;null;20,8;null;null;null;
2015-06-16;null;null;38,2;19,1;null;15,8;null;null;null;
2015-06-17;null;null;4,2;25,7;null;16,5;null;null;null;
2015-06-18;null;null;0;29,7;null;18,5;null;null;null;
2015-06-19;null;null;59,4;18,8;null;17,6;null;null;null;
2015-06-20;null;null;91,4;18,7;null;14,2;null;null;null;
2015-06-21;null;null;0;21,2;null;13,8;null;null;null;
2015-06-22;null;null;0;23,5;null;15,1;null;null;null;
2015-06-23;null;null;0;27,7;null;16,2;null;null;null;
2015-06-24;null;null;22,6;18,6;null;17,6;null;null;null;
2015-06-25;null;null;25,4;17,2;null;14,7;null;null;null;
2015-06-26;null;null;0;20,2;null;13,1;null;null;null;
2015-06-27;null;null;0;22;null;14;null;null;null;
2015-06-28;null;null;0;22,6;null;13,9;null;null;null;
2015-06-29;null;null;0;23,4;null;14,4;null;null;null;
2015-06-30;null;null;0;25,4;null;15,4;null;null;null;
2015-07-01;null;null;0;28,2;null;18,8;null;null;null;
2015-07-02;null;null;0;23,2;null;16,5;null;null;null;
2015-07-03;null;null;0;26,4;null;16;null;null;null;
2015-07-04;null;null;0;27,9;null;20,3;null;null;null;
2015-07-05;null;null;44,3;17,6;null;12,8;null;null;null;
2015-07-06;null;null;2,4;19,1;null;14,1;null;null;null;
2015-07-07;null;null;0;23,2;null;15,4;null;null;null;
2015-07-08;null;null;0;24,2;null;16,7;null;null;null;
2015-07-09;null;null;0;24,5;null;19,3;null;null;null;
2015-07-10;null;null;0;24,4;null;15,1;null;null;null;
2015-07-11;null;null;0;24,6;null;17,7;null;null;null;
2015-07-12;null;null;0;27,7;null;16,7;null;null;null;
2015-07-13;null;null;0;28,5;null;20;null;null;null;
2015-07-14;null;null;0;29,2;null;18,6;null;null;null;
2015-07-15;null;null;0;27,2;null;17,6;null;null;null;
2015-07-16;null;null;0;26,9;null;16,1;null;null;null;
2015-07-17;null;null;0;26,3;null;16,8;null;null;null;
2015-07-18;null;null;0;25,7;null;17,6;null;null;null;
2015-07-19;null;null;0;26,6;null;16,3;null;null;null;
2015-07-20;null;null;0;27,4;null;16,2;null;null;null;
2015-07-21;null;null;0;29;null;19,2;null;null;null;
2015-07-22;null;null;18,4;19,9;null;15,6;null;null;null;
2015-07-23;null;null;0;25,6;null;16,1;null;null;null;
2015-07-24;null;null;0;24,7;null;16,5;null;null;null;
2015-07-25;null;null;1,3;23,4;null;17,7;null;null;null;
2015-07-26;null;null;5;19,2;null;16,3;null;null;null;
2015-07-27;null;null;0;21,8;null;16,7;null;null;null;
2015-07-28;null;null;0;24,6;null;16,1;null;null;null;
2015-07-29;null;null;1,1;22,4;null;17,8;null;null;null;
2015-07-30;null;null;0;25,7;null;16,8;null;null;null;
2015-07-31;null;null;0;26,4;null;16,8;null;null;null;
2015-08-01;null;null;0;26,5;null;17,5;null;null;null;
2015-08-02;null;null;0;27,9;null;17,1;null;null;null;
2015-08-03;null;null;0;28,9;null;16,1;null;null;null;
2015-08-04;null;null;0;29,6;null;16,9;null;null;null;
2015-08-05;null;null;0;28,4;null;15,9;null;null;null;
2015-08-06;null;null;0;27,8;null;16,1;null;null;null;
2015-08-07;null;null;0;28,2;null;16,6;null;null;null;
2015-08-08;null;null;0;27,2;null;17,3;null;null;null;
2015-08-09;null;null;0;24,7;null;16,7;null;null;null;
2015-08-10;null;null;0;24,5;null;15,5;null;null;null;
2015-08-11;null;null;0;24,6;null;15,4;null;null;null;
2015-08-12;null;null;0;24,4;null;14,1;null;null;null;
2015-08-13;null;null;0;25,4;null;14,8;null;null;null;
2015-08-14;null;null;0;26,1;null;15,6;null;null;null;
2015-08-15;null;null;0;26,7;null;17,6;null;null;null;
2015-08-16;null;null;0;28,4;null;17;null;null;null;
2015-08-17;null;null;0;26,1;null;15,7;null;null;null;
2015-08-18;null;null;0;26,9;null;17,1;null;null;null;
2015-08-19;null;null;0;30,7;null;20,5;null;null;null;
2015-08-20;null;null;2,4;21,7;null;17,1;null;null;null;
2015-08-21;null;null;14,2;22,4;null;15,2;null;null;null;
2015-08-22;null;null;0;24;null;16,5;null;null;null;
2015-08-23;null;null;0;27,8;null;15,8;null;null;null;
2015-08-24;null;null;0;21,6;null;17,9;null;null;null;
2015-08-25;null;null;3,6;19,7;null;16,5;null;null;null;
2015-08-26;null;null;5,8;24,1;null;16,1;null;null;null;
2015-08-27;null;null;0;24,9;null;16,8;null;null;null;
2015-08-28;null;null;0;23,6;null;17,4;null;null;null;
2015-08-29;null;null;0;24,4;null;14,9;null;null;null;
2015-08-30;null;null;0;29,3;null;15,8;null;null;null;
2015-08-31;null;null;0;32,7;null;17,4;null;null;null;
2015-09-01;null;null;0;33,1;null;19,6;null;null;null;
2015-09-02;null;null;13,2;20,4;null;16,2;null;null;null;
2015-09-03;null;null;0;23;null;15,5;null;null;null;
2015-09-04;null;null;2,2;23,7;null;17,1;null;null;null;
2015-09-05;null;null;22;18,2;null;15,4;null;null;null;
2015-09-06;null;null;2,4;19,6;null;15,3;null;null;null;
2015-09-07;null;null;0;27,4;null;17,6;null;null;null;
2015-09-08;null;null;2;25,1;null;18,7;null;null;null;
2015-09-09;null;null;12,2;23,1;null;18,6;null;null;null;
2015-09-10;null;null;0;24,4;null;17,2;null;null;null;
2015-09-11;null;null;12,2;26,3;null;18,8;null;null;null;
2015-09-12;null;null;23,5;19,1;null;16,4;null;null;null;
2015-09-13;null;null;63,2;17,1;null;14,5;null;null;null;
2015-09-14;null;null;12,2;19,1;null;14,7;null;null;null;
2015-09-15;null;null;3,2;27,7;null;16,5;null;null;null;
2015-09-16;null;null;0;31,7;null;18,5;null;null;null;
2015-09-17;null;null;0;34,7;null;23,5;null;null;null;
2015-09-18;null;null;0;35;null;21,1;null;null;null;
2015-09-19;null;null;0;31,3;null;21;null;null;null;
2015-09-20;null;null;0;26,5;null;18,8;null;null;null;
2015-09-21;null;null;0;27,7;null;19;null;null;null;
2015-09-22;null;null;0;25,9;null;17,4;null;null;null;
2015-09-23;null;null;0;31,4;null;18,7;null;null;null;
2015-09-24;null;null;0;35,5;null;20,6;null;null;null;
2015-09-25;null;null;0;37,5;null;23,8;null;null;null;
2015-09-26;null;null;0;26,5;null;20,1;null;null;null;
2015-09-27;null;null;0;30,7;null;19,7;null;null;null;
2015-09-28;null;null;22,4;27,9;null;20;null;null;null;
2015-09-29;null;null;0;24,8;null;19,7;null;null;null;
2015-09-30;null;null;0;27,7;null;20;null;null;null;
2015-10-01;null;null;1;26,8;null;19,2;null;null;null;
2015-10-02;null;null;0;29,3;null;18,9;null;null;null;
2015-10-03;null;null;4,6;27,1;null;20,6;null;null;null;
2015-10-04;null;null;0;21,6;null;19,2;null;null;null;
2015-10-05;null;null;23;null;null;17;null;null;null;
2015-10-06;null;null;2,2;22,4;null;14;null;null;null;
2015-10-07;null;null;0;27;null;14,8;null;null;null;
2015-10-08;null;null;0;30;null;18;null;null;null;
2015-10-09;null;null;0;27,6;null;22,5;null;null;null;
2015-10-10;null;null;0;30,1;null;20,1;null;null;null;
2015-10-11;null;null;0;31,6;null;20,2;null;null;null;
2015-10-12;null;null;0;26,8;null;20,4;null;null;null;
2015-10-13;null;null;0;27,5;null;19,1;null;null;null;
2015-10-14;null;null;0;32,8;null;19,4;null;null;null;
2015-10-15;null;null;0;36,1;null;21;null;null;null;
2015-10-16;null;null;0;38,1;null;24,8;null;null;null;
2015-10-17;null;null;0;26,2;null;20,6;null;null;null;
2015-10-18;null;null;11,8;19,8;null;17,3;null;null;null;
2015-10-19;null;null;13,5;23,4;null;16,4;null;null;null;
2015-10-20;null;null;0;29,3;null;16,1;null;null;null;
2015-10-21;null;null;0;30,7;null;21,2;null;null;null;
2015-10-22;null;null;0;29,5;null;20,8;null;null;null;
2015-10-23;null;null;10,2;27,2;null;20;null;null;null;
2015-10-24;null;null;0;24,1;null;18,8;null;null;null;
2015-10-25;null;null;2,3;21,1;null;17,8;null;null;null;
2015-10-26;null;null;0;25,1;null;16,8;null;null;null;
2015-10-27;null;null;0;28,5;null;19,4;null;null;null;
2015-10-28;null;null;1;21,9;null;20,6;null;null;null;
2015-10-29;null;null;21,6;24,3;null;18,7;null;null;null;
2015-10-30;null;null;16;22,7;null;18,8;null;null;null;
2015-10-31;null;null;0;32,2;null;19,4;null;null;null;
2015-11-01;null;null;0;27,3;null;19,2;null;null;null;
2015-11-02;null;null;2;26,1;null;18,1;null;null;null;
2015-11-03;null;null;15,2;27,6;null;21,2;null;null;null;
2015-11-04;null;null;0;27,5;null;20,8;null;null;null;
2015-11-05;null;null;7,8;25,4;null;20,7;null;null;null;
2015-11-06;null;null;0;24,4;null;21,4;null;null;null;
