Nome: MUNIZ FREIRE
Codigo Estacao: 83013
Latitude: -20.46583333
Longitude: -41.41194444
Altitude: 530
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2024-04-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,5;null;0;35,3;null;21;null;null;null;
2015-01-02;7;null;0;36,4;null;22,2;null;null;null;
2015-01-03;5,7;null;0;35;null;22,3;null;null;null;
2015-01-04;5,3;null;0;34,3;null;21;null;null;null;
2015-01-05;6,2;null;0;33;null;21,1;null;null;null;
2015-01-06;5,1;null;0;31,1;null;21,2;null;null;null;
2015-01-07;6,3;null;0;32,4;null;20,1;null;null;null;
2015-01-08;4,1;null;0;32,4;null;18,2;null;null;null;
2015-01-09;7,8;null;0;32;null;20;null;null;null;
2015-01-10;8,2;null;0;34,2;null;20,1;null;null;null;
2015-01-11;8,4;null;0;33,4;null;21;null;null;null;
2015-01-12;5,6;null;0;34;null;22,2;null;null;null;
2015-01-13;8,5;null;0;33;null;22,4;null;null;null;
2015-01-14;7,5;null;0;33,3;null;20,4;null;null;null;
2015-01-15;8;null;0;34;null;19;null;null;null;
2015-01-16;6,1;null;0;32,9;null;21;null;null;null;
2015-01-17;8,4;null;0;33,9;null;20,8;null;null;null;
2015-01-18;7,1;null;0;34,8;null;20,2;null;null;null;
2015-01-19;8,7;null;0;35,1;null;19,9;null;null;null;
2015-01-20;5,8;null;0;34;null;20;null;null;null;
2015-01-21;8;null;0;36,3;null;21,2;null;null;null;
2015-01-22;7,1;null;0;34,4;null;22,2;null;null;null;
2015-01-23;8;null;0;32,8;null;20,1;null;null;null;
2015-01-24;6,8;null;0;34,9;null;19,6;null;null;null;
2015-01-25;7,4;null;0;31,4;null;21,4;null;null;null;
2015-01-26;6,1;null;0;33;null;20;null;null;null;
2015-01-27;5,3;null;0;31,2;null;23;null;null;null;
2015-01-28;7,6;null;0;36;null;22;null;null;null;
2015-01-29;7,7;null;0;35,3;null;21,4;null;null;null;
2015-01-30;7,9;null;0;36,4;null;21,3;null;null;null;
2015-01-31;6,4;null;8;35;null;21;null;null;null;
2015-02-01;6,1;null;0;33;null;21,3;null;null;null;
2015-02-02;7,7;null;0;34;null;22;null;null;null;
2015-02-03;8,5;null;0;33;null;21,2;null;null;null;
2015-02-04;6,9;null;0;32,2;null;22;null;null;null;
2015-02-05;4,6;null;6,2;25;null;20;null;null;null;
2015-02-06;3,9;null;3;25,1;null;20,4;null;null;null;
2015-02-07;4,5;null;1,2;26;null;20,2;null;null;null;
2015-02-08;3,9;null;17;24;null;20;null;null;null;
2015-02-09;5,2;null;10,2;28,3;null;20,3;null;null;null;
2015-02-10;5,7;null;0;30,3;null;21,2;null;null;null;
2015-02-11;6,5;null;0;32,2;null;19,4;null;null;null;
2015-02-12;7,5;null;0;33,4;null;21;null;null;null;
2015-02-13;6,5;null;0;33,3;null;21,2;null;null;null;
2015-02-14;4,7;null;0;32,4;null;21,3;null;null;null;
2015-02-15;8,3;null;1;32,3;null;21,1;null;null;null;
2015-02-16;3,9;null;0;32,2;null;22;null;null;null;
