Nome: MARIA DA FE
Codigo Estacao: 83015
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.36
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2;9,2;0;30,2;21,9;15,6;77,5;54;1,3;
2015-01-02;1,5;6,9;0;30,4;22;14,8;81,8;62;1;
2015-01-03;2;5,6;,7;29,9;21,8;15,2;80,5;67;1,3;
2015-01-04;2,5;4,2;,8;26,9;20,9;16,4;74;61;2;
2015-01-05;2;,2;0;25,7;20,1;14;75;74;1,7;
2015-01-06;1,5;,7;0;25,5;20,4;15;83;72;1,3;
2015-01-07;1,5;5,7;0;28,5;19,9;14;80,8;62;2;
2015-01-08;2;10,7;0;31,4;21,1;13,4;73,3;49;2;
2015-01-09;4;11,3;0;31,8;21,8;14,2;69,3;49;2;
2015-01-10;,5;10,4;0;32,8;23,4;15,2;71,3;46;2;
2015-01-11;3,3;11,2;11,5;32,4;24,3;17,4;71,5;43;1,3;
2015-01-12;3,2;9;19,8;32,4;22,4;15,8;72,8;48;1,7;
2015-01-13;4,5;11,2;1,3;32,6;22,2;13,6;67;43;2;
2015-01-14;3,5;5,6;0;31;22;15,6;82,3;61;2;
2015-01-15;1;8,4;1,3;32;22,8;14,2;71,5;53;1,3;
2015-01-16;3;9,9;0;31,2;21,7;12,8;71,5;52;1,7;
2015-01-17;3;10,9;0;32,4;22,5;14,4;68,8;46;1;
2015-01-18;4;11,4;0;34,2;22,9;14,4;64,5;36;1;
2015-01-19;4,5;11,2;0;34,4;22,2;12,2;62,8;43;1;
2015-01-20;4;9,1;0;33,4;21,9;13;69,5;52;1,7;
2015-01-21;,3;7,2;0;32,8;22;14;76,3;47;1,3;
2015-01-22;3,3;6,1;,7;28,5;20,5;15,2;77,5;58;1,7;
2015-01-23;1,6;,8;21,9;23,9;18,2;15,2;86;66;2;
2015-01-24;1,4;5,2;2,5;27,1;19,7;15,2;77,5;56;2;
2015-01-25;2;8,5;6,5;27,7;19,4;11,2;79,3;57;2;
2015-01-26;2;3,4;46;27,3;19,3;15,2;91;81;2;
2015-01-27;1;3,4;55,1;27,9;20,3;14,2;79,8;69;2,3;
2015-01-28;2;3,8;0;29,1;21,3;14;76,5;56;1,3;
2015-01-29;2;6,4;0;28,1;21,2;15,4;79;66;1,3;
2015-01-30;0;7,3;0;29,5;21,4;14;77;51;1;
2015-01-31;2,5;5,4;1,9;29,3;21,9;15;79;63;1,7;
