Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,2;9,8;21,4;35,2;28,3;21,7;69;null;,7;
2015-01-02;4;9,7;0;35,6;28,5;22,1;63,3;null;1,6;
2015-01-03;4,4;10,9;0;35;29,1;22,9;65,8;null;1,3;
2015-01-04;5,3;1,3;19,3;29,7;24,6;20,5;83,5;null;1,3;
2015-01-05;2,2;9,2;,4;33,4;25,3;19,3;78;null;1,6;
2015-01-06;4,2;7,2;14,7;32,9;25,7;20,8;80,3;null;1,2;
2015-01-07;3;5,3;,2;32,2;26,2;21,7;79,5;null;1,3;
2015-01-08;2,7;5,8;16,2;33,2;27,5;22,2;80,8;null;1,7;
2015-01-09;3,1;2,6;0;30,2;26,5;23,9;82,8;null;,9;
2015-01-10;2,2;7,4;1,7;35;27,4;22,1;74,5;null;2,3;
2015-01-11;3,7;6,4;0;32,8;27;23;76;null;1,5;
2015-01-12;3,6;2,6;4;31,8;25,4;23,1;84,5;null;1,8;
2015-01-13;1,8;5,4;1;32,3;26;21,5;77,5;null;2,1;
2015-01-14;3,8;6,8;0;34,2;26;21,9;76,3;null;,8;
2015-01-15;3,4;9,5;4,7;34,2;26,4;21,9;72,8;null;3,5;
2015-01-16;3,7;,5;,8;30,5;25,8;22,7;85,5;null;1,9;
2015-01-17;2,1;2,5;1,4;31,3;26,1;22,7;84,5;null;1,2;
2015-01-18;2,2;3,8;1,8;31,3;25,5;23,4;88;null;1,8;
2015-01-19;2;1,7;6,6;30,1;25,2;21,8;85;68;1,1;
2015-01-20;1,7;3,3;2,8;29,4;25,4;22,3;90,3;null;,5;
2015-01-21;1,5;4,6;7;32,5;26,1;22,4;77;null;3,1;
2015-01-22;3,4;9;2,2;34,8;27,3;20,9;65,5;null;1,2;
2015-01-23;5,9;6,9;0;33,4;27,8;23,6;75,3;null;1,5;
2015-01-24;4,1;3,4;8,2;29,9;24,9;22,3;84,3;null;2,8;
2015-01-25;3,1;,8;0;28,8;23,3;20,6;87;null;1,3;
2015-01-26;1,8;5,2;32,4;32,8;25,9;20,3;77,5;null;1,3;
2015-01-27;3,1;6,7;,5;32,3;26,7;23,2;83,8;null;,7;
2015-01-28;2,8;8,9;5,3;35;27,4;21,8;71,8;null;1,7;
2015-01-29;4,3;9;0;37;29,7;22,9;58,8;null;1,5;
2015-01-30;5,3;10,8;0;36,4;28,9;23,4;69,8;null;1,9;
2015-01-31;5,1;3,8;0;32,8;25,9;22,4;75;null;1,1;
2015-02-01;3,9;2;1,1;29,8;25;20,7;80;62;,5;
2015-02-02;3;6,9;0;34,8;26,1;21,5;78,8;49;,2;
2015-02-03;3,2;3,3;1,2;30,8;26;22,9;78,5;68;1,8;
2015-02-04;3,7;6,8;12,3;30,6;25,5;21,7;76;61;2,7;
2015-02-05;4;7,1;0;32,6;27,6;23,5;68,8;49;3,3;
2015-02-06;5,2;,1;3,3;28,4;24,1;22,1;94;70;,3;
2015-02-07;1,1;4,4;25;32,4;25;21,9;86,3;64;1,5;
2015-02-08;2,7;,5;3,6;32,2;25,3;21,4;76,8;55;,8;
2015-02-09;3,2;3,3;18,9;31,6;25,6;21,7;77;71;2,7;
2015-02-10;2,3;6,8;2,5;32,2;26,9;22,5;77,3;68;1,4;
2015-02-11;3,5;10,2;6,5;35,4;28,5;23,5;72;54;1,9;
2015-02-12;4,2;7,7;0;34,4;28;23,7;75,8;56;,3;
2015-02-13;3,8;4,2;,3;31,8;27,5;23,9;78,5;67;1,7;
2015-02-14;2,7;6,4;4;32,6;26,5;21,9;80,3;77;1,8;
2015-02-15;3,3;8,8;,4;33,3;26,8;20,7;71,8;55;,3;
2015-02-16;4,7;7,2;0;34,2;27,2;22,9;71,8;49;,9;
2015-02-17;4;0;14,3;26,2;23,3;21,6;92,8;81;4,6;
2015-02-18;1;5;8,5;31,4;24,7;21,4;85,3;64;1,1;
2015-02-19;2,2;3,9;30;31,8;25,6;21,9;87,8;78;1,3;
2015-02-20;2,3;,1;12,6;26,2;23,7;21,7;90,3;80;,4;
2015-02-21;1,3;2,8;22,6;31,4;25,6;21,3;79,8;61;1,1;
2015-02-22;2,8;7,1;0;33,3;25,6;22;74,5;49;2,1;
2015-02-23;5,3;8;6,7;33,6;25,3;19,7;76,8;61;1,1;
2015-02-24;2,2;7,3;0;33,4;27,4;22,5;69;57;3,6;
2015-02-25;5;6,9;0;34;27,3;23,3;82,8;71;,4;
2015-02-26;3,4;5,5;2,7;35,7;28;23,3;78;55;1,1;
2015-02-27;3,5;,1;,7;30,5;24,6;21,6;92,3;84;1,1;
2015-02-28;1,3;6,6;24,1;33,6;26,5;21,5;78;50;,7;
2015-03-01;3,4;1,6;0;27,9;24,2;22;90,8;78;1,7;
2015-03-02;1,4;6,9;18,1;33,5;26,6;19,5;74;59;,1;
2015-03-03;3,6;5,9;0;32,3;26,2;23,1;83,5;76;2,4;
2015-03-04;3;7,2;,4;33,9;26,1;21,7;80,3;53;0;
2015-03-05;3,3;3,5;5,2;33;26,4;21,8;78,3;58;3,1;
2015-03-06;2,8;7,9;3,9;34;27,8;23,1;74,5;56;2,8;
2015-03-07;3,9;1,1;0;27,5;24,5;21,9;91,3;83;,5;
2015-03-08;,7;9,2;25;33,6;26,9;21,7;79,3;65;1,6;
2015-03-09;3,3;6,8;0;33,8;28,2;23,7;79;66;1,7;
2015-03-10;2,9;6,2;,3;36,1;28,1;23,6;75,8;51;2;
2015-03-11;3,7;4;,6;33,4;27,3;23,3;76,5;67;,9;
2015-03-12;3,1;3,7;6;31,3;26,2;24;77,8;64;2,4;
2015-03-13;3,1;3,7;0;31,5;26,9;23,6;85,3;79;,4;
2015-03-14;2,6;7;1,2;33,2;26;22,5;82;61;1,2;
2015-03-15;3;4,8;5,2;32,7;27,2;22,6;80,8;75;1,2;
2015-03-16;2,3;4,8;3;33,5;26,6;23,5;76,3;63;1;
2015-03-17;3,6;3,3;,8;32,6;25,5;23,4;80;58;2,7;
2015-03-18;3,3;5,5;4,8;32,8;26,9;22,8;77;58;2;
2015-03-19;3,9;0;0;27,6;24,7;22,8;84,8;72;1,2;
2015-03-20;1,8;,4;,3;30,1;25,3;22,5;80,8;70;1,3;
2015-03-21;2,5;0;14,2;25,2;23,1;21;93,8;81;,4;
2015-03-22;,5;4;8,9;30;25,3;21,1;78,8;68;2,7;
2015-03-23;3,1;3,7;0;32,2;25,9;22,3;79,3;62;1,2;
2015-03-24;3,4;2,7;4,8;31,7;26,2;22;85,8;79;2,4;
2015-03-25;2,1;4,9;5,6;33,6;26,2;23,1;83,8;62;,5;
2015-03-26;2,5;3,9;16,2;31,7;25,8;23,7;82,5;60;2,5;
2015-03-27;1,9;8;8,5;35,5;27,8;22,7;71,5;56;1,6;
2015-03-28;3,5;8,3;0;35;28,6;23,5;74,3;60;,8;
2015-03-29;3,9;7,9;,2;34;28;23,9;70,5;59;1,3;
2015-03-30;4,2;9,2;,4;34,6;27;23,3;77,3;51;1,2;
2015-03-31;3,5;5,6;11,7;33,7;26,5;23,6;84,5;70;,8;
2015-04-01;3;6,9;,3;34,2;27,7;22,7;78,3;57;0;
2015-04-02;3,4;8,1;0;34,9;28,9;25,1;75,3;53;1,7;
2015-04-03;3,8;3,6;0;33,6;27,9;24,9;79,5;61;,9;
2015-04-04;3,6;8,5;0;33,7;27,5;23,9;76,8;65;1,1;
2015-04-05;4,1;6,1;,2;32,4;27,5;23,4;76,5;58;0;
2015-04-06;3,4;4;0;30,5;25,8;23,5;85;77;2,9;
2015-04-07;2,8;6,6;1,7;32,2;26,3;22,9;85;75;1,2;
2015-04-08;3,4;7,7;5,5;33;27,6;23,7;77,3;63;,5;
2015-04-09;4,4;1,8;39;30,6;25,4;21,7;86;64;1,2;
2015-04-10;1,8;6,2;2,5;35;27;22,7;83,3;59;,7;
2015-04-11;2,9;,5;,8;26,8;25;23;88,5;80;,8;
2015-04-12;1,5;6,2;8,2;34,1;27,3;22,2;80,5;72;,9;
2015-04-13;2,6;2,3;8;30,4;26,4;22,3;87,5;78;,3;
2015-04-14;1,8;0;42,8;28;24;21,3;91,8;81;1,4;
2015-04-15;1,1;5;0;32;26,3;20,9;87,8;83;0;
2015-04-16;1,8;3,4;27,2;32,1;26;23;77,5;60;4,6;
2015-04-17;3,3;8,9;0;34,7;27,3;21;73,5;49;,9;
2015-04-18;3,5;6,7;0;34,3;27,2;22,8;78,3;58;1,1;
2015-04-19;2,9;9,8;1;34,5;28;23;75,5;53;1,3;
2015-04-20;4,4;0;8,8;27,8;23,7;21,4;91;82;,9;
2015-04-21;,8;9,9;43,7;33,7;26,8;20,4;70,8;50;,9;
2015-04-22;3,8;5,2;29,8;31,4;26,1;22,6;78,5;62;1,3;
2015-04-23;2;4,7;2;31,5;25,5;22,4;93,3;88;,9;
2015-04-24;1,7;5,7;28,8;31,7;26,2;22,1;85;75;0;
2015-04-25;1,9;6,3;5,9;32,7;27;23;82;60;1,1;
2015-04-26;2,6;3,6;3,3;31,7;26,3;23,6;83;66;0;
2015-04-27;2,1;1,7;2,8;31,2;25,2;22,6;81,3;62;3,1;
2015-04-28;2,7;5,7;0;31,5;26,2;22,3;82,5;73;,4;
2015-04-29;2,1;4,6;3,8;31,2;25,3;22,6;84,8;74;,7;
2015-04-30;2,6;2,1;41,9;29,1;25,1;21,5;86;78;,9;
2015-05-01;2;0;0;29,3;24,4;22,3;95,8;null;,6;
2015-05-02;,8;3,8;33,4;32,4;25,8;21,9;84,8;null;2,4;
2015-05-03;2,4;7,2;13,6;33,2;26,8;23,1;79,5;null;2,1;
2015-05-04;3,5;5;0;34,3;26,7;23,1;80;null;,8;
2015-05-05;2,7;7;1,2;33,7;26,1;23,3;78,3;null;1,2;
2015-05-06;3,2;4,9;1,8;31,6;25,3;21,9;90,8;null;1,6;
2015-05-07;1,7;6;21,8;33,6;26,8;21,6;78;null;,1;
2015-05-08;3;4,3;,2;33,6;26,6;23,8;85,8;null;2,1;
2015-05-09;2,1;4,9;,3;31,7;26;21,8;84;null;1,5;
2015-05-10;2,5;9,3;4,8;35,4;27,7;22,2;68,5;null;,8;
2015-05-11;3,6;4,4;0;32;27,7;23;79,3;null;,7;
2015-05-12;2,6;3;0;31;25,3;21,5;83,8;null;1,9;
2015-05-13;2,3;5;0;34,2;27,8;22,6;74,8;null;,9;
2015-05-14;3,2;10;0;36,2;28,5;22,7;65,3;null;1,2;
2015-05-15;5;9,3;0;34,8;28,3;23,6;64;null;4,4;
2015-05-16;7;10;0;35;27,8;24,1;62,8;null;1,7;
2015-05-17;7,3;8,6;0;34,4;28,5;25,1;60,3;null;3,3;
2015-05-18;6,7;8;0;36,2;29,2;25;63,5;47;2,5;
2015-05-19;5,5;8,3;0;36,1;28,7;24,7;70,5;null;3,1;
2015-05-20;4,7;8,2;0;34,8;28,1;24;68,5;null;1,7;
2015-05-21;5,1;9,3;0;35,6;28,6;22,9;63,3;null;4,3;
2015-05-22;6;9,9;0;35,2;28,7;24,2;60,3;null;4,7;
2015-05-23;6,9;9,7;0;35;28,5;25,8;59,5;null;4,1;
2015-05-24;5,5;9,4;0;35,4;27,8;22,6;62,5;null;,6;
2015-05-25;5,4;9,3;0;36,2;27,3;20,7;65;null;1,2;
2015-05-26;5,1;8,6;0;36,3;28,4;21,6;61,5;null;1,8;
2015-05-27;5,5;9,6;0;37,1;28,6;21,9;62,8;null;2,3;
2015-05-28;5,4;7,7;0;35,2;27,6;23,7;76,3;null;0;
2015-05-29;3,5;10,2;,7;36,7;28,5;22,3;64,8;null;2,1;
