Nome: RIO BONITO
Codigo Estacao: 83048
Latitude: -22.7125
Longitude: -42.64666666
Altitude: 62
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-05-05
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;40,5;null;23,2;52;null;null;
2015-01-02;null;null;0;41,5;null;25,1;49;null;null;
2015-01-03;null;null;5,3;34,8;null;25;71;null;null;
2015-01-04;null;null;0;36,5;null;23,5;null;null;null;
2015-01-05;null;null;7,7;31,8;null;22,7;83;null;null;
2015-01-06;null;null;8,5;32,4;null;23;84;null;null;
2015-01-07;null;null;0;36,6;null;22,5;63;null;null;
2015-01-08;null;null;0;37,1;null;22,3;58;null;null;
2015-01-09;null;null;0;39,1;null;22,6;59;null;null;
2015-01-10;null;null;0;40,9;null;22,4;55;null;null;
2015-01-11;null;null;0;40,4;null;22,3;54;null;null;
2015-01-12;null;null;0;41,6;null;23,1;42;null;null;
2015-01-13;null;null;0;39,8;null;24,7;64;null;null;
2015-01-14;null;null;0;37,6;null;23,9;61;null;null;
2015-01-15;null;null;0;39,2;null;23,3;58;null;null;
2015-01-16;null;null;0;37,7;null;23,5;64;null;null;
2015-01-17;null;null;0;39,4;null;21,9;51;null;null;
2015-01-18;null;null;0;40,9;null;22,9;44;null;null;
2015-01-19;null;null;0;41,3;null;23;57;null;null;
2015-01-20;null;null;0;41,6;null;23,1;55;null;null;
2015-01-21;null;null;0;40,3;null;23,3;58;null;null;
2015-01-22;null;null;0;37,5;null;24,9;59;null;null;
2015-01-23;null;null;30,3;35;null;22,1;76;null;null;
2015-01-24;null;null;0;33,9;null;22,4;73;null;null;
2015-01-25;null;null;17,4;36,9;null;20,5;70;null;null;
2015-01-26;null;null;0;37,5;null;23,1;65;null;null;
2015-01-27;null;null;0;38;null;23,2;74;null;null;
2015-01-28;null;null;24,9;37,3;null;23,3;86;null;null;
2015-01-29;null;null;,3;39,5;null;23,5;81;null;null;
2015-01-30;null;null;0;37,6;null;25,9;71;null;null;
2015-01-31;null;null;0;33,2;null;25,7;90;null;null;
2015-02-01;null;null;,4;34,8;null;23,9;66;null;null;
2015-02-02;null;null;16,2;30,8;null;23,5;77;null;null;
2015-02-03;null;null;3,2;34,6;null;22,3;76;null;null;
2015-02-04;null;null;0;34,8;null;20,5;66;null;null;
2015-02-05;null;null;44,4;28,8;null;21,9;94;null;null;
2015-02-06;null;null;4,5;29,6;null;22,7;87;null;null;
2015-02-07;null;null;0;32,3;null;22,4;74;null;null;
2015-02-08;null;null;7,5;33,1;null;21,7;80;null;null;
2015-02-09;null;null;10,3;33,4;null;21,7;75;null;null;
2015-02-10;null;null;1,2;35,5;null;22,7;76;null;null;
2015-02-11;null;null;0;36,6;null;23,6;72;null;null;
2015-02-12;null;null;0;38,6;null;23,5;68;null;null;
2015-02-13;null;null;0;38,8;null;23,7;64;null;null;
2015-02-14;null;null;0;35,9;null;26,5;68;null;null;
2015-02-15;null;null;1,4;35,7;null;24,1;78;null;null;
2015-02-16;null;null;,5;30,1;null;22,5;83;null;null;
