Nome: AVELAR (P.DO ALFERES)
Codigo Estacao: 83049
Latitude: -22.34749999
Longitude: -43.41777777
Altitude: 507
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;null;11,4;35,6;26,6;19;70,8;57;1,7;
2015-01-02;5,7;null;0;34,6;26,8;20,5;75;63;1;
2015-01-03;4,9;null;0;31,7;26;21,2;77;69;1,3;
2015-01-04;3,6;null;0;31,5;23,6;20,6;82,5;59;1;
2015-01-05;3,5;null;2,6;29,6;23,2;19,3;82,8;61;1,3;
2015-01-06;3;null;28;30,6;24,6;20;71,3;56;1;
2015-01-07;5,3;null;0;30,7;23,8;18,2;74,3;50;1,7;
2015-01-08;5,1;null;0;35,6;25,5;17,2;69;46;1,3;
2015-01-09;5,8;null;0;34,3;25,3;17,3;65,8;42;1,7;
2015-01-10;6,8;null;0;35,1;25,7;14,8;61;44;1;
2015-01-11;6,5;null;0;35,1;24,8;16,8;73,8;61;1;
2015-01-12;8,8;null;0;35,7;26,9;19;64;34;1,3;
2015-01-13;7,4;null;0;35,1;26,9;18,5;65,8;39;1;
2015-01-14;7,8;null;0;34,5;26,5;20;67,5;50;1;
2015-01-15;6;null;0;33,1;26,9;19;66,5;54;1;
2015-01-16;6,4;null;0;34,1;25,9;20;69,8;49;1,3;
2015-01-17;6;null;0;35,6;26,8;17,2;59;56;1,3;
2015-01-18;6,2;null;0;36,3;27,4;16,8;54,5;33;1;
