Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;7,3;0;null;null;23,4;71,8;51;1,5;
2015-01-02;3,7;10;0;null;null;24;67,3;38;1;
2015-01-03;5,5;10,1;0;null;null;23,7;60,8;36;,9;
2015-01-04;6,1;1,2;2;null;null;21,5;76,3;60;1,7;
2015-01-05;2,8;8,2;0;null;null;21,6;73;59;1;
2015-01-06;4,2;7,8;1,3;null;null;22,6;67,3;46;1,8;
2015-01-07;3,9;3,3;,2;null;null;23,6;78,3;70;0;
2015-01-08;2,8;3,9;0;null;null;24,3;75,5;56;,3;
2015-01-09;3;2,3;0;null;null;24,5;88,8;82;,3;
2015-01-10;1,3;6,9;3,3;null;null;23,2;81,5;74;1,1;
2015-01-11;3,5;3,9;3,8;null;null;24,4;74,5;57;1,5;
2015-01-12;3;1,1;,4;null;null;24,3;87;79;1,6;
2015-01-13;2;7,7;3,2;null;null;23;77,8;52;2,1;
2015-01-14;3,9;7,9;1,1;null;null;23,2;67,3;46;1,5;
2015-01-15;4,3;8,6;0;null;null;22,7;64,3;46;1,4;
2015-01-16;5,3;0;0;null;null;23;77;62;,8;
2015-01-17;3;1,3;0;null;null;23,6;80,5;70;1,3;
2015-01-18;2,3;5,5;0;null;null;23,8;76,3;51;1,3;
2015-01-19;2,9;,9;3,5;null;null;22,8;83,3;77;1;
2015-01-20;2,2;4;0;null;null;22,8;83,5;77;1,4;
2015-01-21;2,9;4,5;,2;null;null;22,3;75,3;60;,7;
2015-01-22;3,8;9,6;0;null;null;22,4;60;33;1,4;
2015-01-23;6,9;7,1;0;null;null;24;69,3;43;,9;
2015-01-24;4,6;3,1;17;null;null;21,6;83,8;65;,9;
2015-01-25;2,4;1,5;2,3;null;null;20,8;89,3;69;1,9;
2015-01-26;1,5;6,8;62,4;null;null;21,6;76,3;57;,9;
2015-01-27;3;5,7;,2;null;null;22,6;82,3;60;,9;
2015-01-28;2,3;10,1;5,8;null;null;22,4;78,5;51;1,2;
2015-01-29;3,9;10,1;19,4;null;null;24,3;69,8;45;,5;
2015-01-30;5,1;10;0;null;null;24;68;46;,9;
2015-01-31;4,6;6,6;0;null;null;20,4;80,3;57;1,8;
2015-02-01;4,5;3,5;20;null;null;20,1;76,5;58;1,8;
2015-02-02;2,9;6,7;0;null;null;22,7;74,8;46;,8;
2015-02-03;3,3;3,7;0;null;null;23,4;78,8;63;,9;
2015-02-04;4,4;2,9;0;null;null;22,9;77,3;62;2,1;
2015-02-05;2,4;7,6;0;null;null;24,3;67,5;48;1,6;
2015-02-06;5,1;0;18,2;null;null;22,1;92,3;71;,7;
2015-02-07;1,5;1,7;39,9;null;null;21,8;87,5;73;1;
