Nome: Santa Rita de Cassia (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;11,8;0;34;27,4;20,3;50,5;null;null;
2015-01-02;7,6;11,8;0;34,6;26,9;16,1;49,5;null;null;
2015-01-03;7,2;11,7;0;35;27;17,9;55;null;null;
2015-01-04;6,8;11,4;0;33,8;26,2;18,9;64;null;null;
2015-01-05;5,6;6,8;0;32;25,2;20,7;80;null;null;
2015-01-06;3,8;11,3;12,1;34;26,9;18,3;50,3;null;null;
2015-01-07;7,5;11,8;0;33,6;27;18,9;52;null;null;
2015-01-08;7,2;11;0;33,4;26,8;19,9;54,5;null;null;
2015-01-09;6,8;11,5;0;34;26,8;18,1;52;null;null;
2015-01-10;6,9;11,8;0;35;27,6;19,9;62,3;null;null;
2015-01-11;8,9;11,5;0;36;28,2;20,1;47;null;null;
2015-01-12;7,6;10,5;0;35;27,8;19,1;45,5;null;null;
2015-01-13;8,8;2,4;0;31,2;25,2;18,1;56,3;null;null;
2015-01-14;6,2;2,2;0;31,8;25;17,3;55,3;null;null;
2015-01-15;5,8;7,7;0;34,6;26,5;17,9;57,8;null;null;
2015-01-16;7;6;0;34,8;28,1;22,2;53,5;null;null;
2015-01-17;7,2;10,4;0;35,6;29;21,5;51,3;null;null;
2015-01-18;7,6;9,9;0;36,6;28,4;20,1;47,3;null;null;
2015-01-19;9;9,4;0;36;29,1;21,3;46;null;null;
2015-01-20;8,1;9,2;,7;36;28,4;21,3;47,5;null;null;
2015-01-21;8,6;7,1;,2;35;25,6;19,3;64,5;null;null;
2015-01-22;6,2;8,8;,4;34,8;24,4;19,1;76,5;null;null;
2015-01-23;5;2,7;30;31,6;23,3;18,3;83,8;52;null;
2015-01-24;2,7;7,9;24,8;32;26;18,5;57,8;null;null;
2015-01-25;5,7;3,9;0;30,1;23,8;19,5;86;null;null;
2015-01-26;2,4;4,9;45,8;29,3;23,3;18,3;87;null;null;
2015-01-27;2,4;11,3;3;33,2;26,5;18,5;60,5;null;null;
2015-01-28;6,4;11,2;0;33,8;26,3;18,1;55,3;null;null;
2015-01-29;5,8;11,3;0;33,4;26;17,9;54,8;null;null;
2015-01-30;5,9;11,6;0;34,6;26,9;16,9;61,8;null;null;
2015-01-31;6,7;9,6;0;33,8;27,7;19,3;61;null;null;
2015-02-01;5,4;8,8;0;33,6;25,2;20,5;74,3;41;null;
2015-02-02;4,4;6,3;1,4;31,8;25;19,3;75;52;null;
2015-02-03;3,8;0;50;25,9;21,9;18,3;94,5;79;null;
2015-02-04;,8;5,2;1,6;29,1;23,4;18,7;82,3;69;null;
2015-02-05;2,6;6;,4;31,6;25,3;19,1;69,3;47;null;
2015-02-06;3,6;0;0;26,9;24,1;20,3;89;73;null;
2015-02-07;6;1,9;3,3;29,1;22,4;18,1;87,5;56;null;
2015-02-08;1,4;5,1;7,5;30,5;24,3;18,1;73,5;55;null;
2015-02-09;1,5;3,3;0;31,1;24;18,5;82;48;null;
2015-02-10;2,5;6,4;19,9;32,2;25,5;18,3;71,5;52;null;
2015-02-11;2,6;11,6;0;33,6;26,4;17,9;60,5;42;null;
2015-02-12;3,2;10,8;0;34,2;26,7;18,5;59,3;37;null;
2015-02-13;3,9;9,2;0;32,2;25,9;18,9;69;42;null;
2015-02-14;2,9;3,2;0;30,7;25,5;20,7;70,8;55;null;
2015-02-15;2,4;10,6;0;34,4;26,2;18,7;56,5;30;null;
2015-02-16;3,7;7,7;0;32,2;25,3;20,3;69,8;44;null;
2015-02-17;2,4;10,9;0;32;26,4;20,1;61,5;45;null;
2015-02-18;null;7,1;0;32,4;26,6;20,1;59,5;45;null;
2015-02-19;null;5,2;4,5;30,7;25,5;19,5;67,8;45;null;
2015-02-20;null;5,2;48,2;29,1;23,8;18,3;76,8;53;null;
2015-02-21;null;11,5;0;32,4;24;18,1;72,5;37;null;
2015-02-22;null;6,7;6,4;30,3;23,1;18,3;86,8;71;null;
2015-02-23;null;7,3;4,6;29,7;23,5;17,3;78;48;null;
2015-02-24;null;5,4;8,4;29;23,4;18,5;76,8;57;null;
2015-02-25;null;11,1;0;32,6;26,2;18,3;63,3;44;null;
2015-02-26;null;9,2;0;32,2;25,9;19,3;63;44;null;
2015-02-27;null;2,8;0;31,1;25,9;20,5;69,5;54;null;
2015-02-28;null;11;0;34,2;26;18,7;55,5;36;null;
2015-03-01;null;8,6;0;30,7;25,1;19,7;61,8;39;null;
2015-03-02;null;9,9;,1;31,8;25,9;19,3;61,8;42;null;
2015-03-03;null;10,7;0;32,4;25,8;18,9;59,8;38;null;
2015-03-04;null;10,2;0;33,4;26,6;20,1;57,8;35;null;
2015-03-05;null;9,4;0;32,8;25,3;18;57,3;35;null;
2015-03-06;null;10,4;0;34,2;26,1;18,5;60,8;37;null;
2015-03-07;null;3,4;0;29,4;25,4;20,3;75;57;null;
