Nome: MARICA
Codigo Estacao: 83089
Latitude: -22.920653
Longitude: -42.83
Altitude: 4.18
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;11,7;7,4;35,3;30,2;24,2;78,5;65;null;
2015-01-02;7,6;8,3;0;35,1;29,8;26;81;59;null;
2015-01-03;4,4;9,5;0;31,9;28,6;25,4;90;77;null;
2015-01-04;3;7,4;0;31,9;27,9;24,1;83,8;81;null;
2015-01-05;1,2;1,8;0;30,7;26,7;23,8;80,5;68;null;
2015-01-06;1;5;4,8;32,3;26,6;22;69,5;63;null;
2015-01-07;1,4;11,6;0;34,9;28,6;22,4;59,8;44;null;
2015-01-08;1,6;11,7;0;36,7;30,1;23,1;49;31;null;
2015-01-09;3,2;11,8;0;37,3;30;23,4;50,3;36;null;
2015-01-10;2,2;11,8;0;38,3;30,7;23;49,5;34;null;
2015-01-11;null;null;null;null;null;null;null;64;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;3,2;10,4;0;33,3;28,7;23,9;73,5;63;null;
2015-01-22;4;7;0;32,1;27,6;24,2;80,3;74;null;
2015-01-23;3,2;7,4;4,7;31,7;27,6;22,8;76;65;null;
2015-01-24;4,8;3,3;0;31,3;26,5;22,8;81;68;null;
2015-01-25;4,8;9,9;0;34,7;29,2;21,8;51,5;41;null;
2015-01-26;8,2;7,3;0;32,9;28,2;23,6;71,3;60;null;
2015-01-27;6;8,6;0;35,1;27,8;23,2;74,3;54;null;
2015-01-28;5,4;6,9;0;36,3;28,2;23,4;70,3;47;null;
2015-01-29;5,6;11,7;0;37,3;31,2;23,8;52;47;null;
2015-01-30;8;9;0;34,3;30,1;26,4;67,5;46;null;
2015-01-31;5;0;32,4;31,3;26,8;23,2;83,8;73;null;
2015-02-01;null;null;null;null;null;null;null;85;null;
2015-02-02;null;null;null;null;null;null;null;null;null;
2015-02-03;null;null;null;null;null;null;null;null;null;
2015-02-04;null;null;null;null;null;null;null;null;null;
2015-02-05;null;null;null;null;null;null;null;null;null;
2015-02-06;null;null;null;null;null;null;null;null;null;
2015-02-07;null;null;null;null;null;null;null;null;null;
2015-02-08;null;null;null;null;null;null;null;null;null;
2015-02-09;null;null;null;null;null;null;null;null;null;
2015-02-10;null;null;null;null;null;null;null;null;null;
2015-02-11;null;null;null;null;null;null;null;null;null;
2015-02-12;null;null;null;null;null;null;null;null;null;
2015-02-13;null;null;null;null;null;null;null;null;null;
2015-02-14;null;null;null;null;null;null;null;null;null;
2015-02-15;null;null;null;null;null;null;null;null;null;
2015-02-16;null;null;null;null;null;null;null;null;null;
2015-02-17;null;null;null;null;null;null;null;null;null;
2015-02-18;null;null;null;null;null;null;null;null;null;
2015-02-19;null;null;null;null;null;null;null;null;null;
2015-02-20;null;null;null;null;null;null;null;null;null;
2015-02-21;null;null;null;null;null;null;null;null;null;
2015-02-22;null;null;null;null;null;null;null;null;null;
2015-02-23;null;null;null;null;null;null;null;null;null;
2015-02-24;null;null;null;null;null;null;null;null;null;
2015-02-25;null;null;null;null;null;null;null;null;null;
2015-02-26;null;null;null;null;null;null;null;null;null;
2015-02-27;null;null;null;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;null;null;null;
2015-03-01;3,8;3,3;0;29,3;26;21,8;71,5;56;null;
2015-03-02;8,8;10,4;0;31,1;25,1;20,2;73,5;66;null;
2015-03-03;4,5;9,2;0;32,3;26,9;20,8;68,8;63;null;
2015-03-04;6,4;8;0;31,7;26,9;22,1;71,5;65;null;
2015-03-05;4,8;11;0;32,3;27,4;21,8;67,3;58;null;
2015-03-06;7;11,1;0;34,7;28,5;22,4;64;40;null;
2015-03-07;6,8;,5;0;29,3;25,1;23,2;90,3;76;null;
2015-03-08;1,8;6,6;21,8;28,9;25,9;22,8;82,8;85;null;
2015-03-09;1,8;2,3;7,2;31,9;27,4;23,8;79,8;80;null;
