Nome: MONTE SANTO
Codigo Estacao: 83090
Latitude: -10.44249999
Longitude: -39.33083332
Altitude: 465.84
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2020-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,1;10,3;0;null;null;21,9;61,5;null;null;
2015-01-02;5,8;8,5;0;null;null;22,3;59,3;null;null;
2015-01-03;4,7;7,3;0;null;null;22,1;68;null;null;
2015-01-04;4,7;8,7;0;null;null;21,7;57,5;null;null;
2015-01-05;3,7;8,8;0;null;null;20,2;59,8;44;null;
2015-01-06;4,9;7,3;0;null;null;21;58;null;null;
2015-01-07;4,9;9,2;0;null;null;21,9;62,3;null;null;
2015-01-08;4,2;2,2;1,6;null;null;21,2;81,8;null;null;
2015-01-09;1,8;9,6;5;null;null;20,4;59,3;null;null;
2015-01-10;4,1;10,1;0;null;null;20,6;59,5;null;null;
2015-01-11;4,6;7,6;,1;null;null;22;63,8;null;null;
2015-01-12;5,3;9;0;null;null;22;58;null;null;
2015-01-13;5,1;8,6;0;null;null;21,2;52;null;null;
2015-01-14;4,1;9,9;0;null;null;20,6;52,5;null;null;
2015-01-15;6;10;0;null;null;21;53,5;null;null;
2015-01-16;5;8;0;null;null;21;50;null;null;
2015-01-17;4,8;10,1;0;null;null;20,7;58,3;null;null;
2015-01-18;4,2;9,6;0;null;null;21,7;57;null;null;
2015-01-19;5,7;7,6;0;null;null;22,1;63,3;null;null;
2015-01-20;5,1;9;0;null;null;21,5;64,3;null;null;
2015-01-21;4,2;6;0;null;null;21,5;52,3;null;0;
2015-01-22;4,8;7,8;0;null;null;21,4;55,3;null;null;
2015-01-23;7,2;7,9;0;null;null;22,6;53,8;null;null;
2015-01-24;6,8;8,3;0;null;null;22;63;null;0;
2015-01-25;4;4,1;0;null;null;21,3;77;null;null;
2015-01-26;3,8;8,3;13,7;null;null;21,6;55;null;null;
2015-01-27;3,5;7,1;0;null;null;20,7;64;null;null;
2015-01-28;4,5;null;0;null;null;20,8;59,3;null;null;
2015-01-29;6,2;9,4;0;null;null;23,4;52,3;null;null;
2015-01-30;2;5,8;1,3;null;null;22,1;59,5;null;null;
2015-01-31;4,7;5,6;0;null;null;19,7;57;null;null;
2015-02-01;5,5;7,9;0;null;null;18,5;55;37;null;
2015-02-02;5,4;8,9;0;null;null;21;58,5;32;null;
2015-02-03;4,3;6,1;0;null;null;21,9;59;40;null;
2015-02-04;4,9;7,7;0;null;null;19,7;76,8;56;null;
2015-02-05;3,1;3,7;1,2;null;null;22,2;68;62;null;
2015-02-06;3;8;9,4;null;null;22,2;49;42;null;
2015-02-07;4;9,7;0;null;null;23;51,5;41;null;
2015-02-08;5;5;0;null;null;22,2;50;44;null;
2015-02-09;6;9,3;0;null;null;21,9;55,8;33;null;
2015-02-10;4,3;null;0;null;null;21,6;57;34;null;
2015-02-11;4,7;9,7;0;null;null;21,7;58,3;40;null;
2015-02-12;6,3;7,4;0;null;null;19,3;50,3;29;null;
2015-02-13;6,4;9,6;0;null;null;22,5;50,5;31;null;
2015-02-14;6,5;6,5;0;null;null;21,7;53,5;38;null;
2015-02-15;,7;7,7;0;null;null;22,3;67,5;39;null;
2015-02-16;5,2;8,9;41;null;null;22,1;61,5;33;null;
2015-02-17;4,7;9,2;0;null;null;22,7;59,3;33;null;
2015-02-18;5,9;3,8;0;null;null;20,5;76;64;null;
2015-02-19;2;5,1;16,3;null;null;22;79,5;64;null;
2015-02-20;2,1;8;11;null;null;18,6;77,8;47;null;
2015-02-21;2,9;3,8;31,2;null;null;18,5;80;50;null;
2015-02-22;1,2;,5;4,2;null;null;20,8;93,5;88;null;
2015-02-23;,9;,5;40,7;null;null;20,2;93,5;81;null;
2015-02-24;,8;3,9;17,7;null;null;21,1;88,3;78;null;
2015-02-25;1,2;4,5;4,1;null;null;22;70,3;52;null;
2015-02-26;2;null;0;null;null;21,5;72,8;66;null;
2015-02-27;2,8;9,5;0;null;null;22;58,5;39;null;
2015-02-28;3,7;9,9;0;null;null;22,7;49,5;31;null;
2015-03-01;3,8;6,1;0;null;null;21,3;60,5;null;null;
2015-03-02;2,3;9,6;1,1;null;null;23;62;null;null;
2015-03-03;2,8;9,9;0;null;null;22,1;58;null;0;
2015-03-04;6,9;9,6;0;null;null;21;56,5;null;null;
2015-03-05;4,1;9,8;0;null;null;21,6;66;null;null;
2015-03-06;3,7;8,8;0;null;null;23;65,5;null;null;
2015-03-07;4,8;7,4;0;null;null;21,3;61;null;null;
2015-03-08;3,5;10;0;null;null;21,5;55;null;null;
2015-03-09;4,5;null;0;null;null;21,7;57,5;null;null;
2015-03-10;4,8;null;0;null;null;20,1;55;35;null;
2015-03-11;2,3;9,5;0;null;null;22,4;57,8;null;null;
2015-03-12;5,1;9,7;0;null;null;22,2;55,3;null;null;
2015-03-13;4,6;9,6;0;null;null;22,3;70;null;null;
2015-03-14;4,9;6;0;null;null;21,5;59;null;null;
2015-03-15;3,7;9,6;0;null;null;21,5;58,8;null;null;
2015-03-16;1,6;7,5;0;null;null;20,7;62;null;null;
2015-03-17;4,4;8,8;0;null;null;19,7;52;null;null;
2015-03-18;4,9;5,1;0;null;null;22,5;56,8;null;null;
