Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;9,5;0;30,2;27,3;24;74,3;70;2,6;
2015-01-02;null;5,8;0;30,1;27,4;24;73,3;70;2,8;
2015-01-03;null;11,5;0;30,6;27,6;24,1;71,8;69;3,1;
2015-01-04;null;11,3;0;30,7;27,5;24;72,5;69;3,1;
2015-01-05;null;11;0;31,6;28;24,3;72,5;67;3;
2015-01-06;null;11,5;0;31,8;28,1;24,9;73,3;68;2,8;
2015-01-07;null;6,9;,6;31,5;28,1;24,2;72,3;68;2,5;
2015-01-08;null;11,1;5,6;31,4;27,6;24,1;73,3;67;3;
2015-01-09;null;11,7;1,4;32;28;24,4;68,3;63;1,9;
2015-01-10;null;11,6;0;31,6;28;24,5;70,5;65;3,1;
2015-01-11;null;9,3;0;32;28,4;24,5;69,5;62;2,5;
2015-01-12;null;10,7;0;31,8;28,2;24,8;70,3;64;2,8;
2015-01-13;null;11,5;0;31,4;28,1;25;69,5;62;2,8;
2015-01-14;null;9,6;0;31,3;28;25;68,5;60;3;
2015-01-15;null;11,1;0;31,5;28,1;25,1;67,8;60;3;
2015-01-16;null;11,1;0;31,2;28;25,2;66,5;60;3;
2015-01-17;null;11,4;0;31,2;28,1;25,3;68,3;61;3;
2015-01-18;null;10,1;0;31,3;28;25,1;68;61;3;
2015-01-19;null;11;0;31,5;28;24,7;68,5;63;2,5;
2015-01-20;null;11,7;0;31,1;27,6;24;70,5;64;1,9;
2015-01-21;null;9;0;31,6;27,6;23,8;70,3;68;2,2;
2015-01-22;null;4,7;0;31;27,4;24;73,5;66;2,2;
2015-01-23;null;7,7;0;31,6;27,7;24,1;72,5;66;2,5;
2015-01-24;null;6,5;0;30;27;24;76,3;67;2,5;
2015-01-25;null;8,8;15,4;30,8;27,9;24,1;68;68;3,2;
2015-01-26;null;10,6;0;31;27,6;24,5;73;66;2,8;
