Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21388888
Longitude: -36.84222221
Altitude: 18.46
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;5,9;0;32,2;27,1;23;77,3;null;2,5;
2015-01-02;null;10,6;0;33,6;27,7;22,8;70,5;42;3;
2015-01-03;null;9,7;0;34;27,1;22,4;66;null;2,4;
2015-01-04;null;10;0;34,4;27;20,6;67,3;null;2,7;
2015-01-05;null;6,9;0;34,2;27,4;22,5;68,8;null;2,9;
2015-01-06;null;10,6;0;34,4;28,2;22,8;67,3;null;2,9;
2015-01-07;null;9,5;1,4;33,8;27,5;23;69,3;null;3,2;
2015-01-08;null;10,3;0;34;28;23,2;63,5;null;3,7;
2015-01-09;null;10,4;0;33,6;27,4;21;65;null;3,1;
2015-01-10;null;8,6;0;33,6;27,3;21,6;73;null;3;
2015-01-11;null;8,8;,4;33,4;27,8;23,6;73,8;null;4;
2015-01-12;null;10,2;,2;34;27,9;22,8;64,3;null;3,5;
2015-01-13;null;9,8;,2;33,7;27,5;22,8;66,3;null;3,4;
2015-01-14;null;10,3;0;33,6;27,1;21,2;63,5;null;2,9;
2015-01-15;null;9,8;0;34;27,3;21;66;null;3,5;
2015-01-16;null;10,4;0;34,6;27,8;21,8;66,5;null;3;
2015-01-17;null;9,8;0;34;27,8;22;68,5;null;3,2;
2015-01-18;null;10,3;0;34,6;27,7;21,6;63,3;null;3,2;
2015-01-19;null;10,5;0;33,8;27,7;21,2;62,3;null;2,6;
2015-01-20;null;9,9;0;34,2;27,4;21,8;64;null;2,6;
2015-01-21;null;7;0;34,2;27,8;22,6;70,3;null;2,4;
2015-01-22;null;5,1;0;33,4;28;24;64,8;null;3,7;
2015-01-23;null;5,1;0;32,8;27,6;21,4;66;null;3,8;
2015-01-24;null;8,5;0;34,2;27,9;23,6;69,3;null;4,6;
2015-01-25;null;9;0;35,2;28,3;23,8;68,5;null;3;
2015-01-26;null;10,4;0;35,2;28,3;22,2;37,3;null;3,1;
2015-01-27;null;10,4;0;34,4;27,7;21,2;64,8;null;2,7;
2015-01-28;null;7,9;0;33,6;27;21;64,3;null;2,5;
2015-01-29;null;4,1;4,4;32,2;26,3;21,6;82,5;null;1,7;
2015-01-30;null;6,4;,2;33,7;28,3;24;69,5;null;3,5;
2015-01-31;null;9;0;34,3;28;22,2;66,3;null;2,7;
2015-02-01;null;5;0;32,4;26,9;22,4;72,5;null;3;
2015-02-02;null;9,9;7,8;34,6;27,9;21,2;66,3;null;2,8;
2015-02-03;null;8,2;0;34,6;27,8;22,3;63,8;null;2,8;
2015-02-04;null;6,1;0;35,1;28,5;23,8;69,5;null;3,4;
2015-02-05;null;7,5;4,3;33,8;28,1;24,2;69,8;null;3,5;
2015-02-06;null;8,9;0;35,6;28,7;24;68,3;null;4,6;
2015-02-07;null;2,6;0;34,4;28,4;23,8;66,3;47;3,5;
2015-02-08;null;8,9;0;34,4;28,3;22,4;65,3;null;2,2;
2015-02-09;null;10;0;34,2;28,3;22;64,3;null;1,8;
2015-02-10;null;10,7;0;34,8;28,2;22,6;61;null;2,5;
2015-02-11;null;10,1;0;37,1;28,8;22,8;67,3;null;2,6;
2015-02-12;null;10,3;0;35,4;28,9;23,1;64,8;null;2,2;
2015-02-13;null;10,7;0;34,6;28,5;23,2;60;null;3,2;
2015-02-14;null;7,3;0;34,6;28,2;22,2;66,5;null;2,6;
2015-02-15;null;2,1;0;34,6;28,4;23,8;74,5;null;3,1;
2015-02-16;null;9,8;0;35,2;28,7;22,4;67,8;null;3,5;
2015-02-17;null;10,3;1,2;34,6;28,7;23,6;68,5;null;4,2;
2015-02-18;null;2,6;2,2;30,2;26,8;24,2;73,5;null;1,5;
2015-02-19;null;,8;,2;31,8;27,2;24;69,5;null;2,2;
2015-02-20;null;2,8;4,1;30,2;25,7;22,4;85,5;null;1,3;
2015-02-21;null;,4;,4;31,6;26,8;23;82,5;null;1,8;
2015-02-22;null;2,5;9,2;30,2;26;23,6;91,8;null;2,3;
2015-02-23;null;1,7;11,4;29,2;26,1;23,4;87;null;2,7;
2015-02-24;null;2,6;4,8;32,4;26,8;23;77,5;null;2,3;
2015-02-25;null;9,9;0;34,1;28;23,4;70;null;3,1;
2015-02-26;null;10,3;0;34,6;27,8;23,4;70;null;2,7;
2015-02-27;null;10;0;35,4;28,7;23,2;67,5;null;2,4;
2015-02-28;null;10,3;0;35,4;29;24;64,3;null;2,9;
2015-03-01;null;8,9;0;36,2;29,4;24,2;68,5;null;3,4;
2015-03-02;null;9,1;0;34,6;28,6;23,6;66,5;null;2,7;
2015-03-03;null;8,2;0;34,2;27,8;23;66;null;2,6;
2015-03-04;null;8,2;0;34,2;28,2;22,6;69;null;2,6;
2015-03-05;null;7,2;0;34,2;28,4;24,2;72;null;2,6;
2015-03-06;null;6,3;31,6;32,2;26,8;22,8;75,8;null;null;
2015-03-07;null;7;,4;33,6;27,7;22,2;72,3;null;null;
2015-03-08;null;7,3;0;33;27,6;22,2;74,8;null;null;
2015-03-09;null;2,8;4,7;31,4;26,9;23,4;86,3;null;null;
2015-03-10;null;8,2;,8;34;27,8;23;74,3;null;null;
2015-03-11;null;10;0;33,8;27,9;24;68,3;null;null;
2015-03-12;null;9,9;0;34,2;27,6;22;69,3;null;null;
2015-03-13;null;9,6;0;33,8;27,9;23,3;70,3;null;null;
2015-03-14;null;9,8;0;33,6;27,5;22;68,8;null;null;
2015-03-15;null;9,2;0;34,6;28,6;23,8;64,3;null;null;
2015-03-16;null;5,6;0;33,6;28,4;23,2;71,5;null;null;
2015-03-17;null;8;0;34,2;28,5;24,2;68,5;null;null;
2015-03-18;null;9,6;0;34,3;28,2;23,2;66,8;null;null;
2015-03-19;null;8,6;0;34,1;28,1;23,6;66,8;null;null;
2015-03-20;null;5,2;0;33,4;28,2;23,4;72;null;null;
2015-03-21;null;9,7;0;35,2;28,7;23,8;70,8;null;null;
2015-03-22;null;1,2;0;32,8;27,9;24,6;75,3;null;null;
2015-03-23;null;9,3;0;35,6;28,4;22,2;66,8;null;null;
2015-03-24;null;8,9;0;35,4;28,9;23,8;71;null;null;
2015-03-25;null;8,7;2,4;34,2;28,3;24;69,8;null;null;
2015-03-26;null;6,4;0;34,5;28,2;23,4;65,8;null;null;
2015-03-27;null;9,9;0;34,8;28,8;23,2;63,8;null;null;
2015-03-28;null;9,9;0;34,6;28,2;22;64,8;40;null;
2015-03-29;null;8,5;0;35,6;29,1;22,8;68,8;null;null;
2015-03-30;null;8;,6;34;28,2;24,8;71,3;null;null;
2015-03-31;null;10;0;33,6;27,4;22;68,5;null;null;
2015-04-01;null;9,3;0;35,3;27,8;21;66,5;null;null;
2015-04-02;null;9,4;0;34,4;27,9;22,6;68,8;null;null;
2015-04-03;null;9,8;0;34;27,9;21,4;68,5;null;null;
2015-04-04;null;8,2;0;35,2;28,3;22,6;69,3;null;null;
2015-04-05;null;9,6;0;36;28,6;22;70,5;null;null;
2015-04-06;null;9,9;0;36,6;29,2;23,6;71;null;null;
2015-04-07;null;9;0;33,6;29,8;24;61,3;null;null;
2015-04-08;null;9,2;0;36,9;29,8;25;68;null;null;
2015-04-09;null;9;0;35,2;29;24,2;70;null;null;
2015-04-10;null;9,5;0;35;28,8;23,8;69;null;null;
2015-04-11;null;3,4;5,1;31,6;26,4;24,2;89,3;null;null;
2015-04-12;null;3,1;19,5;31,6;26,7;23;87,3;null;null;
2015-04-13;null;5,8;0;32,3;27,5;23,6;81,8;null;null;
2015-04-14;null;4,9;2,1;33,6;27,2;23,4;77;null;null;
2015-04-15;null;9,9;0;33,7;27,7;22,4;71,8;null;null;
2015-04-16;null;9,6;0;33,5;27,9;23,4;69,3;null;null;
2015-04-17;null;9,6;0;34,6;28,6;23,6;70,8;null;null;
