Nome: IGUABA GRANDE
Codigo Estacao: 83114
Latitude: -22.84694444
Longitude: -42.18555555
Altitude: 5.6
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2024-04-10
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;8,6;12,5;0;37,8;29,8;24,5;63;46;null;
2015-01-02;9,6;12,4;0;34,2;30,6;23,8;61;52;null;
2015-01-03;7,2;12;0;32,2;28;23,8;80,8;66;null;
2015-01-04;4,8;8;0;34,2;28;25;69,5;56;null;
2015-01-05;6;2;0;32;26,8;23,8;81;69;null;
2015-01-06;4,5;8;0;32,2;26,8;24,4;74;57;null;
2015-01-07;9;12,4;0;34,2;27,8;24;61,8;42;null;
2015-01-08;null;12,6;0;34;27,6;24,4;64,8;48;null;
2015-01-09;13,9;12,5;0;35,4;28,7;23,8;59,3;44;null;
2015-01-10;14,3;12,6;0;36;28,5;24,4;61,5;44;null;
2015-01-11;13;12,6;0;36,2;28,7;22,8;70,5;49;null;
2015-01-12;9;11;0;35,5;28,7;23,4;59;41;null;
2015-01-13;9;12,3;0;36;28,9;24,5;61,8;52;null;
2015-01-14;10,5;10,7;0;35;28,1;24,3;59,5;42;null;
2015-01-15;9,9;11;0;37;28,9;23,6;58,8;42;null;
2015-01-16;10,4;10,8;0;34,5;28,1;23,8;63;40;null;
2015-01-17;11,8;12,4;0;36,5;28,9;24;60;37;null;
2015-01-18;12,5;12,4;0;36,2;28,7;24;61,3;41;null;
2015-01-19;10,7;12,3;0;35,8;28,8;23,3;54,8;41;null;
2015-01-20;13,2;12;0;36,8;29,1;23,9;55,8;34;null;
2015-01-21;1,2;12,3;0;34,5;28,6;23;64,5;48;null;
2015-01-22;7,5;8,8;0;32,5;27,7;25,2;77,5;69;null;
2015-01-23;5,2;10;0;34,2;27,8;23,2;65;44;null;
2015-01-24;7,9;6,8;0;33,4;27,2;23,8;70,8;48;null;
2015-01-25;7;7,5;0;36,2;28,5;23,7;62,3;41;null;
2015-01-26;10,5;8,5;0;35,5;28,3;24,2;67,5;50;null;
2015-01-27;8,1;8,9;0;36,5;28,4;24,2;72;59;null;
2015-01-28;8;10,9;0;35,5;28,3;24,2;64,5;44;null;
2015-01-29;10,8;11,7;0;38,2;29,9;25,1;62,5;51;null;
2015-01-30;8,9;6,6;0;33,6;28,1;24,2;76,8;62;null;
2015-01-31;5;5,1;0;32;27,3;25,3;79;70;null;
2015-02-01;4,6;10,7;1,8;34,5;28,7;24,2;67;45;null;
2015-02-02;8,4;1,6;0;32,8;27,3;24,5;76,3;59;null;
2015-02-03;4,6;8;2,3;34,5;27,5;22,6;75;60;null;
2015-02-04;6,6;8,4;0;32,2;25,6;21,5;74,3;58;null;
2015-02-05;7,1;0;4,7;28,4;25,5;22,4;82,5;77;null;
2015-02-06;4,8;1,2;1,4;29,5;26,5;22,8;72,3;71;null;
2015-02-07;3,5;4,9;,8;30,6;25,2;23,2;86,3;70;null;
2015-02-08;2,9;4,5;1;32,4;25,8;22,8;80,5;62;null;
2015-02-09;3,4;8,4;2,8;33,2;27;22,1;82,5;72;null;
2015-02-10;5,3;12,1;4,4;35,5;28,3;24,6;66;52;null;
2015-02-11;11;11,9;0;35,5;27,8;24,5;72,5;51;null;
2015-02-12;11,3;12,2;0;37,5;29,3;25;69,5;54;null;
2015-02-13;9,5;12,2;0;37,2;29,4;24,2;70,3;55;null;
2015-02-14;8,2;9,7;0;34,2;28,3;24,4;74,8;62;null;
2015-02-15;6,6;11,7;0;37,2;28,5;23,5;67,3;46;null;
2015-02-16;9;,6;0;30,5;26,5;22,8;76,5;72;null;
2015-02-17;4;8,8;0;37;28,6;24,4;64,8;45;null;
