Nome: BARRA
Codigo Estacao: 83179
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;11;0;35,9;28,1;19,7;null;49;null;
2015-01-02;null;10,4;0;36,4;28,5;19,2;null;44;null;
2015-01-03;null;10,7;0;36,6;29,5;21,1;null;44;null;
2015-01-04;null;10,3;0;34,9;29,9;23,3;null;47;null;
2015-01-05;null;10,9;0;34,7;28,6;23,7;null;42;null;
2015-01-06;null;10,6;0;36;28;20,7;null;49;null;
2015-01-07;null;9,6;0;35,2;28,9;21,5;null;53;null;
2015-01-08;null;9,4;0;35;null;28,1;null;52;null;
2015-01-09;null;10,9;0;35,4;29,1;23,2;null;46;null;
2015-01-10;null;9,6;0;36,5;28,7;22,9;null;49;null;
2015-01-11;null;10,1;2,4;37;30,4;23,3;null;52;null;
2015-01-12;null;9,8;0;35,4;29,3;24,2;null;40;null;
2015-01-13;null;,8;0;32,2;27,1;23;null;41;null;
2015-01-14;null;5,9;0;34,4;27,5;19,5;null;50;null;
2015-01-15;null;9,4;0;36;null;27,6;null;42;null;
2015-01-16;null;7,5;0;36,2;29,1;23,9;null;48;null;
2015-01-17;null;9,7;1;35,9;29,5;21,1;null;50;null;
2015-01-18;null;7,4;0;35,8;29,6;22,6;null;40;null;
2015-01-19;null;8,3;0;36,7;30,1;24,4;null;44;null;
2015-01-20;null;10,4;0;37,5;29,2;24,2;null;35;null;
2015-01-21;null;8,5;2,5;35,8;28,8;21,6;null;30;null;
2015-01-22;null;7;0;33,8;26,5;23,4;null;50;null;
2015-01-23;null;2,8;1,8;34,2;26,6;21,8;null;76;null;
2015-01-24;null;7,5;0;35,2;29,3;22,6;null;45;null;
2015-01-25;null;5,2;0;34;28,3;23,4;null;39;null;
2015-01-26;null;2,9;3,4;31,3;24,8;21,1;null;80;null;
2015-01-27;null;10;0;36,9;28,4;20,2;null;64;null;
2015-01-28;null;9,8;0;38,2;28,9;19,9;null;33;null;
2015-01-29;null;11,2;0;38,3;29,8;21,6;null;36;null;
2015-01-30;null;11;0;38,5;29,5;20,5;null;34;null;
2015-01-31;null;7,5;0;37,3;30,3;22,6;null;47;null;
2015-02-01;null;9,3;0;37;29,4;23,9;null;42;null;
2015-02-02;null;7,6;3,9;36,2;29,6;24,3;null;51;null;
2015-02-03;null;,3;2,6;31,1;25,3;22,5;null;54;null;
2015-02-04;null;1,8;,9;31,6;24,2;21,7;null;77;null;
2015-02-05;null;6,7;4,9;32,4;25,4;21,1;null;74;null;
2015-02-06;null;1,7;2;30,4;25,4;22,1;null;80;null;
2015-02-07;null;3,4;,5;32,9;25,5;21,7;null;66;null;
2015-02-08;null;,7;15,8;29,7;25,1;20,3;null;77;null;
2015-02-09;null;7;0;34,3;27,6;22,1;null;74;null;
2015-02-10;null;11;0;35,8;27,8;21,2;null;58;null;
2015-02-11;null;10,6;0;36,4;28,6;20,8;null;52;null;
2015-02-12;null;10,2;0;36,4;28,9;22,1;null;48;null;
2015-02-13;null;9,1;0;35,6;28,7;22,3;null;49;null;
2015-02-14;null;2,2;0;33,1;28,1;23,3;null;51;null;
2015-02-15;null;9,1;0;36;29;21,5;null;50;null;
2015-02-16;null;9,7;0;36,7;29,1;23,6;null;51;null;
2015-02-17;null;9,2;0;35,4;29,5;24,3;null;48;null;
2015-02-18;null;4,7;0;33,9;28,8;24,6;null;44;null;
2015-02-19;null;3,7;0;33,9;27,7;24,7;null;59;null;
2015-02-20;null;3,1;0;30,8;26,2;21,2;null;61;null;
2015-02-21;null;10,6;0;35;26,9;21,4;null;58;null;
2015-02-22;null;4,4;1,3;30,9;24,8;20,4;null;54;null;
2015-02-23;null;,6;2,1;29,8;24,1;21;null;80;null;
2015-02-24;null;,8;20,7;28,8;23,5;19,7;null;89;null;
2015-02-25;null;10,5;1,7;33,6;27,1;20,2;null;65;null;
2015-02-26;null;9,7;0;34,8;28,2;21,3;null;61;null;
2015-02-27;null;5,3;0;34,6;26,7;22,6;null;52;null;
2015-02-28;null;6,6;9,4;35;26,8;22,5;null;75;null;
2015-03-01;null;null;null;null;null;null;null;74;null;
2015-03-02;null;null;null;null;null;null;null;null;null;
2015-03-03;null;null;null;null;null;null;null;null;null;
2015-03-04;null;null;null;null;null;null;null;null;null;
2015-03-05;null;null;null;null;null;null;null;null;null;
2015-03-06;null;null;null;null;null;null;null;null;null;
2015-03-07;null;null;null;null;null;null;null;null;null;
2015-03-08;null;null;null;null;null;null;null;null;null;
2015-03-09;null;null;null;null;null;null;null;null;null;
2015-03-10;null;null;null;null;null;null;null;null;null;
2015-03-11;null;null;null;null;null;null;null;null;null;
2015-03-12;null;null;null;null;null;null;null;null;null;
2015-03-13;null;null;null;null;null;null;null;null;null;
2015-03-14;null;null;null;null;null;null;null;null;null;
2015-03-15;null;null;null;null;null;null;null;null;null;
2015-03-16;null;null;null;null;null;null;null;null;null;
2015-03-17;null;null;null;null;null;null;null;null;null;
2015-03-18;null;null;null;null;null;null;null;null;null;
2015-03-19;null;null;null;null;null;null;null;null;null;
2015-03-20;null;null;null;null;null;null;null;null;null;
2015-03-21;null;null;null;null;null;null;null;null;null;
2015-03-22;null;null;null;null;null;null;null;null;null;
2015-03-23;null;null;null;null;null;null;null;null;null;
2015-03-24;null;null;null;null;null;null;null;null;null;
2015-03-25;null;null;null;null;null;null;null;null;null;
2015-03-26;null;null;null;null;null;null;null;null;null;
2015-03-27;null;null;null;null;null;null;null;null;null;
2015-03-28;null;null;null;null;null;null;null;null;null;
2015-03-29;null;null;null;null;null;null;null;null;null;
2015-03-30;null;null;null;null;null;null;null;null;null;
2015-03-31;null;9;0;35,4;28,7;19,2;null;56;null;
2015-04-01;null;10,5;0;36,1;28,9;22,7;null;null;null;
2015-04-02;null;10,6;0;36,5;28,5;21,2;null;null;null;
2015-04-03;null;1,3;0;36,2;29,4;23,2;null;null;null;
2015-04-04;null;10,3;0;36;29,5;22,6;null;null;null;
2015-04-05;null;5,7;0;33,8;27,8;23,6;null;null;null;
2015-04-06;null;7,5;1,5;33,4;27,2;23,6;null;null;null;
2015-04-07;null;5,6;4,6;32,4;26,5;22,8;null;null;null;
2015-04-08;null;4,6;3,2;31,4;25,5;22,3;null;null;null;
2015-04-09;null;9,6;2,8;33,1;27,3;22,4;null;null;null;
2015-04-10;null;10,9;0;35;27,7;20,7;null;null;null;
2015-04-11;null;3,3;0;33;26,9;23,4;null;null;null;
2015-04-12;null;9,8;0;34,2;28,5;21,3;null;null;null;
2015-04-13;null;10,2;0;36;28,6;21;null;null;null;
2015-04-14;null;10,5;0;35,4;28,9;23,4;null;null;null;
2015-04-15;null;8,6;0;35,3;28,6;23,7;null;null;null;
2015-04-16;null;7,9;0;35,1;29;23,8;null;null;null;
2015-04-17;null;10,6;0;36,6;29;22,1;null;null;null;
2015-04-18;null;10,9;0;37,1;29,6;23;null;null;null;
2015-04-19;null;10,7;0;36,9;29,6;21,6;null;null;null;
2015-04-20;null;10;0;35,5;29,7;24,6;null;null;null;
2015-04-21;null;9,7;0;35,1;28,4;24,4;null;57;null;
2015-04-22;null;9,4;0;35,8;28,1;23,7;null;null;null;
2015-04-23;null;10,7;4,6;35,3;28,7;23,3;null;null;null;
2015-04-24;null;8,9;1,1;35,3;27,3;23,1;null;null;null;
2015-04-25;null;9,9;3,4;34,8;28,4;22,8;null;null;null;
2015-04-26;null;2,6;27,2;30,3;26,3;22,9;null;null;null;
2015-04-27;null;7,2;27,2;31,7;24,8;21,7;null;null;null;
2015-04-28;null;7,4;3;31,7;25,9;22,2;null;null;null;
2015-04-29;null;6,7;0;33;26,5;22,9;null;null;null;
2015-04-30;null;3,3;0;30,9;25,8;22,5;null;null;null;
2015-05-01;null;2,1;,9;29,7;24;21,7;null;null;null;
2015-05-02;null;2,3;13;30;24,4;21,2;null;null;null;
2015-05-03;null;9,2;0;33;26,2;20,9;null;null;null;
2015-05-04;null;9,7;0;33,6;26,9;20,3;null;null;null;
2015-05-05;null;10,7;0;34;26,7;20,2;null;null;null;
2015-05-06;null;10,9;0;33,8;27,1;20,6;null;null;null;
2015-05-07;null;10,9;0;34,6;27,5;20,6;null;null;null;
2015-05-08;null;9,9;0;35,2;27,8;21,7;null;null;null;
2015-05-09;null;10,1;0;33,8;27,4;21,7;null;null;null;
2015-05-10;null;10,6;0;33,4;27,3;20,4;null;null;null;
2015-05-11;null;10,9;0;34,6;27,3;20,1;null;null;null;
2015-05-12;null;8,9;0;35;28;21,4;null;null;null;
2015-05-13;null;8,8;4,6;35,4;28;23,5;null;null;null;
2015-05-14;null;10,6;0;34,2;27;20,5;null;null;null;
2015-05-15;null;4,9;0;29,9;25,2;21,2;null;null;null;
2015-05-16;null;8,5;0;32,6;27;20,8;null;null;null;
2015-05-17;null;5,1;0;31,2;26;22,3;null;null;null;
2015-05-18;null;6,6;1,1;31,9;26,2;22,8;null;60;null;
2015-05-19;null;7,2;0;33,9;26,3;20,6;null;null;null;
2015-05-20;null;9;0;34,1;27,9;23,2;null;null;null;
2015-05-21;null;6;0;32,4;26,3;19,7;null;null;null;
2015-05-22;null;10,1;0;32,6;26,2;21;null;null;null;
2015-05-23;null;9,3;0;33;26;18,7;null;null;null;
2015-05-24;null;8,9;0;34,4;26,6;18,6;null;null;null;
2015-05-25;null;10,5;0;35,6;27,3;19,1;null;null;null;
2015-05-26;null;10;0;36;27,5;19,8;null;null;null;
2015-05-27;null;5,6;0;33,5;27,7;22,9;null;null;null;
2015-05-28;null;7;0;34;26,9;19,6;null;null;null;
2015-05-29;null;10;0;34,9;26,6;18,8;null;null;null;
2015-05-30;null;10,1;0;36,9;28,5;18,5;null;null;null;
2015-05-31;null;1,8;0;35,2;27,6;19,7;null;null;null;
2015-06-01;null;9,2;0;34,8;27;20;null;null;null;
2015-06-02;null;9,9;0;34,9;26,6;18,3;null;null;null;
2015-06-03;null;9,9;0;34,7;27,6;21,8;null;null;null;
2015-06-04;null;9,3;0;33,8;25,8;18,2;null;null;null;
2015-06-05;null;10,4;0;32,8;26,5;21,5;null;null;null;
2015-06-06;null;9,3;0;33;26;18,6;null;null;null;
2015-06-07;null;,9;0;30,6;25,9;22,1;null;null;null;
2015-06-08;null;,6;0;29,3;25,4;21,8;null;null;null;
2015-06-09;null;8,4;0;32,4;26,6;20,8;null;null;null;
2015-06-10;null;8,5;0;34,6;26,9;19,7;null;null;null;
2015-06-11;null;6,7;0;33,2;26,4;20,1;null;null;null;
2015-06-12;null;9;0;35,6;27,2;20,6;null;null;null;
2015-06-13;null;9,9;0;34,6;26,9;18,6;null;null;null;
2015-06-14;null;9,7;0;34,4;26,5;19,2;null;null;null;
2015-06-15;null;10,2;0;35;27,9;19,8;null;null;null;
2015-06-16;null;8,3;0;35,8;28;20,5;null;null;null;
2015-06-17;null;10,3;0;32,6;26;20,7;null;null;null;
2015-06-18;null;10,2;0;32,6;24,4;15,4;null;null;null;
2015-06-19;null;10,2;0;35,1;25,6;16,4;null;null;null;
2015-06-20;null;10;0;32,9;24,9;16,8;null;null;null;
2015-06-21;null;10,2;0;32,4;25,3;18,4;null;null;null;
2015-06-22;null;9,7;0;31,4;25,3;19;null;null;null;
