Nome: IRECE
Codigo Estacao: 83182
Latitude: -11.31138888
Longitude: -41.85861111
Altitude: 747.22
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;10,7;0;32,4;24,1;16,6;64,5;36;null;
2015-01-02;null;10,6;0;32,8;25,3;17;53;33;null;
2015-01-03;null;10,3;0;31,6;24,1;16,7;58,5;39;null;
2015-01-04;null;10;0;31,6;24,1;16,4;49,5;38;null;
2015-01-05;null;8,7;0;31,2;24,2;17,1;56,5;40;null;
2015-01-06;null;10,2;0;33,4;24,9;17;53,5;33;null;
2015-01-07;null;8,4;0;31,8;25,1;21,2;64,3;37;5,7;
2015-01-08;null;10,6;0;31,6;24,3;18;61,5;40;null;
2015-01-09;null;6,2;0;31;24,5;18;63,5;39;null;
2015-01-10;null;7,8;0;31,1;22,7;16;65,3;43;null;
2015-01-11;null;10,4;0;33,4;25,8;16,7;46,8;35;null;
2015-01-12;null;8,2;0;33;25,6;18,6;57,8;42;null;
2015-01-13;null;3,1;0;30,7;23,8;17,6;65,3;46;null;
2015-01-14;null;8,1;0;31,7;24,3;16,2;57;37;null;
2015-01-15;null;8,3;0;31,8;24,5;16,8;64,3;49;null;
2015-01-16;null;10,3;0;32,6;25,2;16,7;54,3;40;null;
2015-01-17;null;9,8;0;33,6;25,4;16,5;50,5;34;null;
2015-01-18;null;10,5;0;34;25,8;17,6;50,5;38;null;
2015-01-19;null;8,6;0;33;25;17,8;51,3;37;null;
2015-01-20;null;10,6;0;33,6;25,5;17,4;50,3;32;null;
2015-01-21;null;6,8;0;33,2;25,1;16,7;58,5;31;null;
2015-01-22;null;8,3;0;34;26,2;19,1;50,3;36;null;
2015-01-23;null;,8;0;null;25,1;21,3;59,8;46;null;
2015-01-24;null;8,9;0;33,1;25,1;16;58;35;null;
2015-01-25;null;3,7;0;29;23,7;18,6;81,3;66;null;
2015-01-26;null;1,5;15,8;27,9;22,7;18,6;79,3;79;null;
2015-01-27;null;10,6;12,6;33,4;24,6;18,1;58,8;36;null;
2015-01-28;null;10,6;0;33,6;25,6;16,6;50,5;27;null;
2015-01-29;null;10,5;0;33,6;24,8;16,4;58,5;35;null;
2015-01-30;null;10,5;0;34,2;26,4;16;49,3;29;null;
2015-01-31;null;8;0;34,6;26,3;19;56;34;null;
2015-02-01;null;10,1;0;33,4;26,2;17,2;53,5;42;null;
2015-02-02;null;9,6;0;33,5;26;18,7;64;50;null;
2015-02-03;null;5,7;0;31,9;25,1;18,6;70,5;55;null;
2015-02-04;null;,8;0;28,2;22,3;19;92;72;null;
2015-02-05;null;2,6;2,2;28,6;22,3;18,1;92,3;89;null;
2015-02-06;null;3,7;26,4;30;22,3;18;80;52;null;
2015-02-07;null;2,7;8,3;29,4;21,5;17;81,3;54;null;
2015-02-08;null;1,1;31,8;28,9;23,5;17,9;67;48;null;
2015-02-09;null;10,6;0;29,9;23,6;18,2;64,3;49;null;
2015-02-10;null;10,3;0;31,6;23,6;17,2;57;37;null;
2015-02-11;null;10,6;0;32,4;25;18;50,3;36;null;
2015-02-12;null;10,6;0;33,3;24,8;17,1;50,5;37;null;
2015-02-13;null;9;0;31,8;24,8;18;53,8;36;null;
2015-02-14;null;4,4;0;30,8;23,6;17,4;58,5;39;null;
2015-02-15;null;9,9;0;33,2;25,5;17,5;49;30;null;
2015-02-16;null;10,4;0;33;25;18,8;65,3;37;null;
2015-02-17;null;9,4;3,2;31,2;24;17,9;74;52;null;
2015-02-18;null;8,1;,9;32,8;25,3;17,3;61,5;44;null;
2015-02-19;null;6,8;0;32,4;23,3;17,6;77,8;46;null;
2015-02-20;null;5;1,1;31,1;22;16;42,5;33;null;
2015-02-21;null;4,1;,9;30,4;22,5;15,9;69,8;32;null;
2015-02-22;null;,2;2,6;25,8;21,1;17;80,3;73;null;
2015-02-23;null;,6;,2;26,8;21,1;17;91;80;null;
2015-02-24;null;1;38,4;27,9;23,9;15;83;65;null;
2015-02-25;null;7,5;,4;29,7;23,1;17;86,5;64;null;
2015-02-26;null;9,7;0;32,2;24,6;18;72,8;52;null;
2015-02-27;null;6;0;32,3;23,7;17,5;79,5;48;null;
2015-02-28;null;5,3;0;29,1;23,4;18,1;88,8;80;null;
2015-03-01;null;3,8;5,3;30,3;23,6;17,9;81,5;null;null;
2015-03-02;null;9,5;0;31,5;24;17,4;69,8;null;null;
2015-03-03;null;7,7;0;31,2;23,4;16,7;69,8;null;null;
2015-03-04;null;10,7;0;31,6;24,1;16,2;58,8;null;null;
2015-03-05;null;10,6;0;32,2;24;16,1;59,5;null;null;
2015-03-06;null;10,5;0;32,4;25;16,6;55,3;null;null;
2015-03-07;null;9,6;0;32,6;25;18,4;59,5;null;null;
2015-03-08;null;10,3;0;33,3;25,7;17,3;53,8;null;null;
2015-03-09;null;10,3;0;34;25,1;16,8;56,5;null;null;
2015-03-10;null;8,8;0;32,4;25,2;18;67,8;null;null;
2015-03-11;null;10,5;0;33,3;26,1;19;55,8;null;null;
2015-03-12;null;9,6;0;33,6;25;17,2;46;null;null;
2015-03-13;null;10,6;0;34,4;26;17,5;51,8;null;null;
2015-03-14;null;10,2;0;34,1;25,5;16;54,8;null;null;
2015-03-15;null;9,5;0;33,8;24,7;16,2;53;null;null;
2015-03-16;null;6,4;0;33;25,1;17;66,3;null;null;
2015-03-17;null;8,4;0;34,3;25;18;80,3;null;null;
2015-03-18;null;7,5;0;32,8;26,3;20;56,3;null;null;
2015-03-19;null;6,3;0;32,8;25,7;18,6;57,3;null;null;
2015-03-20;null;4,9;0;31,6;25,2;18,5;57,8;null;null;
2015-03-21;null;1,6;0;30,8;25,3;18,3;64,8;null;null;
2015-03-22;null;4;0;33,2;24,5;19,4;69;null;null;
2015-03-23;null;0;3,4;25;22,1;19;90,5;null;null;
2015-03-24;null;9,6;0;32,2;25,5;17,8;48,5;34;null;
2015-03-25;null;9,5;0;33,4;25,5;16,6;52;null;null;
2015-03-26;null;7;0;32,8;26,1;17,8;54,8;null;null;
2015-03-27;null;10;0;33;26,3;18,8;52,5;null;null;
2015-03-28;null;10,5;0;34,3;26,4;18,3;52;null;null;
2015-03-29;null;9,8;0;34,8;26,4;17,6;43;null;null;
2015-03-30;null;9,2;0;35;26,3;17,5;50,5;null;null;
2015-03-31;null;10,8;0;33,7;25,2;17,8;49,8;null;null;
2015-04-01;null;10,8;0;35,4;26,1;16,3;48,5;26;null;
2015-04-02;null;10,6;0;35;25,8;16,8;43,3;30;null;
2015-04-03;null;10,4;0;34,6;26,1;18,6;54,8;38;null;
2015-04-04;null;10,2;0;34,8;25,6;17,2;62,5;40;null;
2015-04-05;null;2,4;0;33,1;24,3;18,8;70,3;40;null;
2015-04-06;null;9,7;3,8;32,9;24,6;18,6;71,5;46;null;
2015-04-07;null;9,4;0;33,4;25,4;19;69;48;null;
2015-04-08;null;1,1;0;28,6;24,1;19,2;71,5;54;null;
2015-04-09;null;6,3;0;31;24,3;18,1;70,3;50;null;
2015-04-10;null;9,2;0;31,6;24,2;18,1;73,5;43;null;
2015-04-11;null;2,7;3;27,5;21,9;15,8;82;72;null;
2015-04-12;null;8,6;0;30,6;24,2;17,3;61,3;43;null;
2015-04-13;null;6,7;0;31,7;24,5;18;68;46;null;
2015-04-14;null;10;0;32;24,6;17,6;62,8;45;null;
2015-04-15;null;7,2;0;31,6;24,4;17,2;66,8;44;null;
2015-04-16;null;8,9;0;33,1;25,3;17,8;59;41;null;
2015-04-17;null;9,9;0;34,2;25,6;16,8;54,8;29;null;
2015-04-18;null;9,8;0;34;26,3;18,4;56;36;null;
2015-04-19;null;10,1;0;34,2;26,3;18,9;55,8;38;null;
2015-04-20;null;8,5;0;32,6;25,3;18,1;58;45;null;
2015-04-21;null;9,3;0;34;25,3;18,7;57,3;40;null;
2015-04-22;null;9,2;0;34,6;27,1;18,1;55;36;null;
2015-04-23;null;7,7;0;35,2;26,3;19,2;58,8;37;null;
2015-04-24;null;9,7;0;34,4;26,9;18,6;55,3;40;null;
2015-04-25;null;8,3;0;33,6;27;19,8;53,3;41;null;
2015-04-26;null;4,6;5;31,8;24,4;18,9;77,3;52;null;
2015-04-27;null;1,3;36,2;25,8;21,1;17,2;94,8;91;null;
2015-04-28;null;5,8;10,7;29;22,9;17,8;72,8;53;null;
2015-04-29;null;6,8;0;30,6;23,9;18,3;71;45;null;
2015-04-30;null;3,7;0;30,7;23,5;17,4;75,3;55;null;
2015-05-01;null;2,3;,4;27;22,8;18,4;86,3;null;null;
2015-05-02;null;,2;3,9;26;22,4;18;82,8;null;null;
2015-05-03;null;6,4;0;29;22,6;17;82,3;null;null;
2015-05-04;null;8,2;0;30,3;23,1;17,1;72,5;null;null;
2015-05-05;null;7,3;0;29,9;22,7;16,8;77;null;null;
2015-05-06;null;10,4;0;31,6;24,1;16,8;64,8;null;null;
2015-05-07;null;10,4;0;31,8;23,9;16,1;59,5;null;null;
2015-05-08;null;8,7;0;33;25;16,8;62;null;null;
2015-05-09;null;8,1;0;31;23,3;17,3;70,5;null;null;
2015-05-10;null;7,1;0;30,3;22,7;16,7;74,5;null;null;
2015-05-11;null;9,6;0;31,8;24,2;16,4;71;null;null;
2015-05-12;null;9,4;0;32,6;24,4;16,1;66,5;null;null;
2015-05-13;null;9,2;0;32,1;24,6;16,7;67,5;null;null;
2015-05-14;null;7,7;0;28,6;22,3;17;84,3;null;null;
2015-05-15;null;5,2;0;27,5;21,5;16,3;77;null;null;
2015-05-16;null;8;0;27,4;21,6;15;70,8;null;null;
2015-05-17;null;2,9;0;26,8;22,3;16,8;76,5;null;null;
2015-05-18;null;6,5;0;27,2;20,9;15,1;83,3;null;null;
2015-05-19;null;6,1;0;28,6;22;15,5;66;48;null;
2015-05-20;null;8,6;0;29,3;22,9;17,1;72,5;null;null;
2015-05-21;null;6,9;0;29;22,2;17,3;73,5;null;null;
2015-05-22;null;7,9;0;27,6;21,7;16,5;73,3;null;null;
2015-05-23;null;9,9;0;27,8;22;16;67,5;null;null;
2015-05-24;null;4;0;29,6;21,9;15,5;70,5;null;null;
2015-05-25;null;9,5;0;31,3;22,7;15,7;64,8;null;null;
2015-05-26;null;10;0;30,8;23;15,1;67,3;null;null;
2015-05-27;null;4;0;31;23,7;18,3;65,5;null;null;
2015-05-28;null;8,9;0;31,6;22,6;16;64,8;null;null;
2015-05-29;null;8,9;0;31,7;22,9;14;49,3;null;null;
2015-05-30;null;10,1;0;32,6;22,9;13,4;60,5;null;null;
2015-05-31;null;10,1;0;30,2;22,8;16,1;67,5;null;null;
2015-06-01;null;8,7;0;31,4;23;16,7;65,3;null;null;
2015-06-02;null;7,8;0;28,7;22,3;16;79;null;null;
2015-06-03;null;9,4;0;29,4;22;15,9;70,5;null;null;
2015-06-04;null;6,1;0;27,4;21,5;15,2;79,3;null;null;
2015-06-05;null;3,5;0;27,3;21,4;16;76,5;null;null;
2015-06-06;null;5,1;0;27,8;21,9;14,9;68,5;null;null;
2015-06-07;null;3,5;0;28,4;22,1;16,8;72,5;null;null;
2015-06-08;null;,1;0;24,9;20,7;16,5;71;null;null;
2015-06-09;null;5,9;0;27,4;21,2;15,4;79,5;null;null;
2015-06-10;null;10,3;0;31;23,2;15,8;63,5;null;null;
2015-06-11;null;9,5;,6;29;22,4;16,9;61,5;null;null;
2015-06-12;null;8;0;32;23,4;17;58;null;null;
2015-06-13;null;9,3;0;30,8;23,2;14,8;61;null;null;
2015-06-14;null;6,3;0;31;23,1;17;77,5;null;null;
2015-06-15;null;10,2;0;32,6;24,2;18;66,8;null;null;
2015-06-16;null;10;0;32,2;23;17,1;68,8;null;null;
2015-06-17;null;10,3;0;33;21,7;14,1;53,5;null;null;
2015-06-18;null;10,2;0;29,8;21;13,9;62,8;null;null;
2015-06-19;null;10,2;0;31,4;22;12,6;60;31;null;
2015-06-20;null;10,3;0;28;21,4;15;62,3;null;null;
2015-06-21;null;8,9;0;26,6;20,3;13,3;75;null;null;
2015-06-22;null;6,4;0;28,2;20,5;14,8;72,5;null;null;
2015-06-23;null;7,9;0;28,8;21;14,2;61,8;null;null;
2015-06-24;null;5,3;0;28,6;23;16,8;65,8;null;null;
2015-06-25;null;5;0;25,2;20,1;16,9;78;null;null;
2015-06-26;null;5,3;0;25;20;15,4;77,5;null;null;
2015-06-27;null;5,1;0;25,3;19,7;14,3;76,8;null;null;
2015-06-28;null;1;0;25,4;19,9;15,5;69,8;null;null;
2015-06-29;null;3,1;0;27,2;21,2;16;68,8;null;null;
2015-06-30;null;3,7;0;26,1;20,9;15,5;79;null;null;
2015-07-01;null;,5;0;25,2;20,3;16,2;74,8;null;null;
2015-07-02;null;9;0;29,3;21,2;14,1;61,3;null;null;
2015-07-03;null;9,9;0;30,4;22,1;13,4;67,3;null;null;
2015-07-04;null;7,9;0;31,3;22,8;14,2;63;null;null;
2015-07-05;null;6;0;32;24;15;58,8;null;null;
2015-07-06;null;,7;0;26,2;20,7;17,5;84,3;null;null;
2015-07-07;null;3,3;0;27;20,8;15,1;80;null;null;
2015-07-08;null;1,6;0;26,6;21,2;14,8;78,3;null;null;
2015-07-09;null;9,1;0;29,4;21,6;15,7;68,3;null;null;
2015-07-10;null;6,9;0;29,8;21,9;14,9;68,5;null;null;
2015-07-11;null;6,7;,4;28,4;22;16;66;null;null;
2015-07-12;null;10,2;0;30,1;21;14;59,3;null;null;
2015-07-13;null;7,3;0;29,4;21,6;16;60,3;null;null;
2015-07-14;null;10,1;0;30,1;21,8;15;54,3;null;null;
2015-07-15;null;6;,2;27,4;21,1;15,5;80;null;null;
2015-07-16;null;7,4;0;26,6;19,4;14,2;72,8;null;null;
2015-07-17;null;8;0;28,3;20,3;13;69;null;null;
2015-07-18;null;9,6;0;27,6;20,1;13;74,3;null;null;
2015-07-19;null;9,9;0;27;20,6;12,6;68,3;null;null;
2015-07-20;null;6,5;0;27,7;20,3;13,6;65,8;null;null;
2015-07-21;null;10,3;0;29,8;21;13,1;51,5;null;null;
2015-07-22;null;10,2;0;29,2;20,9;12,9;57,3;44;null;
2015-07-23;null;10,3;0;29,6;20,8;13,6;65;null;null;
2015-07-24;null;4,5;0;27,8;21,4;16,2;74,3;null;null;
2015-07-25;null;9,8;0;27,8;21,2;14,6;70;null;null;
2015-07-26;null;9,4;0;31,2;21,9;14,2;65;null;null;
2015-07-27;null;10,2;0;31,1;22,5;14;58;null;null;
2015-07-28;null;10,4;0;30,8;22,1;14,5;66;null;null;
2015-07-29;null;10,3;0;29,5;21,1;14,9;70,5;null;null;
2015-07-30;null;9,3;0;27,2;20,9;16,2;66,5;null;null;
2015-07-31;null;10,3;0;27,8;21,3;14,6;64,5;null;null;
2015-08-01;null;9;0;28,1;19,9;11,2;69,3;null;null;
2015-08-02;null;9,7;0;27,6;20,9;15,1;62;null;null;
2015-08-03;null;10,4;0;29,7;20,8;13,6;62;null;null;
2015-08-04;null;10,4;0;28,7;20,5;13,1;54,5;null;null;
2015-08-05;null;10,4;0;30,7;21,8;12;51,3;null;null;
2015-08-06;null;10,3;0;31,6;22,1;15,1;69,8;null;null;
2015-08-07;null;9,9;0;29,2;21,6;13,1;63,3;null;null;
2015-08-08;null;10,4;0;28,8;20,6;12;56,8;null;null;
2015-08-09;null;10;0;28,8;20,7;12,1;66,5;null;null;
2015-08-10;null;7,3;0;27,1;20,4;13,9;75,3;null;null;
2015-08-11;null;9,4;0;27;19,6;14;71;null;null;
2015-08-12;null;3,7;0;24,8;18,3;12;70,8;null;null;
2015-08-13;null;7,7;0;24,3;17,9;10,8;77;null;null;
2015-08-14;null;7,1;0;27,6;20,6;13,6;72,5;null;null;
2015-08-15;null;8,5;0;29;20,9;12,8;74;null;null;
2015-08-16;null;9,4;0;26,2;20,5;15,4;65;null;null;
2015-08-17;null;9,7;0;28;20,3;14,7;69;null;null;
2015-08-18;null;10,6;0;29,6;21,7;13,4;59,3;null;null;
2015-08-19;null;8,7;0;29,9;22,3;14,9;62,3;null;null;
2015-08-20;null;10,4;0;32,4;23,4;13;52,3;null;null;
2015-08-21;null;9,3;0;33,6;23,6;14,2;56,5;null;null;
2015-08-22;null;10,2;0;33,1;23,4;15,5;61,3;null;null;
2015-08-23;null;7;0;29,2;21,5;14;69,3;null;null;
2015-08-24;null;10,6;0;31,6;23,3;15;58,5;45;null;
2015-08-25;null;10,6;0;31,9;23,3;14,6;54,3;null;null;
2015-08-26;null;10,5;0;33,5;23,7;14,2;56,8;null;null;
2015-08-27;null;10,5;0;33,6;24,3;15,8;61;null;null;
2015-08-28;null;10,6;0;31;23,6;16,8;61,5;null;null;
2015-08-29;null;10,5;0;31,5;24,3;15,6;56,8;null;null;
2015-08-30;null;9,2;0;34;23,7;16,6;62,8;null;null;
2015-08-31;null;7,6;0;32,9;22,7;16,2;67;null;null;
2015-09-01;null;9,4;0;30,5;22,1;12,8;62,3;48;null;
2015-09-02;null;10,5;0;33,8;23,5;12,6;53,3;28;null;
2015-09-03;null;10,7;0;33,2;23,2;13,8;53;37;null;
2015-09-04;null;10,6;0;35,3;25,1;13,3;49;25;null;
2015-09-05;null;10,7;0;37,3;27,7;15,3;37,5;20;null;
2015-09-06;null;10,4;0;35,4;26,2;17;48,8;29;null;
2015-09-07;null;10,5;0;34;25;16,2;53,5;38;null;
2015-09-08;null;10,6;0;33,4;24,1;14,3;54,3;40;null;
2015-09-09;null;10,3;0;34,4;25,7;15,4;48,3;28;null;
2015-09-10;null;1;0;33,7;24,6;14,9;53,8;35;null;
2015-09-11;null;10,8;0;34;25,4;14,4;42,8;27;null;
2015-09-12;null;10,5;0;35,8;25,9;14,4;48,3;25;null;
2015-09-13;null;10,4;0;34,6;25,7;16,4;56,8;39;null;
2015-09-14;null;9,9;0;33,2;24,8;16,5;56,5;42;null;
2015-09-15;null;9;0;30,8;23,5;16,3;65,8;53;null;
2015-09-16;null;8,5;0;30,4;22,7;12,6;62;37;null;
2015-09-17;null;10,2;0;32,4;23,7;15,4;62;42;null;
2015-09-18;null;10,4;0;33;23,9;14;55;33;null;
2015-09-19;null;9,2;0;33;24,3;16,2;56;32;null;
2015-09-20;null;8,5;0;31,6;24,8;16,6;54,5;41;null;
2015-09-21;null;10,4;0;31,6;23,9;15,4;59,5;50;null;
2015-09-22;null;10,5;0;32,9;24,3;15,6;52,5;37;null;
2015-09-23;null;10,4;0;34,4;25,4;15,4;40,5;19;null;
2015-09-24;null;10,4;0;34,5;25,2;16,4;55;44;null;
2015-09-25;null;10,5;0;35,5;25,7;16,1;42;19;null;
2015-09-26;null;10,5;0;35,4;25,5;14,7;46;26;null;
2015-09-27;null;10,6;0;33,9;25,1;16,4;44,8;29;null;
2015-09-28;null;10,5;0;34,9;25,3;14,8;49,3;31;null;
2015-09-29;null;10,5;0;35,2;25,2;14,2;49,8;32;null;
2015-09-30;null;10,4;0;33,3;25,1;15,4;48,3;28;null;
2015-10-01;null;10,1;0;32;25,1;17,2;54,5;null;null;
2015-10-02;null;10,7;0;32,8;24,5;14,7;43,8;null;null;
2015-10-03;null;10,5;0;34,7;25,3;15;41;24;null;
2015-10-04;null;10,7;0;36,7;27,3;16;38,5;null;null;
2015-10-05;null;8,8;0;38;28,3;15,9;38,3;null;null;
2015-10-06;null;2,5;0;30,6;25;18;53,5;null;null;
2015-10-07;null;6,7;0;31,8;24,4;17,9;65,3;null;null;
2015-10-08;null;10,6;0;30,4;23,9;17,5;63,8;null;null;
2015-10-09;null;10,2;0;32,6;23,4;14;62,8;null;null;
2015-10-10;null;10,1;0;33,4;25,1;17,3;49,8;null;null;
2015-10-11;null;10,7;0;31,8;24,3;16,8;54;null;null;
2015-10-12;null;10,7;0;32,2;24,2;15,2;50;null;null;
2015-10-13;null;10,7;0;33,8;25,2;15,1;48,8;null;null;
2015-10-14;null;10,3;0;33,7;24,4;16,2;57,3;null;null;
2015-10-15;null;9,1;0;33,6;25,4;17,6;52,3;null;null;
2015-10-16;null;9,7;0;34,8;25,6;17,1;48,8;null;null;
