Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.54749999
Longitude: -41.15111111
Altitude: 1001.66
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,4;9,9;0;27;21,7;17;52,8;null;3;
2015-01-02;3,7;8,3;0;28,2;22,3;18,7;71,3;null;2;
2015-01-03;3,7;8;0;27;21,5;18,3;69,3;null;2,7;
2015-01-04;3,5;10,8;0;25,8;20,6;15,9;65;null;3,3;
2015-01-05;3,7;8,9;0;28,2;22,5;17,7;62,5;null;2,7;
2015-01-06;4,3;10,2;0;28;22,4;18,7;67,5;null;3,3;
2015-01-07;4,2;5,9;0;27;21,7;18,7;77,5;null;2,8;
2015-01-08;3,1;9,2;1,4;26;21,3;17,5;74,8;null;4;
2015-01-09;3;5,1;2,8;26;20,8;18;81,3;null;3,7;
2015-01-10;2,8;5,2;1;25,8;20,9;17,7;75,5;null;3,3;
2015-01-11;2,8;8,7;0;28,4;22,4;18,2;64;null;4;
2015-01-12;4,4;8;0;27,8;22,4;18,2;64,8;null;3,7;
2015-01-13;4,6;3,2;0;25,6;21,2;17,5;65,5;51;3;
2015-01-14;4;8,6;0;28;21,9;17,1;58,5;null;3,3;
2015-01-15;4,7;6,1;0;26,8;21,4;17,7;67;null;3,3;
2015-01-16;4,2;9,7;0;28,6;21,8;17,3;62,5;null;3,3;
2015-01-17;5,1;9,2;0;29;22,4;17,7;61,8;null;3;
2015-01-18;4,7;8,6;0;28,4;22,5;17,7;60,5;null;3;
2015-01-19;5;10,8;0;28,4;22;17,2;60,3;null;3,3;
