Nome: JACOBINA
Codigo Estacao: 83186
Latitude: -11.17277777
Longitude: -40.53416666
Altitude: 486.37
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2023-03-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,1;9,4;0;null;null;18,3;78;80;2,6;
2015-01-02;6,7;9,9;0;null;null;19,7;73;76;2,6;
2015-01-03;7,7;7,2;0;null;null;19,3;72;68;,8;
2015-01-04;7,5;11,5;0;null;null;18,7;69;62;3,1;
2015-01-05;7,5;11;0;null;null;19,7;63;64;2,4;
2015-01-06;6,8;10,9;0;null;null;19,9;61;63;2,3;
2015-01-07;9,8;8,3;0;null;null;20,1;76;56;5,3;
2015-01-08;7,6;4,8;3,4;null;null;19,5;67;74;3;
2015-01-09;4,4;4,5;8,7;null;null;19,3;84;95;2;
2015-01-10;4,9;6,3;0;null;null;19;68;78;4,5;
2015-01-11;8,1;8,5;0;null;null;20,3;55;62;4,7;
2015-01-12;10,4;8,6;0;null;null;20,1;56;46;5;
2015-01-13;10,3;7,4;0;null;null;19,9;54;47;2,9;
2015-01-14;11,3;8,3;0;null;null;19,5;55;47;2,5;
2015-01-15;10,3;7;0;null;null;19,5;62;50;3;
2015-01-16;9,4;10,4;0;null;null;19,7;55;60;7,6;
2015-01-17;10,3;10,8;0;null;null;19,6;49;53;1,6;
2015-01-18;9,8;11,3;0;null;null;20,3;45;38;3,7;
2015-01-19;13,2;8,3;0;null;null;19,7;57;36;0;
2015-01-20;10,4;10,4;0;null;null;19,7;51;51;2,4;
2015-01-21;5,9;3,4;0;null;null;20,1;71;43;3,6;
2015-01-22;6,7;6,6;0;null;null;20,9;60;69;5,5;
2015-01-23;9,9;3,6;0;null;null;21,1;50;52;5;
2015-01-24;11;8,8;0;null;null;19,7;71;38;5,8;
2015-01-25;9,2;4,2;8,4;null;null;19,9;84;70;3,5;
2015-01-26;3,6;2,2;6,3;null;null;20,1;90;84;2,6;
2015-01-27;3,9;6,3;0;null;null;20,3;74;87;2,3;
2015-01-28;6,6;11,1;0;null;null;19,9;48;67;4,8;
2015-01-29;6,2;10;0;null;null;19,3;51;38;2,6;
2015-01-30;9,2;7,1;0;null;null;20,1;58;43;2,2;
2015-01-31;9;4,7;0;null;null;20,9;65;46;4,1;
2015-02-01;7,9;10,1;0;null;null;20,1;49;null;3,2;
2015-02-02;12,5;10,1;0;null;null;20,3;45,8;null;4;
2015-02-03;12,8;9;0;null;null;20,3;50,3;null;4;
2015-02-04;9,3;3,2;0;null;null;21,1;67;null;2,6;
2015-02-05;5,8;4;0;null;null;21,1;73,5;null;1;
