Nome: SERRINHA
Codigo Estacao: 83190
Latitude: -11.66805554
Longitude: -39.00194444
Altitude: 362.39
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2024-06-05
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,8;10,2;0;null;null;20,6;56,3;null;null;
2015-01-02;6,8;10;0;null;null;22,1;56,3;null;null;
2015-01-03;6;9,9;0;null;null;21,6;56;null;null;
2015-01-04;5,8;10,5;0;null;null;19,6;57,8;null;null;
2015-01-05;4,7;8,1;0;null;null;21,2;65,5;null;null;
2015-01-06;7,6;8,4;0;null;null;21,6;63,8;null;null;
2015-01-07;6,1;9,8;,6;null;null;21,6;73,5;null;null;
2015-01-08;5,7;1,2;0;null;null;21,5;93;null;null;
2015-01-09;1,8;4;1,4;null;null;21;71,3;null;null;
2015-01-10;4,2;9,4;0;null;null;20,8;66,3;null;null;
2015-01-11;6,2;9,1;0;null;null;22,1;59,5;null;null;
2015-01-12;6,2;7,6;0;null;null;21,7;59,3;null;null;
2015-01-13;6,9;6,1;0;null;null;21,3;57;null;null;
2015-01-14;6,3;9;0;null;null;20,6;54,8;null;null;
2015-01-15;7,4;8,4;0;null;null;20,6;56,5;null;null;
2015-01-16;6,7;9,7;0;null;null;20,4;55,8;null;null;
2015-01-17;6,8;9,5;0;null;null;20,4;60;null;null;
2015-01-18;6,7;8,2;0;null;null;21,9;61;null;null;
2015-01-19;6,2;8,3;0;null;null;20,6;51,8;null;null;
2015-01-20;8,1;9,7;0;null;null;20,4;59,3;null;null;
2015-01-21;6,4;5,6;0;null;null;21,2;63,8;null;null;
2015-01-22;7,5;7,7;0;null;null;22,4;64,5;null;null;
2015-01-23;6,7;5,7;1,9;null;null;21,9;58,3;null;null;
2015-01-24;7,3;6,1;0;null;null;21;85,5;67;null;
2015-01-25;3,3;7,6;12,1;null;null;21,4;61,3;null;null;
2015-01-26;5,5;6,6;0;null;null;21,6;61,3;null;null;
2015-01-27;5,3;9,7;,2;null;null;21,5;60,5;null;null;
2015-01-28;6,4;null;0;null;null;20,3;51,3;null;null;
2015-01-29;7,8;10,3;0;null;null;20,9;59;null;null;
2015-01-30;7,4;5,5;,2;null;null;20,4;69,3;null;null;
2015-01-31;6,9;7,3;0;null;null;21,9;62,8;null;null;
2015-02-01;4,5;7,1;0;null;null;22,1;54;30;null;
2015-02-02;6,5;7,5;0;null;null;21,6;57,5;28;null;
2015-02-03;6,6;8,8;0;null;null;21,6;58;30;null;
2015-02-04;6,4;1,3;0;null;null;22,4;61,5;41;null;
2015-02-05;5;8,1;0;null;null;21,9;66;35;null;
2015-02-06;4;8,7;9,4;null;null;21,9;60,3;40;null;
2015-02-07;6,5;7,8;0;null;null;20;64,3;37;null;
2015-02-08;0;9,1;0;null;null;21,9;52,8;33;null;
2015-02-09;7,6;10,4;0;null;null;22,2;48,5;31;null;
2015-02-10;6,9;10,1;0;null;null;20,9;48,5;29;null;
2015-02-11;7;8,8;0;null;null;21,9;56,3;41;null;
2015-02-12;6,5;7,3;0;null;null;21,4;63,8;32;null;
2015-02-13;4,8;9,3;1;null;null;21,8;55,3;30;null;
2015-02-14;5,4;8;,8;null;null;21,2;54;26;null;
2015-02-15;6,3;7,9;0;null;null;22,2;62,8;33;null;
2015-02-16;5,6;7,8;0;null;null;22,2;71,5;66;null;
2015-02-17;5;8,7;8,9;null;null;22,3;61,5;43;null;
2015-02-18;7;3,9;0;null;null;22,3;84,5;65;null;
2015-02-19;3;3,9;1,1;null;null;21,9;62,8;40;null;
2015-02-20;5;5,1;0;null;null;20,7;75;55;null;
2015-02-21;4;4,6;0;null;null;21,6;76,8;63;null;
2015-02-22;3,9;,6;6,8;null;null;20,2;89;79;null;
2015-02-23;1,4;4,4;8;null;null;20,5;88,8;80;null;
2015-02-24;1,5;4,7;13,7;null;null;20,4;75;49;null;
2015-02-25;3,9;8,9;0;null;null;21,1;76,8;63;null;
2015-02-26;3,3;5,5;2,5;null;null;21,2;85,3;71;null;
2015-02-27;2,2;3,3;1,1;null;null;22,4;84,8;74;null;
2015-02-28;2,4;10;3,4;null;null;21,6;69,8;41;null;
2015-03-01;4,1;10,1;0;null;null;21,7;66,8;null;null;
2015-03-02;5,1;10,1;0;null;null;22,6;64,8;null;null;
2015-03-03;5,7;5,3;0;null;null;22,4;66,3;null;null;
2015-03-04;6,6;9;0;null;null;21,2;63,5;null;null;
2015-03-05;5,1;8,9;0;null;null;21,2;79;null;null;
2015-03-06;4,8;8,2;5,4;null;null;21,9;75,5;null;null;
2015-03-07;4,2;8,6;2,1;null;null;20,3;69,3;null;null;
2015-03-08;4,5;9,4;0;null;null;21,6;61,3;null;null;
2015-03-09;6;6,3;0;null;null;22,3;65,3;null;null;
2015-03-10;4,6;10,4;0;null;null;22,6;70,5;null;null;
2015-03-11;5,8;9,9;0;null;null;22,8;53,8;null;null;
2015-03-12;6,9;10,1;0;null;null;20;59,3;null;null;
2015-03-13;6,6;9,9;0;null;null;21,2;63,3;null;null;
2015-03-14;5,5;5,7;1,4;null;null;21,7;67,8;null;null;
2015-03-15;5;10,7;,4;null;null;20,1;56,3;null;null;
2015-03-16;6,5;9,7;0;null;null;21,1;59,3;null;null;
2015-03-17;6,5;8,1;0;null;null;22,6;64,3;null;null;
2015-03-18;6;6,3;,4;null;null;22,3;67,8;null;null;
2015-03-19;7,1;6,2;0;null;null;20,6;58;null;null;
2015-03-20;7,8;4,4;0;null;null;20,8;61,5;null;null;
2015-03-21;7,1;4,4;0;null;null;21,6;67,5;null;null;
2015-03-22;4,8;5,6;0;null;null;22,9;61;null;null;
2015-03-23;6,5;2,9;0;null;null;22;57,3;null;null;
2015-03-24;5,6;10,1;0;null;null;22,4;60;null;null;
2015-03-25;6;9,8;7,1;null;null;22,7;63,8;null;null;
2015-03-26;4,9;6,5;0;null;null;22,3;72,5;null;null;
2015-03-27;8,1;9,6;,1;null;null;21,7;63,8;null;null;
2015-03-28;6;8,5;0;null;null;22,9;64,3;null;null;
2015-03-29;6,2;10,3;0;null;null;22,1;59,8;27;null;
2015-03-30;6,3;9,3;0;null;null;21,1;58,8;null;null;
2015-03-31;7,1;9,9;0;null;null;20,7;59;null;null;
2015-04-01;7;10,6;0;null;null;20,2;51;null;null;
2015-04-02;6,2;10,2;0;null;null;20,7;54,5;23;null;
2015-04-03;6,3;10,7;0;null;null;20,2;55;null;null;
2015-04-04;5,3;8,2;0;null;null;22,2;68,8;null;null;
2015-04-05;4,7;8,4;1,5;null;null;23,1;64,8;null;null;
2015-04-06;4,9;9,7;0;null;null;22,4;55,3;null;null;
2015-04-07;5,9;5,5;0;null;null;23,6;73,8;null;null;
2015-04-08;4,2;,5;11,8;null;null;21,5;77;null;null;
2015-04-09;3,3;3,8;0;null;null;21,6;86,3;null;null;
2015-04-10;2;3,5;1,1;null;null;22,1;81,3;null;null;
2015-04-11;1,6;,8;8,4;null;null;20,6;86;null;null;
2015-04-12;2,1;7,7;,6;null;null;21,3;79,3;null;null;
2015-04-13;2,8;4,1;0;null;null;21,8;84,8;null;null;
2015-04-14;2,9;4,5;4,4;null;null;21,4;85,3;null;null;
2015-04-15;1,8;4,8;7;null;null;21,4;91,8;null;null;
2015-04-16;,4;8,4;2,7;null;null;21,8;73,3;null;null;
2015-04-17;3,2;7,3;0;null;null;21,8;75;null;null;
2015-04-18;3,5;8,3;0;null;null;21,8;74;null;null;
2015-04-19;3,5;8,5;0;null;null;22,4;74;null;null;
2015-04-20;3,7;8,5;0;null;null;22,6;73,8;null;null;
2015-04-21;5,1;8,5;0;null;null;21,9;81;null;null;
2015-04-22;4,5;10,3;,2;null;null;22,4;75,5;null;null;
2015-04-23;4,9;8,2;0;null;null;22,6;70,8;null;0;
2015-04-24;4,3;7,4;0;null;null;23,3;76,5;null;null;
2015-04-25;2,7;9;32,6;null;null;22,6;76,3;null;null;
2015-04-26;3,3;4,7;0;null;null;23,1;79,3;null;null;
2015-04-27;3,6;,1;34,2;null;null;21,3;93;null;null;
2015-04-28;1,2;4,6;,4;null;null;21,3;88;null;null;
2015-04-29;1,8;8;0;null;null;21,5;83;null;null;
2015-04-30;2,5;4,5;1,2;null;null;22,2;90;null;null;
2015-05-01;1,9;4,8;0;null;null;20,8;90,5;null;null;
2015-05-02;1,7;,7;6,8;null;null;20,6;94;null;null;
2015-05-03;,8;3,5;3,2;null;null;20,9;93,3;null;null;
2015-05-04;1,7;5,7;0;null;null;20,8;89;null;null;
2015-05-05;4,4;5,6;0;null;null;21,6;89,3;null;null;
2015-05-06;1;6,9;0;null;null;21,2;85,5;null;null;
2015-05-07;,4;6,1;0;null;null;21,4;80,3;null;null;
2015-05-08;3;7,1;0;null;null;20,9;80,5;null;null;
2015-05-09;2,7;4,6;0;null;null;20,8;86,3;null;null;
2015-05-10;2,2;7,2;1;null;null;21,2;86,8;null;null;
2015-05-11;1,6;3,3;0;null;null;21,6;86,8;null;null;
2015-05-12;1,9;7,7;2,5;null;null;21,4;69,8;null;null;
2015-05-13;3,4;null;0;null;null;21,6;79,3;null;null;
2015-05-14;2,8;5,7;0;null;null;21,1;84;null;null;
2015-05-15;2;0;15;null;null;20,1;95,5;null;null;
2015-05-16;,2;0;20,9;null;null;19,2;96,5;95;null;
2015-05-17;,3;,1;4,1;null;null;20,1;95;null;null;
2015-05-18;,5;1;15,2;null;null;20,4;94,3;null;null;
2015-05-19;,9;4,5;3,6;null;null;19,9;91,5;null;null;
2015-05-20;,8;4,1;4;null;null;20,4;88,5;null;null;
2015-05-21;1,2;3,1;1,2;null;null;20,7;93,8;null;null;
2015-05-22;1;2,3;16,6;null;null;20,2;95,8;null;null;
2015-05-23;,7;,5;,5;null;null;19,2;95,8;null;null;
2015-05-24;,7;1,8;3,8;null;null;19,2;92;null;null;
2015-05-25;,8;,3;,3;null;null;20,1;92,8;null;null;
2015-05-26;,8;0;1,8;null;null;21;95,8;null;null;
2015-05-27;,3;5,5;12,5;null;null;20,1;85;null;null;
2015-05-28;1,7;7,2;,1;null;null;19,2;83,3;null;null;
2015-05-29;2;7,3;0;null;null;19,5;74;null;null;
2015-05-30;2,2;7,8;,3;null;null;19,8;79,8;null;null;
2015-05-31;2,7;3,2;0;null;null;20,2;90;null;null;
2015-06-01;1,5;3,7;,6;null;null;19,6;90;null;null;
2015-06-02;1,1;2,5;1,6;null;null;20,6;93,3;null;null;
2015-06-03;1;5,1;,2;null;null;19;88,3;null;null;
2015-06-04;1,5;0;7,1;null;null;20,3;97,5;null;null;
2015-06-05;,7;3,9;7,1;null;null;20,2;90,8;null;null;
2015-06-06;1,1;,3;7,5;null;null;20,3;97,5;null;null;
2015-06-07;,6;5,4;13,2;null;null;20;92,8;null;null;
2015-06-08;1;1,3;1,5;null;null;19,7;96,8;null;null;
2015-06-09;,8;6,7;4,7;null;null;19,9;84,8;null;null;
2015-06-10;1,9;6;1,5;null;null;19,9;89,5;null;null;
2015-06-11;1,6;null;,9;null;null;20,1;88;null;null;
2015-06-12;1,7;7,3;0;null;null;19,6;85,3;null;null;
2015-06-13;1,8;2,9;0;null;null;19,6;92,8;null;null;
2015-06-14;1,2;3,4;1,4;null;null;19,9;92,8;null;null;
2015-06-15;,9;7;4,4;null;null;20,2;84;null;null;
2015-06-16;1,9;7,8;0;null;null;19,9;84,8;null;null;
2015-06-17;2,3;8,8;,1;null;null;18,5;80;null;null;
2015-06-18;1,4;4,1;0;null;null;19,2;86,5;null;null;
2015-06-19;1,6;1,6;0;null;null;18,1;91,8;null;null;
2015-06-20;1,2;4,8;26,2;null;null;19,6;92,5;null;null;
2015-06-21;1,3;5,5;1,2;null;null;18;88;null;null;
2015-06-22;1,8;4,9;1,2;null;null;18,3;88;null;null;
2015-06-23;1,8;0;,6;null;null;17,1;94,3;null;null;
2015-06-24;,3;0;4;null;null;19,6;98,3;null;null;
