Nome: CIPO
Codigo Estacao: 83192
Latitude: -11.10138888
Longitude: -38.52416666
Altitude: 143.53
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,5;8,1;0;35,6;27,2;21,2;63,8;32;2,3;
2015-01-02;6,3;9,7;0;35,4;27,2;21,2;55,5;31;3,3;
2015-01-03;5,7;11;0;34,8;26,8;21,2;49;30;2,1;
2015-01-04;5,2;10,2;0;35,4;26,3;18,5;59,3;30;3;
2015-01-05;4,5;8,4;0;34,8;27,2;20,1;52,8;30;2,8;
2015-01-06;4,8;9,1;0;34,6;27,3;21,2;53,5;33;2,4;
2015-01-07;4,9;10,9;0;36,2;26,9;20,9;61,8;30;3,9;
2015-01-08;6,5;,4;,1;29,2;25,3;21,6;79;74;3,2;
2015-01-09;2,8;9,3;10,4;33,6;26,3;20,1;60,5;36;2,8;
2015-01-10;5,2;9,6;0;34,2;26,5;19,7;56,8;33;2,6;
2015-01-11;6;10,5;0;34,8;27,3;21,2;59,5;32;3,4;
2015-01-12;6,3;8,8;0;35;27;21,4;63,5;34;2,7;
2015-01-13;6,3;7,4;0;34,6;26,8;20,1;56,3;28;2,9;
2015-01-14;6,5;10,3;0;35,2;26,8;19,1;54,3;33;3,4;
2015-01-15;7,4;10;0;36;27,1;19,5;58,8;32;3,4;
2015-01-16;6,8;11,3;0;36,2;27,5;20,1;53,5;29;3,3;
2015-01-17;7;10,4;0;35,8;27,3;19,5;55,8;32;3,6;
2015-01-18;6,5;10,5;0;35,4;27,5;21,2;53,3;28;2,9;
2015-01-19;7,2;10,3;0;35,4;27,1;19,9;49;29;2,5;
