Nome: ITABAIANINHA
Codigo Estacao: 83195
Latitude: -11.27222221
Longitude: -37.79499999
Altitude: 205.59
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2023-05-14
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,7;7,3;0;32,5;26,2;22;73,8;53;1,7;
2015-01-02;5;9,3;0;31;26;22,5;71;54;1,5;
2015-01-03;5,1;9,7;0;31,8;25,4;21,8;66,3;43;1,5;
2015-01-04;5,9;8,8;0;31,3;25,7;21,2;69,3;49;2;
2015-01-05;5,1;3,8;0;31,1;25,5;21,7;73,5;49;2,2;
2015-01-06;5,3;9;0;32,1;26,3;22,3;71,5;47;2,2;
2015-01-07;5,3;7,9;0;32;25,8;22,6;73,3;59;2,2;
2015-01-08;4,2;6,7;3,6;30,3;25;22,3;78,3;54;2,2;
2015-01-09;4;8,1;4,6;31,3;25,6;22;70,8;45;1,8;
2015-01-10;5,2;9,7;0;32,1;26,1;22,3;70;46;1,7;
2015-01-11;4,7;8,9;,5;31,2;26,1;22,8;73,3;51;1,7;
2015-01-12;4,5;8,9;0;30,9;25,9;22,9;73,5;51;1,7;
2015-01-13;4,6;7;0;31,2;26;22,6;67,3;44;2,2;
2015-01-14;5,2;9,5;0;31,3;25,7;21,7;68,8;49;2,5;
2015-01-15;6;8,7;0;32,1;26;21,8;67,5;44;1,8;
2015-01-16;6;9,6;0;32,1;26;21,6;67,3;41;1,5;
2015-01-17;6,3;9,1;0;32,3;26,4;22,4;69,8;49;2,2;
2015-01-18;5,7;9,8;0;32,1;26;22,2;68,3;41;2,2;
2015-01-19;5,5;9,8;0;31,9;26;22,1;67,5;43;2,3;
2015-01-20;6,2;9,6;0;32,4;26,2;22,3;69,5;49;2,5;
2015-01-21;5,1;6;0;31,9;26;21,4;72;49;1,8;
2015-01-22;4,7;5,7;0;31,8;26,2;23,2;72;49;2,7;
2015-01-23;4,9;5,7;0;31,7;26,1;22;71,5;54;2,2;
2015-01-24;4,6;5,9;0;30,5;25,6;22,5;77,5;60;2;
2015-01-25;3,3;6,5;1,4;32,1;26,5;22,8;72,5;50;2,2;
2015-01-26;4,1;8,2;0;32,8;26,1;22,2;72,3;47;1,8;
2015-01-27;5,1;9,4;0;32,9;26,2;22;70,3;48;2;
2015-01-28;4,8;9,8;0;32,8;26,1;20,8;64,8;41;1,7;
2015-01-29;5,4;3,6;0;31,8;25,6;21,1;77,3;61;2;
2015-01-30;3,7;3,1;0;30,9;26,1;23;76,3;56;2;
2015-01-31;4;4;0;32,8;26,6;23,1;76,8;60;1,7;
2015-02-01;4,2;9,7;0;32,2;26,5;22,6;72,5;null;1,7;
2015-02-02;5,8;7,9;0;32,1;26,4;22;74;null;1,5;
2015-02-03;4,6;6,7;0;32,1;26,3;22,3;76,5;null;1,1;
2015-02-04;4,1;5,3;0;33,3;27,1;22,8;72,5;null;2;
2015-02-05;5,3;4,4;0;33,5;26,9;23,4;76;null;2,3;
2015-02-06;5,5;9,9;0;33,7;27;23,2;72;null;2,3;
2015-02-07;6,7;9,3;0;33,7;27,1;23,2;72,8;null;2;
2015-02-08;5,7;7,2;0;33;26,7;22,6;70,8;null;1,5;
2015-02-09;5,6;9,3;0;32,3;26,8;23,4;70,8;null;1,5;
2015-02-10;5,6;10,7;0;33,2;26,7;21,9;72,3;50;1,7;
2015-02-11;5,5;4,9;0;30,5;25,9;22,3;77;null;1,5;
2015-02-12;4,4;9,4;,3;33,4;27,2;22,6;71,5;null;1,5;
2015-02-13;5,6;9,4;0;32,7;26,9;23,1;71,8;null;1,2;
2015-02-14;5,7;6,1;0;33,1;26,7;22;72;null;1;
2015-02-15;5,3;4,5;0;32,4;26,6;23,4;74,8;null;1,5;
2015-02-16;4,7;7,9;0;32,7;27;23;72;null;1,7;
2015-02-17;5,6;8,3;0;33,1;27;23,1;73,5;null;1,7;
2015-02-18;5,7;2;,1;29,4;25,2;21,8;86;null;1,3;
2015-02-19;1,3;3,8;12,7;30,5;25,7;21,8;77,8;null;1,7;
2015-02-20;3,4;2,5;4,8;30,1;24,3;21,9;85,8;null;1,3;
2015-02-21;2,1;7,8;13,3;30,9;25,9;22;81,5;null;1,3;
2015-02-22;3,3;2,6;9,5;29,8;24,8;23;83,8;null;1,3;
2015-02-23;3,1;1,4;8,1;28,9;24,7;22,6;89;null;1,3;
2015-02-24;2;2,6;8,9;28,2;24,8;22,8;88,3;null;1,2;
2015-02-25;2,2;8,7;4,9;31,3;26,2;22,6;81,3;null;1,3;
