Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-03-14
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;9,4;7,6;34;25,8;21,6;77,5;55;,7;
2015-01-02;null;10,2;,2;33,6;26,1;21,6;82;60;,3;
2015-01-03;null;8,5;1;34,2;27,1;22,2;78,8;68;,3;
2015-01-04;null;4,3;2,6;32,4;24,6;22;87,8;67;1,4;
2015-01-05;null;8,6;1,8;33,2;24,9;19,6;80;97;,5;
2015-01-06;null;9,4;3;33;25,3;21,2;77,8;53;,7;
2015-01-07;null;7;3,6;33;26,2;21,4;77,8;54;,3;
2015-01-08;null;7,9;0;33,2;26,4;20,5;76,3;63;,7;
2015-01-09;null;9,2;4,4;33,6;24,7;21,2;82,3;56;,7;
2015-01-10;null;8,5;16,8;33;25,4;20,6;82;58;1;
2015-01-11;null;7,8;0;31,3;25,3;21,2;78,5;70;1;
2015-01-12;null;8,1;0;33,8;26,3;21,6;76,8;53;0;
2015-01-13;null;6,1;17,4;31,9;24,9;21,4;81,5;59;,3;
2015-01-14;null;5,8;5;32,8;26;21,9;80,8;57;1;
2015-01-15;null;8,8;0;33,6;26,4;22;75;58;0;
2015-01-16;null;4,9;8;30,7;24,8;21,4;87;72;1;
2015-01-17;null;2,9;1,6;30;24,9;21,2;83,5;69;,7;
2015-01-18;null;4,5;,6;32,4;25,1;21,8;85,5;63;2,1;
2015-01-19;null;3;45;30,1;25,3;21,2;86,3;87;,3;
2015-01-20;null;6,3;17,8;31,3;24,9;21,4;87,3;71;,7;
2015-01-21;null;5,3;29,6;31,9;23,6;19,4;86,5;66;2,1;
2015-01-22;null;6,3;0;32,5;25,2;20,6;82;61;0;
2015-01-23;null;9,5;0;34,2;26,6;22,2;77,3;55;0;
2015-01-24;null;,9;5,4;28,6;24,5;21,8;85,5;70;1;
2015-01-25;null;,9;37,6;26,6;22,5;21;91,5;78;,7;
2015-01-26;null;5,3;2,4;30,3;24,4;21;86,3;68;,3;
2015-01-27;null;3,4;0;32,2;25,3;22,4;91,8;85;0;
2015-01-28;null;5,3;7,8;32,9;24,5;21,8;85;65;,7;
2015-01-29;null;9,3;1;34,6;25;20;82;55;1,4;
2015-01-30;null;9,1;5;33,4;26,6;20,6;77;68;2,7;
2015-01-31;null;9,9;11;34,8;25,2;20,4;75;52;0;
2015-02-01;null;10,2;3,2;33,6;25,3;20;83;67;0;
2015-02-02;null;8,5;0;34,2;26,3;21,4;78,8;54;0;
2015-02-03;null;8,7;null;31,7;null;null;84;65;1;
2015-02-04;null;1,3;0;28,5;24,7;21,9;93;91;,7;
2015-02-05;null;4,8;16;31,3;25,5;22,4;86,3;62;1;
2015-02-06;null;4,5;0;29,4;25,2;22,6;85,3;70;2,1;
2015-02-07;null;5,9;1,8;31,5;25,6;22,8;91;82;1,7;
2015-02-08;null;,9;27,4;27,8;24,2;22;93;83;1;
2015-02-09;null;3,6;3,4;32,8;25,2;22;82,3;63;0;
2015-02-10;null;2,7;11,2;29,5;24,9;21,3;89;82;,3;
2015-02-11;null;4;21,4;32,8;28;21,6;73;54;0;
2015-02-12;null;4,3;2;31,8;25,9;22,2;88,8;77;1;
2015-02-13;null;1,3;3,4;29,2;24,5;22,2;95;91;0;
2015-02-14;null;9,1;1,4;33,2;25,9;21;79,8;63;1;
2015-02-15;null;5;0;32,4;26,6;21,8;80,5;70;1;
2015-02-16;null;7,9;0;33,5;26,7;23,2;79,8;54;1;
2015-02-17;null;3,3;58;28,7;24,3;21,5;93,8;78;1;
2015-02-18;null;,6;2,8;28,8;24,5;22;92,3;93;1,4;
2015-02-19;null;0;2,4;29,1;24;22;96,3;91;0;
2015-02-20;null;0;29,2;25;22,5;21;95;90;,7;
2015-02-21;null;6,1;24,4;30,4;24,6;20,8;82,8;62;1;
2015-02-22;null;6,1;8,2;30,9;25,2;21,2;75,8;63;1,7;
2015-02-23;null;10,2;1,6;32,4;25,9;19,9;73,5;61;,3;
2015-02-24;null;9,9;0;31,9;24,9;21,2;81,8;53;1,4;
2015-02-25;null;7;0;31,3;26;21;80,3;60;,3;
2015-02-26;null;1,5;0;31,7;24,3;21,2;88,8;68;,7;
2015-02-27;null;3,9;44,2;32,4;24,3;21,2;87,5;62;1;
2015-02-28;null;3,5;2;31,8;25,6;21,8;82,8;69;0;
2015-03-01;null;2,8;0;31,4;26,5;23;80,3;84;1;
2015-03-02;null;3,1;1;31,7;26,2;22,8;83,3;69;1;
2015-03-03;null;2;1,6;31,5;24;20,8;88;69;,7;
