Nome: FEIRA DE SANTANA
Codigo Estacao: 83221
Latitude: -12.1961111
Longitude: -38.96722221
Altitude: 229.52
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2018-12-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;2,3;0;33,5;27,6;20,9;65,3;null;3,9;
2015-01-02;,4;null;0;32;26,1;21,4;72,8;null;2,5;
2015-01-03;5,8;2,1;0;33;25,6;20,8;71;null;3,1;
2015-01-04;3,6;3;0;32;24,6;17,4;73,5;null;3,1;
2015-01-05;3,5;0;0;34,4;26,3;19,8;75,8;null;4,2;
2015-01-06;4,1;2,4;0;33;26,5;21,6;77,5;null;4,5;
2015-01-07;4,2;5,8;0;31,8;25,4;20,6;81,8;null;3,6;
2015-01-08;3,1;0;0;30,2;24,2;20,8;95,3;null;2,7;
2015-01-09;,6;,5;10,2;28,5;24,5;20,8;85,3;null;2,6;
2015-01-10;1,6;9,2;2,8;31,2;25,1;19,2;80,3;null;3,7;
2015-01-11;2,7;2,4;0;32,2;26;21,7;73,8;null;3,2;
2015-01-12;3,5;9,1;0;33,4;26,1;20,2;73,8;null;4,1;
2015-01-13;4,2;4,8;0;32,4;25,7;19,6;77,8;null;2,7;
2015-01-14;3,7;null;0;null;26,1;19;70;null;3,3;
2015-01-15;3,9;7,5;0;33,5;25,9;19;75,8;null;4,1;
2015-01-16;2,5;9,6;0;33,2;25,7;19,1;77,3;null;3,6;
2015-01-17;6,5;7,2;0;37,6;27,3;20,7;79;51;3,2;
2015-01-18;4,1;6,4;0;34,1;26,7;20,4;73,5;null;3,3;
2015-01-19;5,4;8,5;0;34,8;27;20,6;77,3;null;4;
2015-01-20;4,2;9,2;0;33;26,2;19,6;80,3;null;5,2;
2015-01-21;3,6;3,8;0;33,2;26,5;20,6;77,3;null;2,5;
2015-01-22;3,2;1,7;0;33,6;26,9;23;83;null;3,9;
2015-01-23;4;4;0;33,4;26,7;21;76,8;null;3,7;
2015-01-24;4,3;3,3;0;31,8;25,7;20,2;86,5;null;4;
2015-01-25;4,7;4,1;0;33,8;26,5;20,4;82,3;null;4,5;
2015-01-26;3,4;5;0;34,6;27;21;76,3;null;3,8;
2015-01-27;4;9,5;0;35;26,7;20,4;75,5;null;3,2;
2015-01-28;5;11,4;0;33,8;26,6;19,8;70;null;4,8;
2015-01-29;5,7;10,2;0;33,2;26,3;20,2;78;null;3,9;
2015-01-30;4;5,8;0;33,8;27,1;21,2;76,8;null;4,1;
2015-01-31;3;4,1;0;33,8;26,9;22,6;79;null;2,6;
2015-02-01;3;8,1;0;34,8;27,5;21,2;68,3;null;3,6;
2015-02-02;3,3;8,4;0;34,6;26,9;20,2;75,5;null;2,6;
2015-02-03;3;8,2;0;34,4;26,8;20;74,3;null;4,2;
2015-02-04;2,7;1,8;0;34,6;27,4;21,8;76,3;null;3,5;
2015-02-05;1,7;4,4;0;36,1;27,5;20,9;77,5;null;1,8;
2015-02-06;2,3;4,3;0;35,4;28,5;23,2;64,8;null;5,4;
2015-02-07;3;3,2;0;35,3;28,2;23,4;70;null;5;
2015-02-08;2,2;2,3;0;34,4;27,1;21,7;68;null;3;
2015-02-09;1,8;9,3;0;34,4;26,8;20,7;73;null;4,7;
2015-02-10;3;9,2;0;35;26,8;20,3;69,8;null;3,3;
2015-02-11;2,4;9,2;0;31,4;26,4;21,6;70,5;null;4,6;
2015-02-12;3,6;null;0;null;25,9;19,4;79;null;4,7;
2015-02-13;,2;4,2;0;33,4;26,3;22,4;75,3;null;3,2;
2015-02-14;1,8;null;0;null;26,5;19,8;63,3;null;3,1;
2015-02-15;1,8;5,2;0;32,2;26,9;22,2;69,3;null;2,6;
2015-02-16;2,3;6,9;0;33;27,3;21,6;67,3;null;4,4;
2015-02-17;1,1;5,8;0;35;27,1;21,6;70,3;null;3,7;
2015-02-18;2,4;1,2;0;35;26,3;21,2;83,8;null;3;
2015-02-19;1;1,9;40;32;25,8;21;91,5;null;2,5;
2015-02-20;1;2,6;0;29,6;24,8;20;93,8;null;1,8;
2015-02-21;,5;6,8;5,5;32,2;25,3;20;91,5;92;3,8;
2015-02-22;1,5;,8;22,8;29,4;24,5;20;94,5;null;1;
2015-02-23;0;1,7;16;29,1;24;20,4;87,3;null;null;
2015-02-24;,5;3,7;7,2;30,7;24,8;20,4;82,8;null;null;
2015-02-25;1,2;2,8;4;30,5;25,6;20,6;82,5;null;null;
2015-02-26;,5;1,2;1;28,5;24,9;22,2;87,5;null;null;
2015-02-27;1;6,2;1;32,7;26,4;22,3;80,8;null;null;
2015-02-28;,9;6,7;0;33,4;27;21,8;78,3;null;null;
2015-03-01;1,1;7,9;7;33;26,3;21,2;77,8;null;null;
2015-03-02;,9;9,3;0;33,4;26,5;23;78,5;null;null;
2015-03-03;3,4;4,6;,2;32,6;26,8;22,4;73;null;null;
2015-03-04;2,4;3,9;0;30,9;25,9;20;81,3;null;null;
2015-03-05;1,6;7,4;2,2;32,6;25,8;19,1;86,8;null;null;
2015-03-06;1,6;8,1;1,2;31,6;26,1;21,4;80;null;null;
2015-03-07;2;8,6;0;32,4;26;19,4;72,8;null;null;
2015-03-08;1,5;8,9;0;32;26,3;20;75;null;null;
2015-03-09;1,6;null;0;32,1;26,6;21,4;76;null;null;
2015-03-10;1,3;8,8;0;32,2;27;22,2;73,5;null;null;
2015-03-11;1;10,8;0;33,6;26,9;21,6;68,5;null;null;
2015-03-12;2,6;9,6;0;33,8;26,4;19;69,8;null;null;
2015-03-13;1,9;9,9;0;33,6;26,7;21;74,8;null;null;
2015-03-14;1,5;7,6;0;32,8;25,6;19,8;75;null;null;
2015-03-15;1,8;9,7;0;33;26,3;18,4;70,5;null;null;
2015-03-16;1,7;9,5;0;33,2;25,9;19,8;71,8;null;null;
2015-03-17;1,5;3,8;0;34,1;26,9;21,2;73,8;null;null;
2015-03-18;1,1;6,1;4,8;31,6;25;20;81,3;null;null;
2015-03-19;1,5;5,6;0;32,7;26;20,6;73;null;null;
2015-03-20;3,9;3,4;0;31,6;26,1;20;75;null;null;
2015-03-21;3,1;2,9;0;33,4;25,2;19,8;85,5;null;null;
2015-03-22;,5;,7;4;33,8;26,2;19,8;74,5;53;null;
2015-03-23;1,5;,7;0;34,2;26,5;20,2;78,5;null;null;
2015-03-24;2,1;8,6;0;35;27;20,8;75;null;null;
2015-03-25;4,3;10,4;0;35;27,9;23,6;75,5;null;null;
2015-03-26;1,8;5,3;5;35;26,8;22,6;89,3;null;null;
2015-03-27;,8;9,4;1;35;27,5;22,8;78,3;null;null;
2015-03-28;2,5;null;0;35,2;28,2;23,8;73,5;null;null;
2015-03-29;1,6;null;0;null;26,3;21;87,3;null;null;
2015-03-30;2,4;9,4;0;34,4;26,5;19,9;72,3;null;null;
2015-03-31;3,1;11;0;34,1;26,4;20,2;76,3;null;null;
2015-04-01;3,5;9,2;0;34,3;25,9;19,2;75,3;null;null;
2015-04-02;5;9,3;0;34,3;25,8;18,2;72,3;null;null;
2015-04-03;4;10;0;33,8;25,9;18,9;78;null;null;
2015-04-04;2,5;9;0;null;26,7;19,9;77,3;null;null;
2015-04-05;3;3,9;0;32,8;27,4;23,2;79,3;null;null;
2015-04-06;1,6;8,6;0;36,4;28,4;21,8;67,3;null;null;
2015-04-07;3,1;9,3;0;38;29,6;23,2;70;null;null;
2015-04-08;2,8;0;1;29;24,5;21,3;87,3;null;null;
2015-04-09;1,2;,6;1,5;29,4;26,5;19,8;79;null;null;
2015-04-10;,8;,3;20,4;27,4;24,2;22,2;95,5;null;null;
2015-04-11;,2;0;77,8;28,8;23,4;18,4;95,5;null;null;
2015-04-12;1,2;0;1;29,8;25,4;21;79,5;null;null;
2015-04-13;,9;0;,5;29,4;24,8;21;88,8;null;null;
2015-04-14;1;3,4;0;29,6;25,5;22,6;88,3;null;null;
2015-04-15;,6;2,7;0;28,8;25,2;22,4;90;null;null;
2015-04-16;,7;7,8;0;31,4;26,1;21,6;72,8;null;null;
2015-04-17;1,2;7,4;0;31,2;26;21,4;80;null;null;
2015-04-18;1,6;8,7;0;32;26,8;21,4;80;null;null;
2015-04-19;7,8;8,1;0;31;26;21,2;86,8;null;null;
2015-04-20;2,4;7,6;0;32,4;26,5;21,8;81,3;null;null;
2015-04-21;1,9;9,4;0;32,6;27,7;22,4;63;null;null;
2015-04-22;2;8,2;0;33,2;26,6;21,5;80,8;null;null;
2015-04-23;1;7,1;0;32,8;26,9;22,5;82;null;null;
2015-04-24;1,5;5,7;0;31,9;26,9;23,6;87,3;null;null;
2015-04-25;2,7;6,5;0;32,9;26,2;23,4;87,3;null;null;
2015-04-26;1;2,3;,4;32,4;25,9;23,1;88,5;null;null;
2015-04-27;,7;0;8,5;27,9;23,8;21,4;94,5;null;null;
2015-04-28;,8;6,2;1,1;29,9;25,3;22,1;85,5;null;null;
2015-04-29;1;4,3;0;30,4;25,4;21,8;84;71;null;
2015-04-30;,7;2,9;0;29,4;25,2;22,4;86,3;74;null;
2015-05-01;1,3;1,3;0;27,1;24;21,6;86,3;null;null;
2015-05-02;,4;0;3,1;25;23,4;21,2;90,5;null;null;
2015-05-03;,6;1,3;1;28,4;24,1;21,5;86,5;null;null;
2015-05-04;,2;4,9;3,9;29,4;24,4;21;88,3;null;null;
2015-05-05;,6;2,3;0;29,5;24,8;21,8;87,3;null;null;
2015-05-06;,7;6,3;2,2;30,3;25,3;20,6;77,3;null;null;
2015-05-07;1,1;6,3;0;32;24,8;19,9;82;null;null;
2015-05-08;1,8;7,3;0;31,8;25,3;20,4;77,8;null;null;
2015-05-09;1,6;2,6;,1;27,9;23,7;20,8;81,3;null;null;
2015-05-10;,6;,9;2,8;26,2;23,6;21,3;92;86;null;
2015-05-11;,3;1,9;2,4;27,5;23,7;21,2;86,3;null;null;
2015-05-12;,6;7;0;31,4;25,6;20,4;78,5;null;null;
2015-05-13;1,5;1,7;0;30,8;25,4;21,2;86,5;null;null;
2015-05-14;1;3,5;2,8;30,9;24,6;22,2;83,5;null;null;
2015-05-15;1;0;41,2;23,6;21,9;20,4;92;null;null;
2015-05-16;1;,4;37,8;24,3;22,3;19,8;93,3;null;null;
2015-05-17;1,8;,8;31,3;26;23,1;20,4;89;null;null;
2015-05-18;,6;,4;11;26;23,3;21,2;84,5;null;null;
2015-05-19;,6;,7;1,6;25,8;23;20;89,8;null;null;
2015-05-20;,6;,6;0;27,1;23,2;20;87,3;null;null;
2015-05-21;1,3;1,2;2,2;26,4;23,1;21;90,3;null;null;
2015-05-22;,7;,3;7,1;26,6;23,2;20,8;89,8;null;null;
2015-05-23;1,2;null;1,6;null;null;20;null;null;null;
2015-05-24;1,2;0;1,4;27;23,2;20;84;null;null;
2015-05-25;,8;1;1,8;26;23;19,6;90;null;null;
2015-05-26;,2;,3;3;25,6;23,1;21,4;95,8;null;null;
2015-05-27;,7;7,3;2,7;28,5;23;18,8;84;null;null;
2015-05-28;,8;5,7;0;28,3;22,9;18,5;87,3;null;null;
2015-05-29;1,2;5,6;0;28,7;23,3;18,6;84,5;null;null;
2015-05-30;1,1;6,6;0;29,6;23,6;18,9;84;null;null;
2015-05-31;1,2;3,7;0;28,2;23,3;19,1;88,8;null;null;
2015-06-01;1;1,3;1;26,9;23,1;18,8;91,3;null;null;
2015-06-02;1,1;1,4;1,8;26,4;23,1;21,1;94,5;null;null;
2015-06-03;1,1;3;1;27,6;23,1;19,8;89,8;null;null;
2015-06-04;1,8;1;11,3;26;22,9;20,4;93,3;null;null;
2015-06-05;2,3;4,1;5;27,5;23,5;20,6;85,3;null;null;
2015-06-06;1,9;1;7,8;27,4;23,7;20,8;95,8;null;null;
2015-06-07;1,1;,1;14,6;26,2;23,1;20,4;94,5;null;null;
2015-06-08;,2;1,3;2,6;26;23,1;19,8;93;null;null;
2015-06-09;,3;2,1;5;27,4;23,7;20,8;88,5;null;null;
2015-06-10;1;4,2;1,2;27,8;24;21;90;null;null;
2015-06-11;,7;3,2;4,2;27,8;23,6;21;85,3;null;null;
2015-06-12;1,4;4,6;0;26,8;22,8;17,8;84;null;null;
2015-06-13;2,1;,2;0;26,8;23,4;19,4;87,5;null;null;
2015-06-14;1,2;null;2,4;25,8;22,7;20,4;94,8;null;null;
2015-06-15;,8;6,4;2,6;29,8;24,2;19,2;86,8;null;null;
2015-06-16;1,6;4,8;0;28,7;23,2;18,8;86;null;null;
2015-06-17;1,3;7,1;0;27,8;22,8;17,6;82,3;null;null;
2015-06-18;1,5;2,6;0;27,4;22,5;19;88,8;null;null;
2015-06-19;,6;2,8;0;26,9;22,6;18,2;88,8;null;null;
2015-06-20;1,1;3,8;6,2;26,4;22,2;19,6;88;null;null;
2015-06-21;1;2,8;0;26,7;22;18;88,8;null;null;
2015-06-22;1,1;2;0;27,4;22,3;18,7;87;null;null;
