Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,9;10,8;0;null;null;21,6;null;null;null;
2015-01-02;6,6;6,3;0;null;null;22,3;null;null;null;
2015-01-03;6,5;9,3;0;null;null;22;null;null;null;
2015-01-04;6,6;9;0;null;null;21,5;null;61;null;
2015-01-05;4,9;4,7;,5;null;null;21,4;null;null;null;
2015-01-06;5,4;6,9;0;null;null;22,2;null;null;null;
2015-01-07;5,8;3,3;,6;null;null;22;null;null;null;
2015-01-08;4,4;0;0;null;null;21,4;null;null;null;
2015-01-09;1,8;1,8;3,4;null;null;21,6;null;null;null;
2015-01-10;2,7;8,5;,2;null;null;21,2;null;null;null;
2015-01-11;5;7,5;0;null;null;23;null;null;null;
2015-01-12;6,5;9,8;0;null;null;21,6;null;null;null;
2015-01-13;5,8;7,4;0;null;null;21,7;null;null;null;
2015-01-14;6,2;7,9;0;null;null;21;null;null;null;
2015-01-15;6,5;7,5;1,6;null;null;22;null;null;null;
2015-01-16;5,8;6,6;0;null;null;21,8;null;null;null;
2015-01-17;6;6,3;0;null;null;21,4;null;null;null;
2015-01-18;6,9;9,4;0;null;null;23;null;null;null;
2015-01-19;4,7;9,2;0;null;null;21;null;null;null;
2015-01-20;6,5;6,9;0;null;null;21,2;null;null;null;
2015-01-21;5,3;6,9;0;null;null;22;null;null;null;
