Nome: PEIXE
Codigo Estacao: 83228
Latitude: -12.01527777
Longitude: -48.54499999
Altitude: 252.24
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,4;10,3;0;35,7;28,1;22,6;73,8;63;,9;
2015-01-02;4,9;7,8;,1;35,4;28,3;23,3;70,8;49;,7;
2015-01-03;4,9;9,2;0;37,6;28,2;21,9;71,5;37;1,6;
2015-01-04;4,9;6,4;,4;32,1;26,6;23,3;87;66;1,7;
2015-01-05;2,5;9,7;3,1;34,6;27,6;22,4;71,5;49;1,6;
2015-01-06;4,4;7,5;0;33,2;27,3;23,3;74,5;60;2,2;
2015-01-07;4,3;7;0;34,5;27,6;22,6;74;56;,8;
2015-01-08;7,7;8,4;15;33,8;27,4;23,1;74,5;55;,6;
2015-01-09;3,7;3,2;0;33,5;27,8;24,5;83,3;73;1,7;
2015-01-10;2,6;10,4;0;36,2;28,5;23,6;73,5;46;1,9;
2015-01-11;5,5;0;8,2;29,2;25,3;23,1;89;76;0;
2015-01-12;1,2;1,6;4,6;31;26;22,9;82,3;61;,4;
2015-01-13;2,5;9,8;0;34,4;27;21,9;74,3;47;0;
2015-01-14;4,2;9,1;0;34,8;26,9;22,3;70,5;47;,4;
2015-01-15;4,4;6,2;0;34,2;26,1;22,1;76;49;,4;
2015-01-16;3,7;0;0;28,7;24,7;22;86;77;0;
2015-01-17;1,9;4;0;32,3;26,3;22,8;76;58;2;
2015-01-18;4,5;7,4;0;35,6;27,5;22,9;70,3;46;1,9;
2015-01-19;6;0;,2;28;24,4;21,8;85;74;1;
2015-01-20;1,2;8;14,8;33,4;26;21,7;74,8;59;2,2;
2015-01-21;3,7;3;0;29,2;24,5;21,9;86;72;1,8;
2015-01-22;2,4;10,5;1;34,5;26,1;20,5;69,8;44;2,3;
2015-01-23;5,1;8,3;0;34,7;27,2;22,4;68,8;38;1,2;
2015-01-24;5,7;4;0;32;25,6;23;87,5;70;1,3;
2015-01-25;2,2;1;13,8;26;23,1;19,9;90;82;1;
2015-01-26;1;7,5;46,2;32,6;25,6;19,9;78,3;54;1,2;
2015-01-27;3,7;8,6;0;34,7;26,7;22,7;77;48;,4;
2015-01-28;3,8;11,2;1,3;35,8;28,3;22,7;69,8;45;,7;
2015-01-29;5;9,7;0;36,2;28,1;22,7;72,5;46;0;
2015-01-30;5,2;11,3;0;37,4;29,1;23,3;70;39;0;
2015-01-31;5,2;10,6;0;37;28,7;23,1;63;37;2,1;
2015-02-01;6,7;,9;28,6;29,8;24,5;20,7;88;71;0;
2015-02-02;1,7;10,1;0;34,4;26,1;21,3;76;47;1,6;
2015-02-03;3,8;11,3;2,8;33,6;26,5;22,1;71,8;51;3,1;
2015-02-04;4,2;8,2;17,5;31,5;26;21,9;77,5;63;1,8;
2015-02-05;3;5,8;,3;32;25,2;22,8;88,8;80;3,6;
2015-02-06;2,4;,1;27,5;27;23,9;22,8;90,5;84;1,8;
2015-02-07;1,1;0;16,3;25,9;23,7;22,3;92,5;90;,9;
2015-02-08;,9;,9;4,3;28,4;24,3;22;87,5;69;,7;
2015-02-09;2;,5;0;27,3;23,8;22,1;87,5;77;1,4;
2015-02-10;2,1;4,3;0;33,7;25,3;22,4;85,8;74;2,8;
2015-02-11;4,1;11,1;14,6;35;27,2;22,4;74,5;45;,6;
