Nome: TAGUATINGA
Codigo Estacao: 83235
Latitude: -12.40222222
Longitude: -46.43833333
Altitude: 604.88
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;null;0;34;27,8;22,6;null;69;0;
2015-01-02;5,5;null;0;35,2;28,3;22,1;null;45;,5;
2015-01-03;7,6;null;0;36,2;28,7;22,1;null;59;0;
2015-01-04;8,5;null;0;34,9;27,6;24,5;null;48;2,5;
2015-01-05;6,5;null;0;30,6;25,7;22,1;null;66;,5;
2015-01-06;3;null;9;33,2;26,9;22,1;null;66;0;
2015-01-07;4,5;null;,5;34,4;27,9;22,1;null;58;,5;
2015-01-08;7;null;0;34,2;28,4;23,6;null;58;2;
2015-01-09;9;null;0;34,2;28,2;23,6;null;55;2;
2015-01-10;9;null;0;36,2;29,3;24,6;null;53;,5;
2015-01-11;9,5;null;0;35,2;29,6;25;null;48;2;
2015-01-12;7,5;null;0;33,4;28,2;25,5;null;57;0;
2015-01-13;7,5;null;0;35,2;29,1;22,9;null;54;1,5;
2015-01-14;10;null;0;35;28,3;23,5;null;43;0;
2015-01-15;10,3;null;0;32,7;26,9;22,8;null;51;0;
2015-01-16;7,7;null;0;33,3;27,1;23,6;null;55;0;
2015-01-17;7;null;0;33,2;27,5;23,2;null;64;,5;
2015-01-18;5;null;0;33,2;27,3;23,2;null;67;0;
2015-01-19;4,4;null;2,9;31,5;25,3;22,1;null;63;0;
2015-01-20;2,6;null;9,3;32,6;24,9;21,5;null;78;1,5;
2015-01-21;3,3;null;7;33,4;25,6;20,9;61,3;47;1;
2015-01-22;5,7;null;8,4;31,7;24,5;19,3;65;52;,3;
2015-01-23;5,2;null;0;31,3;25,4;20,9;73,5;66;0;
2015-01-24;3,8;null;10,2;29,1;24,3;21,4;84;72;0;
2015-01-25;2,3;null;12,4;29,2;23;20,9;81,8;69;,3;
2015-01-26;2;null;21,2;30,2;24,8;20,3;70;54;,7;
2015-01-27;4;null;0;30,2;25,8;22,1;77,5;66;0;
2015-01-28;3;null;2,4;34,6;27,4;21,4;56,5;44;0;
2015-01-29;7;null;0;35,9;28,7;22,1;49,8;33;,3;
2015-01-30;9;null;0;36,3;29,7;23,6;51,5;35;,7;
2015-01-31;8,5;null;5,7;36,2;27,7;21,7;59,5;43;,7;
2015-02-01;5,9;null;34;28,2;22,3;20,3;93,8;73;,3;
2015-02-02;1;null;0;30,7;24,7;20,3;75,8;58;,3;
2015-02-03;3,8;null;0;32,2;24,7;20,7;73,5;60;,7;
2015-02-04;3,8;null;2;31,3;24,5;20,5;84,3;77;,3;
2015-02-05;3,6;null;10,4;28,5;23,7;21,3;86;77;,3;
2015-02-06;1,3;null;4,6;25,3;22,5;21,5;94,3;94;0;
2015-02-07;,9;null;5,6;25,3;22,7;21,2;87,3;84;0;
2015-02-08;1,1;null;3,3;28,8;23,6;20,4;79,8;58;0;
2015-02-09;2,6;null;1;31,9;24,2;21,2;85,3;78;0;
2015-02-10;2;null;14,2;33,2;25,4;21,5;79;60;,3;
2015-02-11;4;null;0;34,4;27,7;22,1;53,8;36;,7;
2015-02-12;8,5;null;0;34,2;27,6;22,1;57,3;39;,3;
2015-02-13;7,5;null;,2;35,6;28,3;22,3;46;32;0;
2015-02-14;8,9;null;,4;34,2;27,6;23,6;59,3;42;,7;
2015-02-15;6,1;null;0;32,3;25,4;21,5;79,3;64;,7;
2015-02-16;3,8;null;7,2;32,3;26,1;21,5;70,3;53;,3;
2015-02-17;5,3;null;0;31;25,7;23,1;82,3;67;0;
2015-02-18;3,5;null;9,4;33,7;24,5;21,6;83,5;61;0;
2015-02-19;1,9;null;6,7;27,7;22,3;20,7;93;86;0;
2015-02-20;1,4;null;9,6;28,7;23,9;20,9;87,8;82;0;
2015-02-21;3;null;5,6;32,5;25,9;20,1;57,3;40;,3;
2015-02-22;6,1;null;0;33,4;24,9;20,8;67;39;,3;
2015-02-23;5,2;null;8,3;29;23,4;19,4;79,5;70;0;
2015-02-24;3,6;null;,8;29,9;24,4;21,7;70,8;56;1;
2015-02-25;6,3;null;0;33,5;27,1;21,6;61,8;49;,3;
2015-02-26;6,2;null;3,4;34,7;28,6;23,2;60,5;44;0;
2015-02-27;6,3;null;0;28,7;24;21,5;89;65;0;
2015-02-28;1,6;null;46,3;32,3;24,8;21;79,5;64;,3;
2015-03-01;3,8;null;0;30,5;23,8;21,3;79;60;,3;
2015-03-02;3,8;null;0;30,2;24,9;20,1;80;72;,7;
2015-03-03;4;null;,3;33,2;26,6;21,9;73,5;60;0;
2015-03-04;3,5;null;0;31,4;25,1;21,7;77,8;70;0;
2015-03-05;3;null;18,8;31,2;25,3;21,4;72,3;67;0;
2015-03-06;3,5;null;,1;34,2;26,2;21,3;68,5;49;,3;
2015-03-07;4,9;null;3,7;31;24,3;19,1;79,3;70;,3;
2015-03-08;2,6;null;27;32;25;19,1;80,3;63;,7;
