Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.15583333
Longitude: -45.00833333
Altitude: 447.51
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;11,9;0;34,1;28,2;21,2;null;null;3,2;
2015-01-02;4,9;11,5;0;34,6;26,4;18,3;null;null;,7;
2015-01-03;4,3;12;0;36;28;20,3;null;null;,4;
2015-01-04;6;11;0;34,4;26,9;18,5;null;null;1,5;
2015-01-05;5,4;11,6;0;32,9;26,9;21;null;null;1,2;
2015-01-06;4,5;9,3;0;35,1;26,5;20,4;null;null;1,7;
2015-01-07;5;10,3;0;34,4;27,2;21;null;null;1,8;
2015-01-08;3,7;8,5;4;33,1;26,5;21;null;null;,9;
2015-01-09;2,1;11,3;1,4;35,3;27;20,1;null;null;,7;
2015-01-10;4,7;8,9;0;35,5;27,1;21,4;null;null;1,3;
2015-01-11;3,4;7,2;2,5;35,4;27,9;21;null;null;,4;
2015-01-12;5,8;8,2;0;34,6;27,3;21,8;null;null;3,2;
2015-01-13;5,7;8;0;35,5;27,3;19,3;null;null;1,2;
2015-01-14;6,3;6,1;0;34,3;26,8;19,4;null;null;1,4;
2015-01-15;6,4;8,9;0;34,9;26,4;18,6;null;null;,9;
2015-01-16;5;6,2;0;35,6;27,4;22,5;null;null;,4;
2015-01-17;4,1;8,6;,4;35,9;28,3;21,7;null;null;,4;
2015-01-18;5,8;9,7;0;37,1;28,9;21,7;null;null;,4;
2015-01-19;5,9;8,8;0;34,4;27,5;21,3;null;null;,4;
2015-01-20;4,9;10,6;0;36,4;27,9;22,4;null;null;1,3;
2015-01-21;5,6;10,8;0;36,6;26,7;21,4;null;null;2,5;
2015-01-22;5,5;6,9;5;34,9;25,2;21;null;null;2,2;
2015-01-23;3,4;7,3;20;32,7;24,3;20,8;null;null;2,9;
2015-01-24;2,5;5,5;17;32,5;26,2;21;null;null;0;
2015-01-25;3,5;5,1;0;31,7;23,9;20,5;null;null;1;
2015-01-26;2,4;3,7;153,2;29,5;23,7;19,9;null;90;0;
2015-01-27;1,4;11,1;0;33;25,7;20;null;null;0;
2015-01-28;3,5;8,9;0;32,1;24,8;19,2;null;null;1,2;
2015-01-29;3,1;11,7;0;34,8;25,5;18,8;null;null;,2;
2015-01-30;3,9;11,6;0;35,2;26,5;19,1;null;null;,5;
