Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;10,7;0;33,2;26,4;18,2;63;null;null;
2015-01-02;null;8,4;0;33,2;26,2;19,2;65;null;null;
2015-01-03;null;9,3;0;33,2;25,6;16,8;64;null;null;
2015-01-04;null;11,9;0;33,8;25,4;16,2;61,8;null;null;
2015-01-05;null;9,7;0;33,6;25,8;17,6;65,3;null;null;
2015-01-06;null;8,7;0;34,6;26,5;18,8;63,3;null;null;
2015-01-07;null;5,5;0;30,2;25,2;18,6;70,3;null;null;
2015-01-08;null;4,7;1,8;30,6;23,9;17,6;71,3;null;null;
2015-01-09;null;1,9;1,2;30,2;24,2;17,2;73,8;55;null;
2015-01-10;null;8,2;0;33;26;18,4;65;null;null;
2015-01-11;null;9,4;,5;34,4;26,3;18;63,3;null;null;
2015-01-12;null;9,8;0;34,8;26,9;19,4;59,5;null;null;
2015-01-13;null;6,4;0;34;25,9;17,2;63,5;null;null;
2015-01-14;null;9,8;0;34,4;25,9;17,4;60;null;null;
2015-01-15;null;9,2;0;34;26,2;18,4;62;null;null;
2015-01-16;null;10,7;0;34,4;26,5;18,4;61;null;null;
2015-01-17;null;9,7;0;34,2;26,6;18,2;58,8;null;null;
2015-01-18;null;10,6;0;34,4;26,6;19,6;60,8;null;null;
2015-01-19;null;10,6;0;33,8;26,4;17,8;60;null;null;
2015-01-20;null;8,3;0;null;null;18,4;62,8;null;null;
2015-01-21;null;7,2;0;null;null;18,2;61,3;null;null;
2015-01-22;null;6,4;0;null;null;18,4;64,3;null;null;
2015-01-23;null;8,2;0;null;null;18,8;60,5;null;null;
2015-01-24;null;10,3;0;null;null;18;68,5;null;null;
2015-01-25;null;2,8;0;null;null;18,2;66,3;null;null;
2015-01-26;null;3,6;2,1;null;null;18,4;65,5;null;null;
2015-01-27;null;9,4;0;null;null;18,4;59,8;null;null;
2015-01-28;null;8,1;0;null;null;19;55,5;null;null;
2015-01-29;null;10,6;0;null;null;15,6;59,5;null;null;
2015-01-30;null;3,7;0;null;null;18,4;64,8;null;null;
2015-01-31;null;3,7;0;null;null;17,2;63;null;null;
2015-02-01;null;6,8;,5;null;null;19;60,3;40;null;
2015-02-02;null;7,9;,5;null;null;18;62,8;41;null;
2015-02-03;null;9,8;,2;null;null;18;61,5;41;null;
2015-02-04;null;6,4;0;null;null;18,8;55,8;43;null;
2015-02-05;null;6,5;0;null;null;17;64,8;37;null;
2015-02-06;null;4,2;64;null;null;17;66,5;51;null;
2015-02-07;null;2,1;22;null;null;18,6;65,8;53;null;
2015-02-08;null;3,8;0;null;null;18,8;66,3;49;null;
2015-02-09;null;7,8;0;null;null;18,2;66,3;46;null;
2015-02-10;null;11,3;1,8;null;null;17,6;63,8;43;null;
2015-02-11;null;11,4;,7;null;null;18,6;58,3;40;null;
2015-02-12;null;11,2;0;null;null;17,4;59,3;42;null;
2015-02-13;null;8,2;0;null;null;19;61,3;43;null;
2015-02-14;null;9,6;0;null;null;17,4;60,3;44;null;
2015-02-15;null;7,2;0;null;null;18;64;42;null;
2015-02-16;null;9,4;0;null;null;18,6;63;42;null;
2015-02-17;null;8,8;22,2;null;null;18,6;61,5;43;null;
2015-02-18;null;8,1;0;null;null;18,4;66,5;41;null;
2015-02-19;null;5,2;0;null;null;17,8;67,3;50;null;
2015-02-20;null;4,9;0;null;null;17;69;48;null;
2015-02-21;null;7,6;,5;null;null;16,8;65,3;43;null;
2015-02-22;null;,2;23;null;null;17;70;61;null;
2015-02-23;null;,9;2;null;null;17,4;75;71;null;
2015-02-24;null;9,1;14;null;null;17;72;54;null;
2015-02-25;null;5,8;0;null;null;17,2;70,5;62;null;
2015-02-26;null;8,4;0;null;null;18,8;67,3;46;null;
2015-02-27;null;6,9;0;null;null;18;62,5;46;null;
2015-02-28;null;5,6;0;null;null;19,2;58,3;45;null;
2015-03-01;null;8;0;null;null;19,4;62,3;47;null;
2015-03-02;null;8;0;null;null;18,4;63;44;null;
2015-03-03;null;2,3;,2;null;null;19;71,3;66;null;
2015-03-04;null;10,3;3;null;null;17;65,8;47;null;
2015-03-05;null;10,3;0;null;null;17,8;61,5;44;null;
2015-03-06;null;5,1;,3;null;null;19;65,8;43;null;
