Nome: SAO JOSE DO RIO CLARO
Codigo Estacao: 83267
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;6,5;0;32,4;25,8;20,7;85,8;69;,7;
2015-01-02;null;11;0;35,2;26,3;20,2;84,3;58;1,5;
2015-01-03;null;9,6;5,5;34,2;25,9;20,5;85;67;,7;
2015-01-04;null;9,9;0;34,4;26,7;23,2;80;57;1,5;
2015-01-05;null;8;37;34,2;25,3;20,8;87;91;,5;
2015-01-06;null;9,6;0;34,5;25,8;20,2;95,5;94;1,2;
2015-01-07;null;6,7;6,6;31,8;25,5;20,8;87,3;65;,7;
2015-01-08;null;8,5;1,5;34;26,8;21,8;83,5;59;,3;
2015-01-09;null;5,8;0;32;25,1;21,9;91;78;,9;
2015-01-10;null;3,9;1,9;32,3;24,6;19,8;92,3;78;,3;
2015-01-11;null;9,5;0;34,4;25,5;21,2;85,5;67;,3;
2015-01-12;null;4,7;3,2;31,8;24;20,7;91;73;,7;
2015-01-13;null;7,6;0;33,3;24,3;20,3;88,8;69;1;
2015-01-14;null;7,4;7,8;33,5;24,6;21;90,3;68;,7;
2015-01-15;null;6;15;33;24,2;21,2;91,5;72;,7;
2015-01-16;null;8,5;8,3;34,2;24,8;20,7;87,5;61;,3;
2015-01-17;null;7,9;9,5;31,9;24,8;21;91;78;,3;
2015-01-18;null;1,5;0;30,2;23,9;20,1;97;96;0;
2015-01-19;null;7,4;9,4;33,4;25,5;21,1;90,3;71;1,5;
2015-01-20;null;2,5;0;32;24,8;20,8;88,8;69;,3;
2015-01-21;null;10,6;0;32,9;24,9;19,1;81,3;65;1;
2015-01-22;null;6,8;0;33,2;25,2;21,7;90;70;,3;
2015-01-23;null;10;13,5;35;25,4;21,1;86,3;66;,9;
2015-01-24;null;6,7;1,6;32,8;25,2;21,3;88,8;65;1,4;
2015-01-25;null;2,5;23,1;31;24,4;20,8;96;92;1,2;
2015-01-26;null;6,3;23,5;30,9;24,7;21,3;93,5;80;,7;
2015-01-27;null;1;29,8;29,7;23,9;21,5;95;85;,3;
2015-01-28;null;0;2,6;25,2;22,9;22;96,8;93;,7;
2015-01-29;null;5,7;,3;34,8;24,9;19,4;84;54;,7;
2015-01-30;null;10,8;0;35,2;26,9;21,3;80;52;,7;
2015-01-31;null;9,8;0;37,2;28,4;21,2;76,3;50;,3;
2015-02-01;null;11;0;35,2;25,7;19,8;84;60;1,7;
