Nome: CANARANA
Codigo Estacao: 83270
Latitude: -13.47083332
Longitude: -52.2711111
Altitude: 430
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;8,8;1,1;33,8;26,5;21,1;78,5;59;0;
2015-01-02;null;7,4;0;34,4;27,2;22,7;76;66;0;
2015-01-03;null;7,5;0;34,3;27;23,3;78;62;0;
2015-01-04;null;9,4;0;33,1;25,9;22,4;73;59;2,2;
2015-01-05;null;11,1;0;32,6;25,7;20;78;76;0;
2015-01-06;null;7,5;0;33,4;25,7;21,9;83,3;61;0;
2015-01-07;null;7,3;4;32,9;25,3;20,6;90,3;87;0;
2015-01-08;null;7,9;3,7;34,4;26,5;21,3;79,5;61;0;
2015-01-09;null;4,3;0;34,4;26;22,4;92;79;0;
2015-01-10;null;9,3;8,4;33,8;26,3;20,2;77,8;57;0;
2015-01-11;null;4,5;0;34,1;24,6;21,2;95,3;86;0;
2015-01-12;null;8,8;16;33,2;24,6;19,8;84,8;58;0;
2015-01-13;null;7,1;23,1;30,7;23,2;20,7;89;92;0;
2015-01-14;null;8;9,9;33,2;24,7;19,1;90,8;81;1,9;
2015-01-15;null;9,5;6,7;32,5;25,6;19;81,3;61;0;
2015-01-16;null;,8;0;32,8;24,8;21,9;96,3;89;0;
2015-01-17;null;2,1;40,1;33,1;24,5;19,3;86,3;79;0;
2015-01-18;null;5,4;0;33,1;24,8;20,9;87;65;0;
2015-01-19;null;3,8;5;30,6;24,2;20;88,5;80;0;
2015-01-20;null;10,3;5,1;33,6;26,3;20,5;80,8;63;0;
2015-01-21;null;3,9;0;31,6;23,8;22,7;97;87;0;
2015-01-22;null;11,4;35,2;32,7;25,1;18,3;76,8;58;0;
2015-01-23;null;4,8;0;32,6;25;20,5;94,8;83;0;
2015-01-24;null;2;24,2;28,8;23,5;21,3;96;86;0;
2015-01-25;null;1,8;9,1;27,9;22,6;19,9;90,3;72;0;
2015-01-26;null;2,4;2,4;29,4;23,7;20,1;94;90;0;
2015-01-27;null;10,3;2;32,2;25,8;21;78,5;60;0;
2015-01-28;null;7,5;0;32,7;25;20,9;81,5;61;0;
2015-01-29;null;9,5;2,3;34;26,2;20,9;81;62;0;
2015-01-30;null;11,3;0;34,8;27,6;21,8;70,8;61;0;
2015-01-31;null;11;0;36,8;25,8;22,5;77;47;1,4;
2015-02-01;null;7,4;1,4;34,4;25,5;19,1;78;65;0;
2015-02-02;null;7,5;0;34,3;26,5;20,5;73,8;47;0;
2015-02-03;null;7,3;0;33,6;25,3;21,5;93,5;84;0;
2015-02-04;null;7,2;43,5;30;24,1;20,5;87,8;70;0;
2015-02-05;null;5,7;0;31,8;24,6;21,7;87;63;0;
2015-02-06;null;4,3;1,6;30,6;24,6;21,7;89,8;70;0;
2015-02-07;null;,3;44,4;27,6;23,2;21,5;93;77;1,4;
2015-02-08;null;,2;2,5;27,6;23,5;20,2;88,8;80;,7;
2015-02-09;null;3,5;0;30,7;23,9;21,3;88,3;65;0;
2015-02-10;null;3,8;2,4;31;24,5;20,9;94;89;0;
2015-02-11;null;3,6;1,2;31;24,1;21,5;95,8;93;0;
2015-02-12;null;10,9;11,4;34,2;27,1;20,3;70;42;0;
2015-02-13;null;9,4;2,4;34,2;26,4;21,7;61,5;66;0;
2015-02-14;null;8,3;1,7;34,7;26,2;20,5;76,5;47;0;
2015-02-15;null;6,5;0;32;25,3;21,5;83;76;,7;
2015-02-16;null;2,8;0;32,1;25,4;21,5;91,5;82;0;
2015-02-17;null;6,5;20;31,1;25,3;21,6;81;60;,9;
2015-02-18;null;3,1;15,1;32;24,6;21;90,5;78;0;
2015-02-19;null;0;47,4;25;22,3;21;100;93;0;
2015-02-20;null;,8;23,8;27;22,7;20,9;97;92;,9;
2015-02-21;null;8,6;2,2;31,3;24,2;20,5;79;60;,7;
2015-02-22;null;10;0;32,6;25,3;20;79,5;57;0;
2015-02-23;null;6,6;6,6;31,6;24,5;19,9;78,8;66;0;
2015-02-24;null;6,1;3,3;31,2;24,2;20,1;82,3;71;0;
2015-02-25;null;8;5,1;31,8;25,2;21;82,3;60;1;
2015-02-26;null;5,9;,8;35,1;25,4;21,3;90;84;0;
2015-02-27;null;6;9,3;33,4;24,3;20,7;86,3;56;,9;
2015-02-28;null;5,6;4,4;32,2;23,8;20,8;87,3;60;0;
2015-03-01;null;10,7;55,6;33,8;26,6;20,8;74;53;0;
2015-03-02;null;6,4;0;32,6;25,7;21,8;81,8;61;,7;
2015-03-03;null;2,2;0;34,2;24,6;20;96,5;88;0;
2015-03-04;null;3,2;25,1;31,4;24;20,7;95;92;0;
2015-03-05;null;7,1;58,2;32;24,5;19,1;87,3;68;0;
2015-03-06;null;9,9;0;33,6;25,9;20,9;82;71;1;
2015-03-07;null;10,7;0;33,8;25,6;20,9;81,3;62;,9;
2015-03-08;null;9,7;,4;32,2;25,8;20,1;74,8;57;0;
2015-03-09;null;5,9;0;34,2;26,9;21,5;78,5;64;0;
2015-03-10;null;3,8;0;33;25,2;21,8;89,3;73;0;
2015-03-11;null;1,4;5,6;32,6;24,6;21,5;98,8;93;0;
2015-03-12;null;3,1;42,3;31,6;25,2;21;84,8;75;0;
2015-03-13;null;null;8,2;null;null;22,7;null;85;0;
2015-03-14;null;3,1;4;32,6;25,7;22,5;85,3;65;0;
2015-03-15;null;2,2;1,8;31;25,2;22,8;89,3;72;,7;
2015-03-16;null;5,9;2,4;32,8;25,4;22,9;88,8;72;1,2;
2015-03-17;null;8,4;19,4;32,2;24,5;20,9;86;64;1;
2015-03-18;null;0;12,1;27;22,9;21,8;92,3;76;1;
2015-03-19;null;0;6;25,5;22;20,6;96,3;88;0;
2015-03-20;null;5,3;8;30;23,4;20;87,8;64;0;
