Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-04-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;11,6;0;33,8;28,1;22,6;52,5;39;,4;
2015-01-02;6,8;11,3;0;34,7;28,6;22,2;54,8;43;,2;
2015-01-03;6,6;11,7;0;35,3;27,9;22,5;47,5;28;,5;
2015-01-04;8;11,5;0;33,9;27,5;21;54;40;,9;
2015-01-05;7;null;0;null;28,6;22,2;53,5;43;0;
2015-01-06;6,6;11;0;34,5;27,7;21,6;56,5;42;,9;
2015-01-07;7,9;10,7;0;33,5;27,8;22;57,8;44;,4;
2015-01-08;8,2;11,5;0;33,9;27,4;21,8;51,3;43;1;
2015-01-09;9,2;10,6;0;34,3;27,9;21,1;56,5;43;,4;
2015-01-10;6;10,1;0;34,1;27,8;22,2;57,5;46;,8;
2015-01-11;8,5;9,7;0;36,6;29,1;22,6;51,5;37;1,1;
2015-01-12;7,7;11,3;0;36,5;29,5;22,6;41,3;28;1,3;
2015-01-13;10,2;11;0;35,7;29,1;22,7;42,5;30;1,1;
2015-01-14;9,7;5,1;0;32,7;27,2;22,2;50,8;32;,9;
2015-01-15;9,2;9,2;0;35,5;27,8;20,6;51,3;38;,5;
2015-01-16;6,6;10,6;0;35,3;28,3;23;53,3;41;1,1;
2015-01-17;9,7;null;0;null;29;22,3;48,3;37;,5;
2015-01-18;6,7;9,9;0;35,9;29;23,2;47,3;39;,8;
2015-01-19;10,4;11,1;0;36,7;29,6;22,6;43,5;34;,7;
2015-01-20;10,7;11,3;0;36,9;29,3;22,5;43,3;33;,4;
2015-01-21;8,3;11,5;0;37,3;27,2;22;54,8;35;1;
2015-01-22;8;9,8;10;34,9;25,6;22,2;73,8;45;,8;
2015-01-23;4,3;6,4;18,8;33,1;26,1;21,4;77,5;80;,6;
2015-01-24;3,5;11;2;34,3;27,8;22;57;43;1;
2015-01-25;7,9;10,2;0;34,6;28,1;21,9;55,5;37;,8;
2015-01-26;6,8;5,2;0;33,7;27,1;22,8;66,8;48;,5;
2015-01-27;5,9;10,6;0;36,3;29,1;22,2;52,8;35;,6;
2015-01-28;6,5;11,6;0;36,7;29,8;24,4;56;35;,9;
2015-01-29;9,8;11,4;0;36,8;29,2;22,6;41,3;31;,8;
2015-01-30;10,6;11,2;0;38,3;30,5;22,8;42,3;29;,8;
2015-01-31;10,6;9,9;0;38,7;30,7;24,4;47,8;34;,5;
2015-02-01;9,8;8,9;0;35,7;29,8;23,2;48,5;null;1,7;
2015-02-02;9,5;10,8;0;36,9;30,2;24,4;52,3;null;,9;
2015-02-03;10;6,6;0;33,5;27,7;24,3;63,5;null;,9;
2015-02-04;5,5;4,3;,4;31,5;25,3;22,2;78,5;null;2;
2015-02-05;2,8;4,8;11,6;31,7;25,5;22,2;78;null;,9;
2015-02-06;3,2;,2;4,4;28,5;24,4;22,2;86,5;null;,7;
2015-02-07;8;,6;1,5;30,7;24;21,6;83,5;null;,5;
2015-02-08;1,6;2,2;27;30,3;24,4;19,4;79,5;null;,9;
2015-02-09;4,2;5;0;33,4;26,2;21,6;74,5;null;1,4;
2015-02-10;3,2;10,9;0;36,9;29,1;22,8;52,8;null;1,7;
2015-02-11;7;11,1;0;35,3;28,1;22;55,3;null;,8;
2015-02-12;8;11,2;0;35,9;28,2;22;46,5;null;2;
2015-02-13;9;11,5;0;35,7;27,8;20,6;55;null;1,2;
2015-02-14;8,4;11,2;0;35,3;28,1;21,4;53,8;null;,8;
2015-02-15;8,7;11,2;0;35,7;28,1;21,2;53,5;null;,2;
2015-02-16;6,8;10,3;0;35,6;28,2;22,6;58,3;null;1,6;
2015-02-17;6,5;9,4;0;34,1;28,8;23;57;null;,3;
2015-02-18;7,8;4,6;0;32,4;27,4;22,7;58,5;null;1,1;
2015-02-19;5,2;3,8;0;33,7;27,2;22,8;64,5;null;1,2;
2015-02-20;5,4;3,7;0;32,5;24,6;21,6;74,5;47;,7;
2015-02-21;3,6;10;8,2;33,7;25,8;19,4;59,8;null;,5;
2015-02-22;6,3;3,9;0;28,3;25;21,9;79,5;null;2,2;
2015-02-23;3,5;3,8;0;30,7;24,5;21,2;75;null;,9;
2015-02-24;5;,2;7,6;27,1;23,9;21,4;79;null;,4;
2015-02-25;3,2;10,5;0;34,7;27,9;20,8;61,3;null;,2;
2015-02-26;4,4;10,5;0;36,7;29,7;23,2;55,5;null;1;
2015-02-27;9,5;5,7;0;33,6;27,7;25;64,5;null;1,1;
2015-02-28;5;7,1;0;35,9;27,3;21,2;61,5;null;1,1;
2015-03-01;6,3;2,7;0;32,9;25,8;22,2;80;null;1,1;
2015-03-02;4,2;10,1;0;34,3;28,2;22,7;60,8;null;,9;
2015-03-03;7,7;10,6;0;34,7;28,9;22,8;52,3;null;1,3;
2015-03-04;7;8,1;0;34,5;28,1;23,6;54,8;null;1,1;
2015-03-05;6,8;8,4;1,6;35,1;27,9;22;58,8;null;,7;
2015-03-06;7,2;10,6;4,2;35,9;29;22,2;51;null;,8;
2015-03-07;7,6;8,2;0;35,9;28,9;23,6;58,8;null;,8;
2015-03-08;6,7;9,9;0;36,6;29,7;23,8;52,8;null;,5;
2015-03-09;8,2;10,8;0;37,5;30,3;23,9;47;null;1,5;
2015-03-10;9;9,9;0;37,7;30,4;23,6;44,3;null;1,1;
2015-03-11;9,7;8;0;36,6;29,6;24,4;58,5;null;,5;
2015-03-12;7;8,7;0;36,1;29,7;23,9;51,3;null;1,3;
2015-03-13;8,7;10,3;0;37,9;30;22,6;40,8;null;1;
2015-03-14;8,7;10,2;0;38,1;30,2;23,2;39,3;20;1;
2015-03-15;11,2;9,3;0;36,9;30,2;24,6;42,3;null;1,8;
2015-03-16;9;6,4;0;35,3;28,8;23,2;48,8;null;,8;
2015-03-17;8;4,2;0;35,9;28,8;25;55;null;,4;
2015-03-18;6;4,6;11,4;33,3;25,2;22;81,5;null;,2;
2015-03-19;2,6;2,6;15;30,7;25,6;21,8;79,3;null;,9;
2015-03-20;4;,9;0;30,4;25,2;22,6;81,5;null;,7;
2015-03-21;1,4;,1;1,2;28,5;24;22,4;84,8;null;1,2;
2015-03-22;2,4;1,2;0;27,9;24,7;21,8;85,8;null;,8;
2015-03-23;2,2;3,4;7,8;30,5;24,8;22,1;92,5;null;,9;
2015-03-24;1,1;6,6;2,3;33,7;26,5;22;74,3;null;1,7;
2015-03-25;3,5;7,3;0;33,1;26,5;22;77;null;,5;
2015-03-26;4,1;6,6;4,2;33,1;26,2;22,6;90,5;null;,4;
2015-03-27;5;7,2;37,8;33,9;27,6;22,6;75,5;null;,7;
2015-03-28;4,7;9,6;6,6;35,5;29,1;23,5;66,8;null;1,1;
2015-03-29;5;11;0;35,3;29,4;22,4;60,8;null;1;
2015-03-30;5,3;11,1;0;36,3;29,7;22,4;60,3;null;1,3;
2015-03-31;6,2;10,8;0;36,3;29,8;23,2;52,5;null;1;
2015-04-01;6,7;11;0;36,7;29,7;22;51;null;,5;
2015-04-02;7;10,7;0;37,1;28,9;20,6;50;null;,6;
2015-04-03;8;10,8;0;36,5;29,2;22,6;48,3;null;,9;
2015-04-04;8,4;10,3;0;35,9;29,3;23,2;62;null;,2;
2015-04-05;6,9;10,6;1;34,2;28,6;23,7;61,3;null;,5;
2015-04-06;6;7,6;58,2;33,9;26,7;21;75;null;,5;
2015-04-07;3,9;,8;0;35,4;27,4;24,4;79,8;null;1;
2015-04-08;2,3;6,2;0;32,9;25,9;22,4;82,8;null;,6;
2015-04-09;2,4;10,7;14,2;32,1;26,8;22;68,5;null;,9;
2015-04-10;6,2;10,9;0;32,8;26,8;21,5;64,3;null;,2;
2015-04-11;4,4;3,4;0;33,3;27,2;22,2;65,5;null;1,4;
2015-04-12;5;10,7;0;33,9;27,4;21,6;55,8;null;,9;
2015-04-13;6;10,5;0;34,5;28,6;22,2;55;null;,2;
2015-04-14;6,6;9,6;0;34,5;27,6;23,6;67;null;2;
2015-04-15;4,4;7,7;5;33,7;27,2;23,2;69,5;null;,5;
2015-04-16;4,2;,5;0;30,1;26,3;23,2;78,5;null;,2;
2015-04-17;2,8;10,8;,4;34,3;28;22,6;68;null;2,2;
2015-04-18;5,2;10,5;0;35,1;28,4;23,6;61,3;null;2,2;
2015-04-19;7,7;10,5;0;35,9;29,5;23,7;53;null;,2;
2015-04-20;4,6;10,6;0;34,9;29;23,8;62,5;null;,8;
2015-04-21;5,6;10,7;,2;35,3;29;23,6;65,8;null;,8;
2015-04-22;5,8;null;0;null;28,3;23,9;64,8;null;,6;
2015-04-23;4,8;7,6;0;34,1;27,4;24,2;75,3;null;1,3;
2015-04-24;4;8,8;1;34,9;27,7;22,8;65,3;null;1;
2015-04-25;5;9,7;2,6;34,6;28,6;23,6;65;null;,4;
2015-04-26;5;6,1;17;30,7;24,4;22,2;84,8;null;2;
2015-04-27;2;1,9;11,2;29,1;24,5;21,8;79,5;null;1,1;
2015-04-28;3;1,2;0;27,7;24,2;22,4;89;null;,4;
2015-04-29;1,8;3,4;2,1;29,3;24,1;22,2;85,3;72;,7;
2015-04-30;1,8;0;4,6;26,7;23,4;22;89;null;,9;
2015-05-01;1,3;,5;0;27,9;22,6;21;89;null;1,1;
2015-05-02;2,3;3,8;59,4;29,7;23,9;20,2;82;null;,5;
2015-05-03;2,8;9,7;0;31,7;25,2;20,6;68,8;null;1,2;
2015-05-04;4,6;9,8;0;32,1;26,6;21,2;68;null;1,2;
2015-05-05;4,1;10,6;0;32,9;27;21,8;66;null;,7;
2015-05-06;5;10,4;0;33,5;27,6;22;62,5;null;,7;
2015-05-07;4,3;10,4;0;33,7;27,4;21,6;62,8;null;,3;
2015-05-08;5;8,6;0;31,1;27,1;24;65,3;null;,8;
2015-05-09;5,8;7,3;0;31,7;25,3;21,8;64;null;,9;
2015-05-10;5,8;10;0;31,9;26,6;24,2;64,5;null;,5;
2015-05-11;4,8;10,5;0;33,3;27,3;22;64,8;null;,7;
2015-05-12;5;8,5;0;32,9;26,4;21,4;68,8;null;1,5;
2015-05-13;4,2;9,4;0;34,3;27,3;21,8;63,5;null;,8;
2015-05-14;5,8;9,9;0;32,7;26,2;21,6;62;null;2;
2015-05-15;6,5;5,9;0;29,7;24,4;21,2;69,5;null;1,5;
2015-05-16;5,8;8,7;,2;28,9;23,9;19,6;62,5;null;1,7;
2015-05-17;5,8;8,7;0;31,7;25,7;22;59,3;null;1,1;
2015-05-18;6,4;5,9;0;29,1;24,8;20;65,3;null;1,3;
2015-05-19;5,6;9,6;0;32,7;25,2;19,6;55;null;1,3;
2015-05-20;6,5;9,2;0;32,7;26,3;21,4;57,5;null;1,7;
