Nome: ITUACU
Codigo Estacao: 83292
Latitude: -13.81277777
Longitude: -41.29972221
Altitude: 534.44
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,1;11,9;0;31,2;25,2;15,2;47,8;null;1;
2015-01-02;7,3;12;0;31,2;24,1;15,9;53,5;null;2,3;
2015-01-03;6,6;12;0;32,1;24,1;15,4;61,3;null;1,7;
2015-01-04;6,7;10,6;0;31,4;25,2;18,1;49;null;2,3;
2015-01-05;6,4;8,4;0;32,3;25,5;18;59,8;null;2,3;
2015-01-06;6,8;7,9;0;31,6;24,4;17,8;62,5;null;2,3;
2015-01-07;5,3;5;0;29,8;23,6;18,9;71,5;null;2,3;
2015-01-08;4,9;10,7;1,1;29;23,4;16,3;67,3;null;2,3;
2015-01-09;5,2;6;0;30,5;23,8;18,1;70,3;null;1;
2015-01-10;4,2;8,8;0;30,6;24,6;19,5;67,5;null;2,3;
2015-01-11;4,9;11,2;0;31,4;25,6;19,1;58,8;null;1,5;
2015-01-12;5,9;9,7;0;31,6;26,1;19,6;48;null;2,3;
2015-01-13;6,2;10,1;0;30,9;25,4;18,6;48,3;null;1;
2015-01-14;6,1;7,5;0;30;24,3;18;63;null;2,3;
2015-01-15;5,3;8,8;0;32,2;25,2;18,9;61,8;null;1,7;
2015-01-16;5,5;7,5;0;32,6;25,6;18,9;54,3;null;1,7;
2015-01-17;5,4;12;0;32,4;25,5;17,7;49,5;null;1;
2015-01-18;6,3;9,9;0;32,7;25,8;19,3;56,3;null;2,3;
2015-01-19;5,9;11,8;0;32,4;26,1;19,2;60,3;null;2,3;
2015-01-20;6,1;12;0;32;24,5;15,7;58,3;null;3;
