Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;33;26,4;21;85;74;0;
2015-01-02;null;null;0;35,2;27,7;20,4;79;65;0;
2015-01-03;null;null;0;33,4;26,9;22,1;91;83;0;
2015-01-04;null;null;1,6;33,2;27;22,5;83,3;73;0;
2015-01-05;null;null;85,4;34,4;25,1;20,2;87;86;0;
2015-01-06;null;null;4;34,6;27,7;21,3;81;85;0;
2015-01-07;null;null;15,3;31,8;25,3;20,2;87,8;78;0;
2015-01-08;null;null;0;34,4;26,6;20,6;87,8;78;0;
2015-01-09;null;null;0;35;25;20,5;87,5;72;0;
2015-01-10;null;null;10,6;32,2;24,6;19;78,8;35;0;
2015-01-11;null;null;0;35,4;25,4;20;82;62;0;
2015-01-12;null;null;9,8;29;24,4;20;90,3;82;0;
2015-01-13;null;null;0;34,2;25,3;19,8;84,5;72;0;
2015-01-14;null;null;9;34,7;25,8;19,5;85,8;67;0;
2015-01-15;null;null;3,8;34,2;25,1;19,9;86;68;0;
2015-01-16;null;null;0;34,4;26,1;20,1;79,5;68;0;
2015-01-17;null;null;0;30,4;24,6;20,3;94,3;80;0;
2015-01-18;null;null;24,4;31,4;25,2;19,5;91,3;84;0;
2015-01-19;null;null;,5;35,4;26,8;20,6;80;64;0;
2015-01-20;null;null;0;34,2;25,3;21,1;87;75;0;
2015-01-21;null;null;8,9;31,3;24,2;17,4;86,3;69;0;
2015-01-22;null;null;0;33,9;26,3;20,2;90,3;70;0;
2015-01-23;null;null;0;34,5;26;20,4;87,5;73;0;
2015-01-24;null;null;9,3;33,1;25,4;20,7;87,5;75;0;
2015-01-25;null;null;0;31,4;24,9;20,1;88,8;77;0;
2015-01-26;null;null;2,5;30,1;24,9;21,1;94,3;92;0;
2015-01-27;null;null;7,4;28,4;24,2;20,7;93,3;87;0;
2015-01-28;null;null;15,2;28,7;24,4;21,1;94,5;91;0;
2015-01-29;null;null;6,2;33,4;25,9;20;86,5;67;0;
2015-01-30;null;null;0;35,8;27,4;20,5;83,5;66;0;
2015-01-31;null;null;0;37,1;26,1;20,3;83,5;65;0;
2015-02-01;null;null;14,7;35,2;26,7;19;80,3;65;0;
2015-02-02;null;null;null;33,4;null;null;90;68;0;
2015-02-03;null;null;null;33,9;null;null;87;89;0;
2015-02-04;null;null;20;32,5;25,5;20;90,8;79;0;
2015-02-05;null;null;22,7;30,2;24,4;21;89,5;82;0;
2015-02-06;null;null;13,2;31,2;24,8;20,2;89,8;73;0;
2015-02-07;null;null;26,2;29,2;25;21,2;91;86;0;
2015-02-08;null;null;2,2;30,2;25,6;22,6;87,8;79;0;
2015-02-09;null;null;11,3;29;24,6;20,9;91,3;83;0;
2015-02-10;null;null;0;34,8;26,7;21,7;82,5;69;0;
