Nome: NOVA XAV.(XAVANTINA)
Codigo Estacao: 83319
Latitude: -14.69805555
Longitude: -52.35027777
Altitude: 305.33
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;10,9;2,8;35,5;27,7;21,2;75;53;,7;
2015-01-02;null;10,7;0;37,5;27,8;21,2;74,5;47;,7;
2015-01-03;null;6,6;0;36,3;26,4;22,7;85,3;78;1;
2015-01-04;null;9,7;14,1;34,7;27,2;22,4;76,5;53;1,5;
2015-01-05;null;7,8;0;34,5;26,2;21,7;82;83;0;
2015-01-06;null;5,9;0;33,3;25,8;21,4;91,5;76;0;
2015-01-07;null;9,7;7,8;35,7;26,5;19,6;76,3;46;0;
2015-01-08;null;10,1;0;37,1;27,7;20;75;50;,7;
2015-01-09;null;2,3;0;33,3;24,8;21,7;88,8;75;,7;
2015-01-10;null;7,9;0;35,1;26,1;20,8;80;47;0;
2015-01-11;null;7,9;0;37,7;27,9;22,2;68,3;46;,7;
2015-01-12;null;4,6;0;34,1;25,3;20;82,5;55;2,1;
2015-01-13;null;3,6;11;32,1;24,1;20,7;89,5;72;0;
2015-01-14;null;5,9;,4;34,1;26,3;19,6;90;87;,7;
2015-01-15;null;7,8;0;35,3;25,4;19,5;76,8;50;1;
2015-01-16;null;4,9;0;34,3;26,1;22,2;85,5;75;0;
2015-01-17;null;2,9;,6;31,7;25,3;21,6;86,5;71;0;
2015-01-18;null;10,4;0;36,9;27,6;22;75,3;50;0;
2015-01-19;null;5,8;0;36,9;26,7;23,2;79,8;46;0;
2015-01-20;null;6,6;1,4;35,7;26,8;22,1;80,5;50;0;
2015-01-21;null;9,7;0;36,9;27,2;21,7;76;50;0;
2015-01-22;null;9,1;4,3;34,9;25,5;18,6;80,3;53;0;
2015-01-23;null;6,2;0;34,1;25,7;20,7;80,8;52;1;
2015-01-24;null;5,7;,4;33,3;25,4;21,7;87,3;70;1;
2015-01-25;null;3,3;8,2;29,3;24;20,6;85,3;65;1;
2015-01-26;null;1,9;0;29,3;24,3;22,2;90,8;84;0;
2015-01-27;null;9,2;4,3;33,9;26,5;20,8;76,8;54;,7;
2015-01-28;null;5,4;0;33,7;26;21,6;86,3;79;0;
2015-01-29;null;10;7,6;36,3;26,9;20,7;76,8;49;0;
2015-01-30;null;10,1;0;37,5;28,4;21,8;72,5;47;1,7;
2015-01-31;null;10,1;0;38,9;27,8;22,2;68,3;44;1,4;
2015-02-01;null;10,7;0;37,5;26,8;20,7;76,3;53;0;
2015-02-02;null;6,6;0;36,3;25,9;21,6;85;82;1;
2015-02-03;null;8,6;0;37,3;26,5;20,6;77,5;46;1,7;
2015-02-04;null;3;0;31,1;25;20,1;90,5;82;1,5;
2015-02-05;null;7,3;2,2;33,3;26,2;22,6;80,5;56;1,4;
2015-02-06;null;2,5;,5;32,3;26,3;22,2;80;63;2,2;
2015-02-07;null;,9;8,1;27,8;24,6;23,2;94,3;81;1;
2015-02-08;null;2;25,9;29,4;24,2;22,4;89,8;76;2,1;
2015-02-09;null;4,6;1,7;31,5;24,8;21,6;88;95;0;
2015-02-10;null;7,2;1;34,1;25,8;21,6;83;53;0;
2015-02-11;null;3;4,3;30,7;24,9;22,4;94;87;2,2;
2015-02-12;null;9,4;0;36,5;26,2;20,2;82;52;,9;
2015-02-13;null;9,3;0;36,6;27,4;21,4;81;61;0;
2015-02-14;null;7,6;,8;36,3;27,4;21,6;76,5;48;1,9;
2015-02-15;null;6,1;0;34,5;25,2;22;86,8;57;,7;
2015-02-16;null;7,8;42;34,7;25,9;22;82,5;52;0;
2015-02-17;null;5,2;0;33,3;26,7;22,8;81;66;1;
2015-02-18;null;0;39,2;27,2;23,6;22,2;96,8;83;,9;
2015-02-19;null;,2;9,1;27,3;24,4;22,4;90,8;85;1,2;
2015-02-20;null;0;,3;27,5;23,9;22,2;91,3;81;1,5;
2015-02-21;null;9,6;37,4;33,7;25,2;21,4;90,5;81;1,2;
2015-02-22;null;9,1;,6;35,7;26;20,8;80,3;50;1;
2015-02-23;null;8,5;27,3;32,5;24,6;21,1;86,3;63;0;
2015-02-24;null;7,6;14,1;32,3;24,4;20;85,8;63;1,5;
2015-02-25;null;5,3;1,7;31,5;24,8;20;93,5;92;0;
2015-02-26;null;7,7;2,2;34,9;26,5;20,6;81,3;55;,9;
2015-02-27;null;2,5;50,4;30,7;24,4;20,8;90;76;1,4;
2015-02-28;null;4;,2;32,3;25,2;22,2;88,3;71;0;
2015-03-01;null;7,8;0;34,3;26,7;22,2;82,3;53;0;
2015-03-02;null;7,4;0;32,5;26,6;23,2;82;65;1;
2015-03-03;null;2,9;0;33,3;25,5;21,4;93;89;,7;
2015-03-04;null;2,9;9,1;32,3;24,4;22,1;90;82;,7;
2015-03-05;null;7,2;7,2;34,1;24,5;20,2;84,8;59;,9;
2015-03-06;null;10,2;0;34,7;25,8;20,4;83,8;60;1,5;
2015-03-07;null;7,8;0;34,7;26;21,4;88,3;70;1;
2015-03-08;null;9;0;34,1;26,4;22,4;81;62;1,2;
2015-03-09;null;10,6;0;36,5;27,5;21,8;78,8;47;,5;
2015-03-10;null;4,3;1,4;32,1;25,3;23,8;89,5;72;0;
2015-03-11;null;2,3;23,6;32,1;24,9;22,8;97,3;94;0;
2015-03-12;null;,3;27,3;28,9;24,9;22,6;86;76;,7;
2015-03-13;null;0;2,1;27,9;23,3;21,4;95,3;85;,5;
2015-03-14;null;2,4;28,4;31,5;25,2;22,2;87,8;69;0;
2015-03-15;null;3,8;7,4;30,7;24,2;21,7;93,8;76;0;
2015-03-16;null;9,3;,7;35,3;25,7;20,4;79,8;52;,9;
2015-03-17;null;5,1;0;31,9;25,7;22,8;84;66;1;
2015-03-18;null;0;46,6;27,7;23,2;21,6;94;90;,9;
2015-03-19;null;1,3;12,6;27,3;23,3;21,8;91;79;,7;
2015-03-20;null;5,8;0;31,5;24,2;19,6;86;68;,9;
2015-03-21;null;6,1;0;32,3;25,3;21;83,5;65;1,7;
2015-03-22;null;7,6;0;32,3;25,5;21,4;83,8;64;1,9;
2015-03-23;null;5,3;,5;31,7;25,6;23,2;90,5;79;0;
2015-03-24;null;8,2;0;34,1;26,1;21,4;85;61;,7;
2015-03-25;null;4,8;0;32,9;25,9;21,2;84;64;0;
2015-03-26;null;3,1;0;32,3;25,6;23,8;88,8;76;2,1;
2015-03-27;null;5,1;0;31,5;24,1;19,8;86,3;60;,7;
2015-03-28;null;10,4;0;36,5;26,5;20,7;88;53;0;
2015-03-29;null;3,9;0;35,3;25,7;22,2;87,8;61;1,2;
2015-03-30;null;9,3;35;34,1;25,6;20,7;86,8;63;1,4;
2015-03-31;null;7,6;0;35,3;25,9;21,2;81,3;52;1;
