Nome: POSSE
Codigo Estacao: 83332
Latitude: -14.08916666
Longitude: -46.36666666
Altitude: 830.35
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,6;null;7,1;32,6;26,5;19,8;61,3;49;0;
2015-01-02;6,7;null;0;32,4;27,1;21,6;59;49;0;
2015-01-03;6,2;null;0;32,3;27,4;23;67,8;60;0;
2015-01-04;7,3;null;,3;32,7;26,8;22,6;48,5;24;0;
2015-01-05;11,5;null;0;32,7;26;20,8;63,8;41;0;
2015-01-06;6;null;0;31,5;26,2;21,2;66,8;55;0;
2015-01-07;7,5;null;1,1;32,5;27,3;21,8;52;40;,7;
2015-01-08;9;null;0;32,5;26,9;21,8;53,5;41;0;
2015-01-09;10,5;null;0;33,1;27,1;20,8;45,3;35;,3;
2015-01-10;10,8;null;0;33,6;27,9;21,8;51,8;38;,3;
2015-01-11;11,6;null;0;34,3;28,4;23,8;57;47;,3;
2015-01-12;12,2;null;0;34,1;27,6;22,7;49,5;36;0;
2015-01-13;8,5;null;,2;33,3;27,7;22,8;50,3;43;,7;
2015-01-14;10,5;null;0;33,7;26,6;20,4;46;30;,7;
2015-01-15;10,5;null;0;32,2;26,4;21,3;50,8;31;,7;
2015-01-16;10;null;0;33,6;27,5;21,6;49;34;,7;
2015-01-17;10;null;0;33,6;28,1;22,6;50,8;39;0;
2015-01-18;8;null;0;34,5;28,1;23,2;56;41;0;
2015-01-19;9;null;0;32,5;26,7;23,4;60,5;44;0;
2015-01-20;7;null;3,5;32,1;26,4;22,6;61,8;46;0;
2015-01-21;9,5;null;1,1;32,1;24,4;20,9;65,8;49;0;
2015-01-22;3,5;null;2,9;32;26;19,6;56,5;48;0;
2015-01-23;7,3;null;0;30,1;24,2;19,6;73,8;57;0;
2015-01-24;3;null;5,1;26,5;22,5;19,4;77,8;74;0;
2015-01-25;2,5;null;31,8;26,5;21,8;18,8;89,5;79;0;
2015-01-26;1,5;null;4;29,5;23,5;19,4;77,8;60;0;
2015-01-27;3,8;null;0;30,6;24,5;21;71,5;54;0;
2015-01-28;3,7;null;1;33,3;25,6;19,8;65,5;41;0;
2015-01-29;6,2;null;0;33,1;27,7;21,6;49;38;0;
2015-01-30;10,1;null;0;34,5;29,4;23,4;41,3;30;,3;
2015-01-31;12,2;null;0;35,4;29,2;23,8;46,3;29;,7;
2015-02-01;12,7;null;0;30,5;26,1;22,2;63,5;53;1;
2015-02-02;5,7;null;0;33,7;26,8;20,6;53,3;38;,7;
2015-02-03;10,5;null;0;32,3;24,5;20,6;75,3;62;1;
2015-02-04;4,1;null;2,3;30,8;24,1;19;68,5;44;1,3;
2015-02-05;4,6;null;6;27,1;22,9;20,8;86;76;1,3;
2015-02-06;2,6;null;2,5;22;20,8;19,8;95;88;0;
2015-02-07;,9;null;7;21,7;20,7;19,4;91,8;91;,3;
2015-02-08;12,4;null;5,8;24,2;21,3;19;85,8;78;,3;
2015-02-09;2,2;null;4,2;30,1;24,1;19,6;74,8;50;0;
2015-02-10;4,1;null;1,2;30,5;24,8;20,6;73,5;53;1,3;
2015-02-11;7,3;null;0;31,5;26;20,7;54,5;43;,7;
2015-02-12;11,6;null;0;33,1;27,1;21,8;47;36;1;
2015-02-13;11,6;null;0;33,7;27,2;21;38,8;28;,7;
2015-02-14;12;null;0;33,9;28,5;22,2;43;32;,3;
2015-02-15;9,6;null;0;32,8;25,7;20,6;57,3;43;,3;
2015-02-16;6;null;0;33,3;26,2;21,4;61,8;42;0;
2015-02-17;6,5;null;0;30,5;23,8;20,2;85,3;64;,3;
2015-02-18;3,7;null;15,5;25,6;22;19,8;84,8;72;0;
2015-02-19;2,4;null;,7;25,3;21,8;19,8;89;79;0;
2015-02-20;3,9;null;11,6;28,3;23;19,2;74,5;66;0;
2015-02-21;5,1;null;1,1;30,1;23,8;19,4;63,5;38;1;
2015-02-22;8,6;null;0;30,7;24;20,2;65;45;,7;
2015-02-23;7,3;null;2,2;29,1;24;19,6;63,5;50;1,3;
2015-02-24;7;null;2;28,2;23,1;20,3;73,3;67;1,3;
2015-02-25;6,2;null;0;30,2;25,3;20,6;65,3;54;,7;
