Nome: FORMOSO
Codigo Estacao: 83334
Latitude: -14.949727
Longitude: -46.235795
Altitude: 854.6
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,6;10,4;0;33,4;26,1;17,4;57,8;38;1,3;
2015-01-02;5,1;11,3;0;35;27,1;20,2;54;30;1,7;
2015-01-03;5,5;10,5;0;34,8;28;21;45;34;2;
2015-01-04;7,1;7,7;0;33;26,2;21,4;46,8;28;1,3;
2015-01-05;6,7;11,6;0;33,6;25,9;18;46,5;31;1;
2015-01-06;7,2;7,3;0;33,4;25,6;18,6;47,3;32;,7;
2015-01-07;5,2;9,9;0;33,8;26,1;19,4;51,5;33;1,3;
2015-01-08;6,7;10,3;2;32,4;26;21,2;53,5;38;1,7;
2015-01-09;6,4;11,2;0;33,8;25,8;18;45,5;30;1,7;
2015-01-10;6,7;10,3;0;33,8;26,4;18,8;49,5;34;,7;
2015-01-11;6;9,9;0;34,2;27,4;20,8;48,5;34;,7;
2015-01-12;6,7;9,9;0;34;27,5;21;44,8;32;2;
2015-01-13;6,5;10,5;0;34,6;27,2;20,4;41,5;28;1,3;
2015-01-14;7,1;9,3;0;34;26,3;18,2;43,5;28;1,3;
2015-01-15;7,3;1,9;0;33,8;25,9;19,2;51,8;35;1,7;
2015-01-16;5,6;6,8;0;33,6;26,2;20,6;48,5;33;1,7;
2015-01-17;6,8;9,7;0;34,6;26,8;19,6;45,3;29;1,3;
2015-01-18;6,9;10,2;0;34,8;27,8;21;43,3;30;0;
2015-01-19;7,7;null;0;34;28;21,8;44,5;38;1,7;
2015-01-20;7,5;null;0;35;27,9;21,4;41,8;29;1,3;
2015-01-21;7,9;null;0;34,6;25,2;19,8;55,3;44;1,7;
2015-01-22;5,7;null;3,4;33,4;24,9;18,2;58,8;36;1;
2015-01-23;5,4;null;0;28,6;22,5;19,4;80,3;68;1,3;
2015-01-24;2,5;null;,2;28;22,7;19,8;82,5;66;,7;
2015-01-25;1,6;null;45,7;29,2;21,8;18,4;80,3;52;0;
2015-01-26;1,7;null;18;27,4;22,7;19,4;82,8;67;,7;
2015-01-27;2,1;null;0;30,8;24,3;19,8;71,8;62;1;
2015-01-28;3,3;null;0;31,8;25,4;20;65,8;46;1,7;
2015-01-29;3,8;null;0;33,8;26,9;21,6;54,8;38;,7;
2015-01-30;5,5;null;0;35;27,8;20,8;48,5;33;1,7;
2015-01-31;6,7;null;0;null;27,9;20,8;42,8;29;1,3;
2015-02-01;8,3;null;0;33,4;26,6;21,6;47,3;32;1,3;
2015-02-02;7,6;null;0;34,9;26,5;18,4;46;30;1,3;
2015-02-03;6,7;null;0;34;25,5;19,8;58,3;33;1,3;
2015-02-04;5,1;null;0;28,8;23,6;18,6;74,8;65;,7;
2015-02-05;2,6;null;1,1;28;22,3;20;90,5;84;2,7;
2015-02-06;2,1;null;8,8;21,4;20,6;20;93,5;90;3;
2015-02-07;,6;null;15,1;21,2;20;19,4;94,3;91;2,7;
2015-02-08;,7;null;8,1;25,4;21,3;18,8;82;65;1,7;
2015-02-09;2,1;null;9;28;23,3;19,6;84,8;84;0;
2015-02-10;2,2;null;26,4;29,8;24;20,6;76,5;54;,3;
2015-02-11;3,2;null;,8;30;25;19,2;63,8;45;,7;
2015-02-12;null;null;0;33;25,8;19,4;50,8;37;,7;
2015-02-13;6,1;null;0;33,8;25,6;18;46,3;29;,7;
2015-02-14;6,7;null;0;34;26,5;18,8;45,3;28;1;
2015-02-15;6,6;null;0;33,8;25,4;18,4;56,8;40;1,3;
2015-02-16;4,6;null;1;33,2;26,8;20;53,5;36;1,7;
2015-02-17;5,4;null;0;31;24,4;21;73;55;,7;
2015-02-18;3;null;21,8;26,4;21,4;19,4;87,3;71;,3;
2015-02-19;1,3;null;2,2;26,8;21,7;19,6;89,5;84;,3;
2015-02-20;1,2;null;22,2;28;22,8;18,8;72;57;,7;
2015-02-21;3,3;null;0;29;23,7;18,8;64,3;55;2;
2015-02-22;3,8;null;2,6;31;24,7;19,8;60;40;1,3;
2015-02-23;4,9;null;0;29,4;23,3;18,6;67;46;2,3;
2015-02-24;4,8;null;1,2;27;22,7;19;67;53;2,3;
2015-02-25;4,4;null;0;31,8;25,2;19,8;62,5;46;1,7;
2015-02-26;5;null;0;32,8;26,9;20,8;56,3;39;1,3;
2015-02-27;5;null;11,8;28;23,2;20,2;77,3;64;1,3;
2015-02-28;2,7;null;0;30,8;24,4;19,4;71,3;56;0;
2015-03-01;4;3,1;1,2;30;23,3;20,4;79,8;53;,7;
2015-03-02;1,9;5,4;7,2;29,2;23,2;19,8;87;76;,7;
2015-03-03;1,8;9,5;15,6;29,8;24;19,6;72,8;54;1,7;
2015-03-04;3,4;5,6;0;29,4;24,1;20,2;76,5;62;,7;
2015-03-05;2,1;,4;4,6;27,8;22,1;20;75,8;63;1;
2015-03-06;2,2;9,9;,6;31,6;26;18,6;57,8;43;,7;
2015-03-07;3,8;9,3;0;32,4;24,6;19,2;69,8;48;1,7;
2015-03-08;3,7;5,4;2,4;29,8;24,1;20,4;81;72;0;
2015-03-09;2,1;8,9;0;32,2;25,4;19,8;68,8;47;1;
2015-03-10;3,4;1,4;0;29;24,6;21,2;78;70;,7;
2015-03-11;2,1;7;3,4;31,2;24,6;20,4;74,3;59;,7;
2015-03-12;2,6;1,9;3,4;28;23;20,6;83,3;67;1;
2015-03-13;1,7;8,7;1,4;31,6;25,1;19,8;69,8;50;2;
2015-03-14;3,5;9,1;0;32;25,9;21;61;40;2;
2015-03-15;5,3;5,5;0;31,8;25,8;20,8;59,5;44;2,3;
2015-03-16;5;2,9;0;30,6;25,6;21,4;60,3;45;1,3;
2015-03-17;4,3;1,1;0;27,2;22,6;20,4;82,3;72;1;
2015-03-18;1,7;3,7;3;29,8;22,4;19;80,8;55;2;
2015-03-19;2,2;,7;16,8;25,6;21,3;19,6;88,8;79;1,3;
2015-03-20;1,3;,6;11,8;24,4;21,1;19,4;92,5;90;,3;
2015-03-21;,7;1;40,8;24;19,8;18;89,3;77;2,3;
2015-03-22;1,6;5;1,4;26,8;21,6;17,8;82;64;2;
2015-03-23;2,6;9,5;0;30;23,5;18,8;74,3;51;2;
2015-03-24;3,4;4,7;0;28,8;23,9;20,2;76;53;1,3;
2015-03-25;3,4;6,3;2;30,4;24,2;19,6;81,8;71;1;
2015-03-26;2,4;7,5;6;30,2;23,6;20,4;76,3;54;0;
2015-03-27;2,7;4,6;11,8;29,2;23,9;20,2;83,3;70;,3;
2015-03-28;1,9;8,8;8,6;32;25,4;19,4;69,3;52;,3;
2015-03-29;3,5;9,2;0;32,2;25,2;20,8;68,5;49;1,7;
2015-03-30;3,6;9;11,8;32,6;26;20,2;66,5;45;,3;
2015-03-31;3,6;7,7;0;31,4;26,2;22,2;64,3;50;1;
2015-04-01;3,6;10;0;33;26,6;20,8;60,3;39;1,7;
2015-04-02;4,7;6,9;0;32,8;25,8;20,8;72,3;62;1,3;
2015-04-03;3,2;7,7;18;30,8;25;20;70,5;51;1;
2015-04-04;3,4;5,4;2,6;30,2;24,4;21,6;76,8;68;,7;
2015-04-05;2,3;3,7;13,2;29,4;23;19,2;78,3;53;0;
2015-04-06;2,3;3,4;0;28,2;24,4;19,8;75;61;,7;
2015-04-07;2,1;4,7;2,8;30;24;21;89,5;76;,7;
2015-04-08;1,5;2;10,4;28,8;23,6;20,8;86;83;,7;
2015-04-09;1,5;,9;2;26,4;22,8;20,8;82,8;70;1;
