Nome: ESPINOSA
Codigo Estacao: 83338
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.52
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-03-14
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;8;12,2;0;33,9;null;19,7;null;34;3;
2015-01-02;8;11,9;0;34,8;null;19,6;null;34;2;
2015-01-03;7;12,1;0;34,7;null;18,9;null;34;2;
2015-01-04;9,5;12,1;0;34,7;null;null;null;null;null;
2015-01-05;9,5;11,6;0;32,4;null;21,8;null;35;4,5;
2015-01-06;7,5;9;0;32,2;null;20,8;null;39;5;
2015-01-07;10,2;9,6;0;32,9;null;23,1;null;44;6;
2015-01-08;10,2;12,3;0;33,1;null;21,5;null;29;6;
2015-01-09;12,4;11;0;33;null;22,5;null;40;4;
2015-01-10;9,3;10;0;32,7;null;22,3;null;44;4;
2015-01-11;9,6;11,3;null;33,8;null;null;null;null;null;
2015-01-12;9;12,2;0;33,9;null;22,9;null;30;5,5;
2015-01-13;10,7;10,7;0;33,1;null;22,5;null;32;6;
2015-01-14;10,9;5;0;31,5;null;22,1;null;33;3,5;
2015-01-15;10,5;5,6;0;32;null;23,8;null;37;5;
2015-01-16;9,6;10,2;0;33,5;null;22,3;null;32;5;
2015-01-17;9,9;11;0;34,2;null;22,5;null;30;5;
2015-01-18;12;9,8;null;34,3;null;null;null;null;null;
2015-01-19;13;10,9;0;34;null;22,8;null;32;4;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
